Block,Time,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/08122023/15122023/HP-19,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01122023/15122023/HP-15,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17
1,00:00-00:15,0.000000,148.120000,58.610000,1.750000,127.340000,1.290000,0.000000,25.850000,0.000000,187.910000,0.000000,57.030000,55.180000,25.850000,95.760000,1.080000,47.880000,23.940000,0,7,47.88,0,6,0,18.51,18.51,7,21,18.47,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0.000000,148.120000,58.610000,1.750000,127.340000,1.290000,0.000000,25.850000,0.000000,168.760000,0.000000,57.030000,55.180000,25.850000,95.760000,1.080000,47.880000,23.940000,0,7,47.88,0,6,0,16.51,16.51,7,21,18.21,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0.000000,148.120000,33.520000,1.750000,127.340000,1.290000,0.000000,25.850000,0.000000,168.760000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,7,47.88,0,6,0,14.51,14.51,7,21,17.98,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0.000000,148.120000,33.520000,1.750000,127.340000,1.290000,0.000000,25.850000,0.000000,168.760000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,7,47.88,0,6,0,13.17,13.17,7,21,11.76,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0.000000,148.120000,33.520000,1.750000,127.340000,1.290000,0.000000,25.850000,0.000000,137.890000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,7,47.88,0,6,0,14.11,14.11,7,21,11.53,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0.000000,148.120000,33.520000,1.750000,127.340000,1.290000,0.000000,25.850000,0.000000,109.170000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,3.33,47.88,0,3.34,0,13.88,13.88,3.34,10,11.31,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0.000000,148.120000,33.520000,1.750000,127.340000,1.290000,0.000000,25.850000,0.000000,109.170000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,3.33,47.88,0,3.34,0,13.22,13.22,3.34,10,10.86,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0.000000,148.120000,33.520000,1.750000,127.340000,1.290000,0.000000,25.850000,0.000000,109.170000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,3.33,47.88,0,3.34,0,12.55,12.55,3.34,10,10.43,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0.000000,148.120000,33.520000,1.750000,127.340000,1.220000,0.000000,25.850000,0.000000,109.170000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,3.33,47.88,0,3.34,0,11.88,11.88,3.34,10,9.96,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0.000000,148.120000,33.520000,1.750000,127.340000,1.220000,0.000000,25.850000,0.000000,109.170000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,3.33,47.88,0,3.34,0,11.11,11.11,3.34,10,9.47,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0.000000,148.120000,33.520000,1.750000,127.340000,1.220000,0.000000,25.850000,0.000000,109.170000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,3.33,47.88,0,3.34,0,10.44,10.44,3.34,10,9.22,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0.000000,148.120000,33.520000,1.750000,127.340000,1.220000,0.000000,25.850000,0.000000,109.170000,0.000000,57.030000,31.600000,25.850000,95.760000,1.080000,47.880000,23.940000,0,3.33,47.88,0,3.34,0,9.55,9.55,3.34,10,9.08,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0.000000,148.120000,33.520000,1.750000,127.340000,1.220000,0.000000,25.850000,0.000000,109.170000,0.000000,57.030000,31.600000,25.850000,95.760000,1.120000,47.880000,23.940000,0,3.33,47.88,0,3.34,0,8.55,8.55,3.34,10,13.12,0,0,0,0,0,0,0,0,0,0,0

