Block,Time Block,CHAMERA3,CHAMERA2,DADRT2,CHAMERA1,PARBATI2,RAMPUR,PARBATI3,NTPL,KHSTPP-I,KGSU1AND2,KGSU3AND4,KKNP,KHSTPP-II,KISHANGANGA,AURY_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,NLCEXP,NJPC,NLCIIST1,NLCIIST2,BSIUL,BRBCL,NLCTS2EXP,NNTPP,NAPP,KUDGI,DADRI_LF,DADRI_GF,DADRI_RF,DADRI_CRF,AURY_RF,KOTESHWR,MAPS,KKNPPU2,KOLDAM,RSTPSU1TO6,RSTPSU7,SALAL,SASAN,SIMHST2,SINGRAULI,SEWA2,SINGRAULI_HYDRO,SIMHST1,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,ANTA_GF,URI,TEHRI,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,RAPPC,RIHAND3,RAPPB,RIHAND2,RIHAND1,TANDA2,TALST2,TANAKPUR,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,11.21,31.25,331.08,0,7.2,0,19.16,0,44.08,0,0,0,142.65,8.13,0,0,0,0,0,0,14.04,19.06,644.96,0,0,0,0,12.54,19.15,0,0,50.39,0,0,0,0,0,0,10.01,0,0,0,0,0,2.24,402.81,0,105.43,18.16,0.68,0,36.6,26.62,0,43.05,0,33.45,25.43,20.81,0,0,1.81,67.28,123.74,0,117.51,92.32,5.26,0,0,0,0,0,0,0,0

2,00:15-00:30,11.21,31.25,331.08,0,7.2,0,19.16,0,44.08,0,0,0,142.65,8.13,0,0,0,0,0,0,14.04,19.06,644.96,0,0,0,0,12.54,16.38,0,0,50.39,0,0,0,0,0,0,10.01,0,0,0,0,0,2.24,402.81,0,105.43,18.16,0.68,0,36.6,26.62,0,43.05,0,33.45,12.72,20.81,0,0,1.81,67.28,123.74,0,117.51,92.32,5.26,0,0,0,0,0,0,0,0

3,00:30-00:45,11.21,31.25,331.08,0,7.2,0,19.16,0,44.08,0,0,0,142.65,8.13,0,0,0,0,0,0,14.04,19.06,644.96,0,0,0,0,12.54,15.77,0,0,50.39,0,0,0,0,0,0,10.01,0,0,0,0,0,2.24,402.81,0,105.43,18.16,0.68,0,35.2,26.62,0,43.05,0,33.45,0,20.81,0,0,1.81,67.28,123.74,0,117.51,92.32,3.94,0,0,0,0,0,0,0,0

4,00:45-01:00,11.21,15.63,331.08,0,7.2,0,4.13,0,44.08,0,0,0,142.65,8.13,0,0,0,0,0,0,14.04,19.06,644.96,0,0,0,0,12.54,15.81,0,0,50.39,0,0,0,0,0,0,10.01,0,0,0,0,0,2.24,402.81,0,105.43,18.16,0.68,0,35.2,26.62,0,43.05,0,33.45,0,20.81,0,0,1.81,67.28,123.74,0,117.51,92.32,3.94,0,0,0,0,0,0,0,0

5,01:00-01:15,11.21,15.63,331.08,0,7.2,0,0,0,44.08,0,0,0,142.65,8.13,0,0,0,0,0,0,14.04,19.06,636.29,0,0,0,0,12.54,14.92,0,0,50.39,0,0,0,0,0,0,10.01,0,0,0,0,0,2.24,402.81,0,105.43,18.16,0.68,0,35.2,26.62,0,43.05,0,33.45,0,20.81,0,0,1.81,67.28,123.74,0,117.51,92.32,3.94,0,0,0,0,0,0,0,0

