Block,Time Block,CHAMERA3,DADRT2,CHAMERA2,DHAULIGNGA,FSTPP I & II,CHAMERA1,DULHASTI,BRBCL,BSIUL,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TALST2,TelanganaSTPP,TANAKPUR,UNCHAHAR2,URI,TEHRI,KGSU1AND2,KGSU3AND4,JHAJJAR,SASAN,TALA,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,SEWA2,SINGRAULI,SALAL,RIHAND3,NNTPP,RAPPC,NLCIIST1,NTPL,PARBATI3,NLCIIST2,RIHAND2,PARBATI2,RIHAND1,RAPPB,RAPPD,NLCTS2EXP,RAMPUR,KUDGI,NLCEXP,KOLDAM,MAPS,NJPC,NAPP,KOTESHWR,KKNPPU2,KKNP,DADRI_RF,KISHANGANGA,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,ANTA_GF,KHSTPP-I,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,33.71,658.56,46.97,0,17.51,27.04,57.26,17.4,18.82,20.82,0,1.77,5.31,38.18,26.64,0,0,6.03,42.35,47.28,11.66,0,0,412.51,402.98,0,0,0.94,0,0,0,5.99,144.67,0,125.86,0,66.14,0,0,16.24,0,119.88,14.45,44.75,0,0,0,3.17,0,0,9.23,0,79.86,24.55,10.04,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,43.81,142.71,0,0,0,0,0

2,00:15-00:30,33.71,658.56,46.97,0,17.51,27.04,57.26,18.17,18.82,20.82,0,1.64,5.31,38.18,26.64,0,0,6.03,42.35,47.28,11.66,0,0,412.51,402.98,0,0,0.94,0,0,0,18.19,144.67,0,125.86,0,66.14,0,0,16.24,0,119.88,14.45,44.75,0,0,0,3.17,0,0,9.23,0,79.86,24.55,10.04,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,43.81,142.71,0,0,0,0,0

3,00:30-00:45,33.71,658.56,46.97,0,17.51,27.04,57.26,15.88,18.82,20.82,0,1.64,5.31,38.18,26.64,0,0,6.03,42.35,47.28,0,0,0,412.51,402.98,0,0,0.94,0,0,0,18.19,144.67,0,125.86,0,66.14,0,0,16.24,0,119.88,14.45,44.75,0,0,0,2.99,0,0,6.92,0,75.44,24.55,10.04,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,43.81,142.71,0,0,0,0,0

4,00:45-01:00,33.71,658.56,46.97,0,17.51,27.04,57.26,14.54,18.82,20.82,0,1.64,5.31,38.18,26.64,0,0,6.03,42.35,47.28,0,0,0,412.51,402.98,0,0,0.94,0,0,0,18.19,144.67,0,125.86,0,66.14,0,0,16.24,0,119.88,14.45,44.75,0,0,0,2.99,0,0,6.31,0,75.44,24.55,10.04,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,43.81,142.71,0,0,0,0,0

5,01:00-01:15,33.71,658.44,46.97,0,17.51,27.04,57.26,13.61,18.82,20.82,0,1.77,5.31,35.86,26.64,0,0,6.03,42.35,47.28,0,0,0,351.22,402.98,0,0,0.94,0,0,0,18.19,144.67,80.52,125.86,0,66.14,0,0,16.24,0,119.88,14.45,44.75,0,0,0,2.99,0,0,3.73,0,75.44,24.55,10.04,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,43.81,142.71,0,0,0,0,0

