Column1,Time,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8510,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8456,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNARE/SR/2025/01/13/4532,GNA/NR/2025/04/01/7960,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8964,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/6216,NR/01102023/05012040/L_NR_2020_02,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,2.71,0,5.77,2.68,6.91,7.7,52.5,0,9.62,1.92,2.89,9.62,29.27,5,25.97,133.82,260.29,0,0,2.89,32,70.14,0,2.89,2.89,48.1,100.21,86.76,9.62,2.05,37.5,6.66,0,0,36.66,0,12.5,0,0,0,0,0,0,0,0,12.5,0,36.67,0

2,00:15-00:30,2.71,0,5.77,2.68,6.91,7.7,52.5,0,9.62,1.92,2.89,9.62,29.27,5,25.97,133.82,260.29,0,0,2.89,32,70.14,0,2.89,2.89,48.1,100.21,86.76,9.62,2.05,37.99,6.66,0,0,36,0,12.67,0,0,0,0,0,0,0,0,12.67,0,36,0

3,00:30-00:45,2.71,0,5.77,2.68,6.91,7.7,52.5,0,9.62,1.92,2.89,9.62,29.77,5,25.97,133.82,260.29,0,26.11,2.89,30.5,70.14,0,2.89,2.89,48.1,100.21,86.76,9.62,2.05,39,7,0,0,35.34,0,13,0,0,0,0,0,0,0,0,13,0,35.33,0

4,00:45-01:00,2.71,0,5.77,2.68,6.91,7.7,52.5,0,9.62,1.92,2.89,9.62,29.77,5,25.97,133.82,260.29,0,26.11,2.89,30.5,70.14,0,2.89,2.89,48.1,100.21,86.76,9.62,2.05,42.49,7.34,0,0,35,0,14.17,0,0,0,0,0,0,0,0,14.17,0,35,0

5,01:00-01:15,2.71,0,5.77,2.68,6.91,7.7,52.5,0,9.62,1.92,2.89,9.62,29.77,5,25.97,133.82,260.29,0,26.11,2.89,30.5,70.14,0,2.89,2.89,48.1,100.21,86.76,9.62,2.05,34.99,8,0,0,34.66,0,11.67,0,0,0,0,0,0,0,0,11.67,0,34.67,0

