Block,Time Block,JHAJJAR,DHAULIGNGA,DULHASTI,FSTPP I & II,ANTA_LF,VALLURNTECL,AURY_GF,UNCHAHAR4,DADRI_CRF,ANTA_GF,URI2,AURY_CRF,UNCHAHAR3,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,URI,DADRI_GF,DADRI_RF,DADRI_LF,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,KOTESHWR,KKNPPU2,MAPS,KOLDAM,KUDGI,UNCHAHAR2,UNCHAHAR1,CHAMERA2,BSIUL,CHAMERA3,BRBCL,CHAMERA1,DADRT2,TANDA2,SIMHST2,SEWA2,SINGRAULI,TALST2,TANAKPUR,TALA,TelanganaSTPP,SIMHST1,TEHRI,SINGRAULI_HYDRO,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,KGSU3AND4,KGSU1AND2,RAPPC,RSTPSU7,NTPL,PARBATI3,RIHAND3,SALAL,RAPPB,RIHAND2,SASAN,RIHAND1,RAMPUR,RSTPSU1TO6,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,372.59,39.16,52.13,20.16,0,0,0,0,0,0,35.23,0,0,0,0,0,0,34.24,0,0,0,0,0,110.3,0,0,44.41,0,37.45,0,0,3.89,0,27.17,17.72,27.47,6.32,20.71,14.54,40.85,639.23,0,0,11.22,123.06,0,12.6,10.4,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.23,45.87,2.36,0,0,0,0,0,0

2,00:15-00:30,313.47,39.16,52.13,20.16,0,0,0,0,0,0,35.23,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,17.9,17.07,27.47,6.32,20.71,14.54,40.85,639.23,0,0,11.22,123.06,0,12.6,10.4,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

3,00:30-00:45,237.87,39.16,52.13,20.16,0,0,0,0,0,0,35.23,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,16.67,14.92,27.47,6.32,20.71,14.54,27.23,585.92,0,0,5.53,123.06,0,12.6,10.4,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

4,00:45-01:00,237.87,39.16,52.13,20.16,0,0,0,0,0,0,35.23,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,16.67,14.92,27.47,6.32,20.71,11.87,27.23,585.92,0,0,4.84,123.06,0,12.6,10.4,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

5,01:00-01:15,237.87,39.16,52.13,20.16,0,0,0,0,0,0,22.92,0,0,0,0,0,0,48.68,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,21.52,17.07,27.47,0,20.71,10.13,27.23,585.92,0,0,0,115.51,0,12.6,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

6,01:15-01:30,237.87,39.16,52.13,20.16,0,0,0,0,0,0,22.92,0,0,0,0,0,0,48.68,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,21.52,17.07,27.47,0,20.71,11.1,27.23,585.92,0,0,0,115.51,0,12.6,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

7,01:30-01:45,237.87,39.16,52.13,17.27,0,0,0,0,0,0,22.92,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,16.67,14.92,27.47,0,20.71,12.95,27.23,585.92,0,0,0,115.51,0,11.17,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

8,01:45-02:00,237.87,39.16,52.13,17.27,0,0,0,0,0,0,22.92,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,16.67,14.92,27.47,0,20.71,11.53,27.23,552.38,0,0,0,115.51,0,11.17,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

9,02:00-02:15,256.29,39.16,52.13,17.27,0,0,0,0,0,0,22.92,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,27.47,0,20.71,11.52,27.23,528.15,0,0,0,115.51,0,11.17,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,50.67,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

10,02:15-02:30,256.29,39.16,52.13,17.27,0,0,0,0,0,0,22.92,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,27.47,0,20.71,10.95,27.23,503.92,0,0,0,115.51,0,11.17,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,76.94,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

11,02:30-02:45,256.29,39.16,52.13,17.27,0,0,0,0,0,0,22.92,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,27.47,6.32,20.71,12.4,27.23,503.92,0,0,0,115.51,0,12.6,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,76.94,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

12,02:45-03:00,256.29,39.16,52.13,17.27,0,0,0,0,0,0,22.92,0,0,0,0,0,0,34.24,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,27.47,6.32,20.71,12.81,27.23,503.92,0,0,0,115.51,0,12.6,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,76.94,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

13,03:00-03:15,256.29,39.16,52.13,17.27,0,0,0,0,0,0,35.23,0,0,0,0,0,0,48.68,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,27.47,6.32,20.71,11.56,27.23,528.15,0,0,0,115.51,0,12.6,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,76.94,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

14,03:15-03:30,256.29,39.16,52.13,17.27,0,0,0,0,0,0,35.23,0,0,0,0,0,0,48.68,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,27.47,6.32,20.71,10.99,27.23,503.92,0,0,0,115.51,0,11.17,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,76.94,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

15,03:30-03:45,256.29,39.16,52.13,17.27,0,0,0,0,0,0,35.23,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,27.47,6.32,10.36,11,27.23,503.92,0,0,0,115.51,0,11.17,10.83,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,109.57,76.94,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

16,03:45-04:00,256.29,39.16,52.13,17.27,0,0,0,0,0,0,35.23,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,13.02,6.32,10.36,10.89,13.62,503.92,0,0,0,115.51,0,11.17,10.77,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,109.57,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

17,04:00-04:15,256.29,39.16,52.13,17.27,0,0,0,0,0,0,21.48,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,13.02,6.32,10.36,12.71,13.62,479.69,0,0,0,115.51,0,11.17,10.71,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,109.57,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

18,04:15-04:30,256.29,39.16,52.13,17.27,0,0,0,0,0,0,21.48,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,13.02,6.32,10.36,14.54,13.62,479.69,0,0,0,115.51,0,11.17,10.62,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,109.57,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

19,04:30-04:45,256.29,39.16,52.13,17.27,0,0,0,0,0,0,21.48,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,13.02,6.32,10.36,14.54,0,479.69,0,0,0,115.51,0,11.42,10.46,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,118.31,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

20,04:45-05:00,256.29,39.16,52.13,17.27,0,0,0,0,0,0,21.48,0,0,0,0,0,0,48.68,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,13.02,6.32,10.36,14.54,0,479.69,0,0,0,115.51,0,11.42,10.43,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.65,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

21,05:00-05:15,256.29,39.16,52.13,17.27,0,0,0,0,0,0,21.48,0,0,0,0,0,0,48.68,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,13.02,6.32,10.36,14.54,0,479.69,0,0,0,115.51,0,11.42,10.21,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,3.4,123.67,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

22,05:15-05:30,256.29,39.16,52.13,17.27,0,0,0,0,0,0,21.48,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,24.19,17.07,13.02,6.32,10.36,14.54,0,479.69,0,0,0,115.51,0,11.42,9.8,0,0,74.53,0,95.82,0,1.4,40.6,0,0,58.67,0,0,5.45,123.67,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

23,05:30-05:45,255.01,39.16,52.13,17.27,0,0,0,0,0,0,35.23,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,23.88,16.91,13.02,6.32,10.36,14.54,0,499.07,0,0,0,115.51,0,11.42,9.49,0,0,74.53,0,95.82,0,1.4,40.28,0,0,58.67,0,0,8.17,123.67,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

24,05:45-06:00,255.01,39.16,52.13,17.27,0,0,0,0,0,0,35.23,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,23.88,16.91,13.02,6.32,10.36,14.54,0,547.53,0,0,0,115.51,0,11.42,9.24,0,0,74.53,0,95.82,0,1.4,40.28,0,0,58.67,0,0,52.44,123.67,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

25,06:00-06:15,255.01,39.16,52.13,20.16,0,0,0,0,0,0,35.23,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,30.83,16.91,13.02,6.32,10.36,14.54,0,646.98,0,0,0,115.51,0,11.42,9.09,0,0,74.53,0,95.82,0,1.4,40.28,0,0,58.67,0,0,52.44,123.67,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

26,06:15-06:30,255.01,39.16,52.13,20.16,0,0,0,0,0,0,35.23,0,0,0,0,0,0,35.31,0,0,0,0,0,99.08,0,0,44.41,0,37.45,0,0,3.89,0,30.83,16.91,13.02,6.32,10.36,14.54,0,646.98,0,0,0,115.51,0,11.42,8.87,0,0,74.53,0,95.82,0,1.4,40.28,0,0,58.67,0,0,52.44,123.67,49.56,0,117.96,190.82,45.87,2.13,0,0,0,0,0,0

