Block,Time,L_NR_2012_07,LT-59,L_NR_2012_04,L_NR_2018_61,L_NR_2019_05,L_NR_2020_07,L_NR_2022_08,L_NR_2019_06,L_NR_2020_05,L_NR_2019_11,L_NR_2020_02,L_NR_2020_06,L_NR_2021_12,L_NR_2023_07,LT-35,L_NR_2019_19,L_NR_2022_10,SH-07,L_NR_2022_09,L_NR_2019_07,L_NR_2021_17,L_NR_2021_14,LT-36,L_NR_2021_13,L_NR_2021_15,SH-06,L_NR_2012_01,L_NR_2021_16,L_NR_2023_04,LT-31,L_NR_2023_10,LT-05,L_NR_2012_02
1,00:00-00:15,64.920000,10.340000,131.860000,23.59,0,33.36,29.4,0,100.07,9.600000,11.890000,33.35,0,0,0.000000,0,70.22,15.350000,70.22,0,0,0,0.000000,0,0,15.350000,0.000000,0,29.910000,0.000000,0,115.960000,261.400000

2,00:15-00:30,64.920000,10.340000,131.860000,24.36,0,33.44,29.19,0,100.29,9.600000,11.890000,33.43,0,0,0.000000,0,70,15.350000,70,0,0,0,0.000000,0,0,15.350000,0.000000,0,29.910000,0.000000,0,115.960000,261.400000

3,00:30-00:45,64.920000,10.340000,131.860000,24.51,0,33.42,31.15,0,100.21,9.600000,11.890000,33.4,0,0,0.000000,0,69.78,23.450000,69.78,0,0,0,0.000000,0,0,23.450000,0.000000,0,29.910000,0.000000,0,115.960000,261.400000

4,00:45-01:00,64.920000,10.340000,131.860000,24.83,0,33.41,30.7,0,100.21,9.600000,11.890000,33.4,0,0,0.000000,0,69.56,23.450000,69.56,0,0,0,0.000000,0,0,23.450000,0.000000,0,28.940000,0.000000,0,115.960000,261.400000

5,01:00-01:15,64.920000,10.340000,131.860000,25.22,0,33.46,30.62,0,100.36,9.600000,11.890000,33.45,0,0,0.000000,0,69.34,26.070000,69.34,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,115.960000,261.400000

6,01:15-01:30,64.920000,10.340000,131.860000,25.78,0,33.47,30.37,0,100.38,9.600000,11.890000,33.46,0,0,0.000000,0,69.12,26.070000,69.12,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,115.960000,261.400000

7,01:30-01:45,64.920000,10.340000,131.860000,20.34,0,33.48,30.33,0,100.46,9.990000,11.890000,33.49,0,0,0.000000,0,68.9,26.070000,68.9,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,115.960000,261.400000

8,01:45-02:00,64.920000,10.340000,131.860000,20.78,0,33.34,30.29,0,100.02,9.990000,11.890000,33.34,0,0,0.000000,0,71.85,26.070000,71.85,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,115.960000,261.400000

9,02:00-02:15,46.880000,10.340000,131.860000,20.63,0,33.49,32.12,0,100.45,9.830000,11.890000,33.48,0,0,0.000000,0,71.6,26.070000,71.6,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,85.260000,261.400000

10,02:15-02:30,46.880000,10.340000,131.860000,20.84,0,33.35,31.73,0,100.06,9.830000,11.890000,33.35,0,0,0.000000,0,71.19,26.070000,71.19,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,85.260000,261.400000

11,02:30-02:45,46.880000,10.340000,131.860000,20.99,0,33.39,31.17,0,100.15,9.830000,11.890000,33.38,0,0,0.000000,0,71.24,26.070000,71.24,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,261.400000

12,02:45-03:00,46.880000,10.340000,131.860000,21.16,0,33.46,31.02,0,100.4,9.830000,11.890000,33.47,0,0,0.000000,0,71.12,26.070000,71.12,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,261.400000

13,03:00-03:15,33.790000,10.340000,131.860000,21.27,0,33.48,30.15,0,100.42,9.830000,11.890000,33.47,0,0,0.000000,0,70.9,26.070000,70.9,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,261.400000

14,03:15-03:30,33.790000,10.340000,131.860000,22.33,0,33.49,23.21,0,100.45,9.830000,11.890000,33.48,0,0,0.000000,0,70.59,26.070000,70.59,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,239.930000

15,03:30-03:45,33.790000,10.340000,131.860000,22.04,0,29.14,23.11,0,87.39,9.830000,11.890000,29.13,0,0,0.000000,0,70.21,26.070000,70.21,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,210.950000

16,03:45-04:00,33.790000,10.340000,131.860000,21.85,0,29.02,22.85,0,87.07,9.830000,11.890000,29.02,0,0,0.000000,0,69.55,26.070000,69.55,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,184.200000

17,04:00-04:15,33.790000,10.340000,131.860000,21.44,0,28.71,22.65,0,86.12,9.760000,11.890000,28.71,0,0,0.000000,0,69.21,26.070000,69.21,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,129.440000

18,04:15-04:30,33.790000,10.340000,131.860000,21.36,0,28.28,22.52,0,84.81,9.760000,11.890000,28.27,0,0,0.000000,0,58.21,26.070000,58.21,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,110.120000

19,04:30-04:45,33.790000,10.340000,131.860000,21.25,0,27.77,22.04,0,83.32,9.760000,11.890000,27.77,0,0,0.000000,0,57.88,26.070000,57.88,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,110.120000

20,04:45-05:00,33.790000,10.340000,131.860000,21.04,0,27.29,21.88,0,81.89,9.760000,11.890000,27.3,0,0,0.000000,0,57.67,26.070000,57.67,0,0,0,0.000000,0,0,26.070000,0.000000,0,28.940000,0.000000,0,70.480000,110.120000

