Block,Time,KKNPPU2,KOTESHWR,KUDGI,NAPP,RIHAND2,RSTPSU7,SASAN,SINGRAULI,TANDA2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_CRF,BRBCL,KGSU3AND4,TALA,UNCHAHAR2,ANTA_LF,ANTA_RF,AURY_LF,FSTPP I & II,KISHANGANGA,KOLDAM,MAPS,NJPC,PARBATI2,RIHAND3,SALAL,SIMHST1,SIMHST2,CHAMERA2,JHAJJAR,KKNP,NTPL,PARBATI3,TEHRI,URI,URI2,DADRI_CRF,BSIUL,CHAMERA1,CHAMERA3,DHAULIGNGA,KHSTPP-I,NLCTS2EXP,NNTPP,RAPPB,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR3,DADRI_LF,KGSU1AND2,NLCIIST1,AURY_CRF,DADRI_GF,DADRI_RF,DADRT2,DULHASTI,NLCIIST2,RAPPC,RSTPSU1TO6,TALST2,ANTA_GF,AURY_GF,KHSTPP-II,NLCEXP,RAMPUR,RAPPD,RIHAND1,SEWA2,AURY_RF
1,00:00-00:15,0,10.43,0,25.64,124.58,0,414,112.11,5.7,21.94,2.3,0,0,20,0,7.64,44.5,0,51.17,0,18.07,8.63,5.81,0,165.99,22.54,68.49,40.09,0,0,48.81,498.67,0,0,23.02,20.38,50.79,38.1,0,6.52,42.15,35.03,10.95,45.53,0,0,0,0.98,6.27,0,27.68,0,0,0,0,0,98.4,458.92,59.5,0,69.07,0,0,0,0,148.3,0,6.5,21.66,97.23,0,79.42

2,00:15-00:30,0,10.43,0,25.64,124.58,0,414,112.11,5.7,21.94,2.3,0,0,20,0,7.64,44.5,0,51.17,0,18.07,8.63,5.81,0,165.99,22.54,68.49,40.09,0,0,48.81,498.67,0,0,23.02,9.95,50.79,38.1,0,6.52,42.15,35.03,10.95,45.53,0,0,0,0.98,6.27,0,27.68,0,0,0,0,0,98.4,458.92,59.5,0,69.07,0,0,0,0,148.3,0,6.5,21.66,97.23,0,79.42

3,00:30-00:45,0,10.43,0,25.64,124.58,0,414,112.11,5.7,21.94,2.3,0,0,20,0,7.35,44.5,0,51.17,0,18.07,8.63,5.81,0,165.99,22.54,68.49,40.09,0,0,48.81,498.67,0,0,23.02,9.95,50.79,38.1,0,6.52,42.15,35.03,10.95,45.53,0,0,0,0.98,6.27,0,27.68,0,0,0,0,0,98.4,458.92,59.5,0,69.07,0,0,0,0,148.3,0,6.5,21.66,97.23,0,79.42

4,00:45-01:00,0,10.43,0,25.64,124.58,0,414,112.11,5.7,21.94,2.3,0,0,20,0,7.35,44.5,0,51.17,0,18.07,8.63,5.81,0,165.99,22.54,68.49,40.09,0,0,48.81,498.67,0,0,23.02,10.19,50.79,38.1,0,6.52,42.15,35.03,10.95,45.53,0,0,0,0.98,6.27,0,27.68,0,0,0,0,0,98.4,458.92,59.5,0,69.07,0,0,0,0,148.3,0,6.5,21.66,97.23,0,79.42

5,01:00-01:15,0,10.43,0,25.64,124.58,0,414,112.11,5.7,21.94,2.3,0,0,20,0,7.35,44.5,0,51.17,0,18.07,8.63,5.81,0,165.99,22.54,68.49,40.09,0,0,48.81,498.67,0,0,23.02,10.19,50.79,38.1,0,13.04,42.15,35.03,10.95,45.53,0,0,0,0.98,6.27,0,27.68,0,0,0,0,0,98.4,458.92,59.5,0,69.07,0,0,0,0,148.3,0,6.5,21.66,97.23,0,79.42

6,01:15-01:30,0,10.43,0,25.64,124.58,0,414,112.11,5.7,21.94,2.3,0,0,20,0,7.35,44.5,0,51.17,0,18.07,8.63,5.81,0,165.99,22.54,68.49,40.09,0,0,48.81,498.67,0,0,23.02,10.19,50.79,38.1,0,13.04,42.15,35.03,10.95,45.53,0,0,0,0.98,0.51,0,27.68,0,0,0,0,0,98.4,458.92,59.5,0,69.07,0,0,0,0,148.3,0,6.5,21.66,97.23,0,79.42

7,01:30-01:45,0,10.43,0,25.64,124.58,0,414,112.11,5.7,21.94,2.3,0,0,20,0,7.35,44.5,0,51.17,0,18.07,8.63,5.81,0,165.99,22.54,68.49,40.09,0,0,48.81,498.67,0,0,23.02,10.19,50.79,38.1,0,13.04,42.15,35.03,10.95,45.53,0,0,0,0.98,0.51,0,27.68,0,0,0,0,0,98.4,458.92,59.5,0,69.07,0,0,0,0,148.3,0,6.5,21.66,97.23,0,79.42

8,01:45-02:00,0,10.43,0,25.64,124.58,0,414,112.11,5.7,21.94,2.3,0,0,20,0,7.35,44.5,0,51.17,0,18.07,8.63,5.81,0,165.99,22.54,68.49,40.09,0,0,48.81,498.67,0,0,23.02,10.19,50.79,38.1,0,13.04,42.15,35.03,10.95,45.53,0,0,0,0.98,0.51,0,27.68,0,0,0,0,0,98.4,458.92,59.5,0,69.07,0,0,0,0,148.3,0,6.5,21.66,97.23,0,79.42

