Block,Time,CHAMERA3,KGSU3AND4,KOLDAM,NJPC,NLCEXP,NTPL,PARBATI3,SEWA2,URI,BRBCL,CHAMERA1,DULHASTI,NNTPP,RIHAND3,SINGRAULI_HYDRO,BSIUL,DADRT2,KKNPPU2,KUDGI,RAMPUR,RAPPB,SIMHST2,UNCHAHAR1,URI2,ANTA_LF,DADRI_CRF,FSTPP I & II,KHSTPP-I,KISHANGANGA,NAPP,NLCIIST2,TANDA2,TEHRI,TelanganaSTPP,VALLURNTECL,AURY_LF,RAPPC,RSTPSU7,SINGRAULI,ANTA_GF,RIHAND1,SALAL,SASAN,SIMHST1,TALA,TANAKPUR,DADRI_GF,KGSU1AND2,KHSTPP-II,KOTESHWR,NLCIIST1,NLCTS2EXP,TALST2,ANTA_CRF,ANTA_RF,AURY_GF,DADRI_RF,CHAMERA2,DHAULIGNGA,JHAJJAR,KKNP,MAPS,RIHAND2,RSTPSU1TO6,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,AURY_CRF,AURY_RF,DADRI_LF
1,00:00-00:15,0,0,0,0,0,0,0,0,26.49,20,0,0,0,124.32,0,0,683.14,0,0,0,0,0,20.56,4.44,0,0,11.7,45.22,0,43.9,0,0,0,0,0,0,54.06,0,125.97,0,92,1.4,360,0,0,1.03,0,0,98.87,8.87,0,0,0,0,29.93,0,45.49,0,0,654.31,0,0,118.76,0,42.4,26.39,0,0,70.59,24.11

2,00:15-00:30,0,0,0,0,0,0,0,0,26.49,20,0,0,0,124.32,0,0,683.14,0,0,0,0,0,20.56,18.83,0,0,11.7,45.22,0,43.9,0,0,0,0,0,0,54.06,0,125.97,0,92,1.4,360,0,0,1.03,0,0,98.87,8.87,0,0,0,0,29.93,0,45.49,0,0,654.31,0,0,118.76,0,42.4,26.39,0,0,70.59,24.11

3,00:30-00:45,0,0,0,0,0,0,0,0,26.49,20,0,0,0,124.32,0,0,683.14,0,0,0,0,0,20.56,18.83,0,0,11.7,45.22,0,43.9,0,0,0,0,0,0,54.06,0,125.97,0,92,1.4,360,0,0,1.79,0,0,98.87,8.87,0,0,0,0,29.93,0,45.49,0,0,654.31,0,0,118.76,0,42.4,26.39,0,0,70.59,24.11

4,00:45-01:00,0,0,0,0,0,0,0,0,1.77,20,0,0,0,124.32,0,0,683.14,0,0,0,0,0,20.56,18.83,0,0,11.7,45.22,0,43.9,0,0,0,0,0,0,54.06,0,125.97,0,92,1.4,360,0,0,1.79,0,0,98.87,8.87,0,0,0,0,29.93,0,45.49,0,0,654.31,0,0,118.76,0,42.4,26.39,0,0,70.59,24.11

5,01:00-01:15,0,0,0,0,0,0,0,0,1.33,20,0,0,0,124.32,0,0,683.14,0,0,0,0,0,20.56,18.83,0,0,11.7,45.22,0,43.9,0,0,0,0,0,0,54.06,0,125.97,0,92,1.4,360,0,0,8.33,0,0,98.87,8.87,0,0,0,0,29.93,0,45.49,0,0,654.31,0,0,118.76,0,42.4,26.39,0,0,70.59,24.11

6,01:15-01:30,0,0,0,0,0,0,0,0,1.33,20,0,0,0,124.32,0,0,683.14,0,0,0,0,0,20.56,18.83,0,0,11.7,45.22,0,43.9,0,0,0,0,0,0,54.06,0,125.97,0,92,1.4,360,0,0,8.33,0,0,98.87,8.87,0,0,0,0,29.93,0,45.49,0,0,654.31,0,0,118.76,0,42.4,26.39,0,0,70.59,24.11

