Block,Time,SEWA2,ANTA_LF,ANTA_CRF,ANTA_GF,DHAULIGNGA,RAMPUR,PARBATI3,RIHAND1,URI,DADRI_LF,KOLDAM,AURY_LF,JHAJJAR,CHAMERA3,DADRI_CRF,ANTA_RF,UNCHAHAR2,SALAL,RIHAND3,URI2,AURY_GF,RIHAND2,CHAMERA2,RAPPB,DADRI_RF,TANDA2,CHAMERA1,DADRT2,TALA,SASAN,UNCHAHAR4,NAPP,NJPC,BSIUL,DADRI_GF,BRBCL,KISHANGANGA,RAPPC,AURY_CRF,AURY_RF,SINGRAULI,KHSTPP-I,DULHASTI,FSTPP I & II,KOTESHWR,UNCHAHAR3,TEHRI,KHSTPP-II,TANAKPUR,KUDGI,UNCHAHAR1,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,16.061339,0.000000,0.000000,0.000000,37.155045,1.710502,19.449140,90.352424,45.962390,0.000000,2.595375,0.000000,636.969001,29.601353,0.358524,0.000000,41.675491,74.253194,121.310901,33.479576,0.000000,115.787038,40.533274,0.000000,0.000000,1.348441,41.303412,658.222153,15.655794,405.453114,0.784242,38.696055,154.929110,19.036167,0.000000,17.976476,2.114992,53.835345,0.000000,0.000000,137.484400,42.314213,50.334016,19.721556,24.425152,21.960729,34.178727,141.609707,11.782510,70.68,17.558689,1.053942,0,0,0,0,0

2,00:15-00:30,16.061339,0.000000,0.000000,0.000000,37.155045,1.710502,19.449140,90.352424,45.962390,0.000000,2.595375,0.000000,636.969001,29.601353,0.358524,0.000000,41.675491,74.253194,121.310901,33.479576,0.000000,115.787038,40.533274,0.000000,0.000000,1.348441,41.303412,658.222153,15.655794,405.453114,0.784242,38.696055,154.929110,19.036167,0.000000,12.711087,2.114992,53.835345,0.000000,0.000000,137.484400,42.314213,50.334016,19.721556,24.425152,19.004411,34.178727,141.609707,11.782510,69.71,15.814869,1.053942,0,0,0,0,0

3,00:30-00:45,16.061339,0.000000,0.000000,0.000000,37.155045,1.710502,19.449140,90.352424,45.962390,0.000000,2.595375,0.000000,593.177412,29.601353,0.358524,0.000000,41.675491,74.253194,121.310901,33.479576,0.000000,115.787038,40.533274,0.000000,0.000000,1.348441,41.303412,578.742100,11.386032,405.453114,0.784242,38.696055,154.929110,19.036167,0.000000,12.074908,2.114992,53.835345,0.063804,0.000000,137.484400,42.314213,50.334016,19.721556,24.425152,15.415003,34.178727,141.609707,11.782510,66.81,12.277747,1.053942,0,0,0,0,0

4,00:45-01:00,16.061339,0.000000,0.000000,0.000000,37.155045,1.710502,19.449140,90.352424,45.962390,0.000000,2.595375,0.000000,593.177412,29.601353,0.358524,0.000000,41.675491,74.253194,121.310901,33.479576,0.000000,115.787038,40.533274,0.000000,0.000000,1.348441,41.303412,577.829118,11.386032,405.453114,0.784242,38.696055,154.929110,19.036167,0.000000,12.243088,2.114992,53.835345,0.063804,0.000000,137.484400,42.314213,50.334016,19.721556,24.425152,15.415003,34.178727,141.609707,11.782510,65.84,12.210648,1.053942,0,0,0,0,0

5,01:00-01:15,16.061339,0.000000,0.000000,0.000000,37.155045,1.710502,19.449140,90.352424,45.962390,0.000000,2.595375,0.000000,593.177412,29.601353,0.358524,0.000000,41.675491,74.253194,121.310901,33.479576,0.000000,115.787038,40.533274,0.000000,0.000000,1.348441,41.303412,530.715829,12.809286,405.453114,0.784242,38.696055,154.929110,19.036167,0.000000,11.306274,2.114992,53.835345,0.000000,0.000000,137.484400,41.918606,50.334016,19.721556,24.425152,15.415003,34.178727,141.609707,11.162378,62.93,12.210648,1.053942,0,0,0,0,0

