Time,Block,NR/2023/13148/A,NR/2023/17086/D,NR/2023/16077/A,NR/2023/13242/A,NR/2023/13387/A,NR/2023/13150/A,NR/2023/13383/A,NR/2023/13254/A,NR/2023/13385/A,NR/2023/15770/A,NR/2023/17105/C,NR/2023/13253/A,NR/2023/17098/C,NR/2023/17094/C,NR/2023/13165/A,NR/2023/16865/F,NR/2023/16993/F,NR/2023/17109/C,NR/2023/16185/A,NR/2023/16073/A,NR/2023/16191/A,NR/2023/17103/C,NR/2023/16291/F,NR/2023/17084/D,Total
,,KEIPL,SJVNL,APPCPL,APPCPL,NVVNL,KEIPL,APPCPL,APPCPL,NVVNL,NVVNL,HPXL,APPCPL,TPDDL,GBHHPL,GMRETL,SJVNL,NVVNL,IEXL,MANIKARAN,APPCPL,MANIKARAN,SJVNL,ITCLH,NVVNL,Total

,,MEGHALAYA,NA,HIMACHAL PRADESH,SIKKIM,NA,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,MP,NA,UTTAR PRADESH,UTTARAKHAND,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,NA,
,,Meghalaya_Ben,DIKCHU,HP,SIKKIM,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,Meghalaya_Ben,JP BINA,SKS Raigarh,PPGCL,UTTARAKHAND,CHANJUII,GBHHPL,Meghalaya_Ben,BCMLB001,KAMENG,Teesta_III,HP,GOA_Beneficiary,HP,RSRPL_BKN,ITCWIND,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,NDMC,BRPL,BYPL,BRPL,BYPL,BYPL,BYPL,BRPL,NDMC,BRPL,BYPL,TPDDL,DIAPL,BYPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,ITCLH,MES (Delhi),
,,North East-East-North,East-North,North-North,East-North,West-North,North East-East-North,North-North,North East-East-North,West-North,West-North,North-North,North-North,North-North,North-North,North East-East-North,North-North,North East-East-North,East-North,North-North,West-North,North-North,North-North,South-West-North,West-North,
1,00:00-00:15,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.540000,6.050000,22.310000,0.000000,159.220000,345.390000,38.810000,24.260000,78.590000,0,0.870000,0,1256.58

2,00:15-00:30,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.540000,6.050000,22.310000,0.000000,159.220000,307.550000,38.810000,24.260000,78.590000,0,0.870000,0,1218.74

3,00:30-00:45,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.540000,6.050000,22.310000,0.000000,159.220000,293.000000,38.810000,24.260000,78.590000,0,0.870000,0,1204.19

4,00:45-01:00,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.540000,6.050000,22.310000,0.000000,159.220000,267.780000,38.810000,24.260000,78.590000,0,0.870000,0,1178.97

5,01:00-01:15,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.450000,6.050000,22.310000,0.000000,139.190000,235.760000,38.810000,24.260000,78.590000,0,0.630000,0,1126.59

6,01:15-01:30,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.450000,6.050000,22.310000,0.000000,139.190000,207.620000,38.810000,24.260000,78.590000,0,0.630000,0,1098.45

7,01:30-01:45,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.450000,6.050000,22.310000,0.000000,139.190000,182.400000,38.810000,24.260000,78.590000,0,0.630000,0,1073.23

8,01:45-02:00,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.450000,6.050000,22.310000,0.000000,139.190000,146.500000,38.810000,24.260000,78.590000,0,0.630000,0,1037.33

9,02:00-02:15,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.270000,6.050000,22.310000,0.000000,159.220000,0.000000,38.810000,24.260000,78.590000,0,0.630000,0,910.68

10,02:15-02:30,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.270000,6.050000,22.310000,0.000000,159.220000,0.000000,38.810000,24.260000,78.590000,0,0.630000,0,910.68

11,02:30-02:45,36.610000,0.000000,118.850000,29.690000,100.420000,63.260000,50.940000,19.690000,50.210000,53.360000,0.000000,48.510000,9.270000,6.050000,22.310000,0.000000,159.220000,0.000000,38.810000,24.260000,78.590000,0,0.630000,0,910.68

