Block,Time,JHAJJAR,KHSTPP-II,KUDGI,NAPP,NLCIIST1,NNTPP,SALAL,SEWA2,SIMHST1,KKNPPU2,KOTESHWR,PARBATI3,RAPPB,RIHAND1,RIHAND3,TelanganaSTPP,UNCHAHAR3,URI2,ANTA_GF,ANTA_RF,AURY_LF,DADRI_RF,RSTPSU7,TALA,TEHRI,ANTA_CRF,ANTA_LF,BRBCL,DADRT2,DHAULIGNGA,KHSTPP-I,NLCIIST2,NLCTS2EXP,RAMPUR,RSTPSU1TO6,SINGRAULI_HYDRO,UNCHAHAR4,URI,AURY_CRF,AURY_RF,CHAMERA2,KGSU1AND2,KGSU3AND4,KISHANGANGA,TANDA2,UNCHAHAR1,UNCHAHAR2,DADRI_CRF,BSIUL,DULHASTI,FSTPP I & II,KKNP,NTPL,SASAN,DADRI_GF,NJPC,TALST2,TANAKPUR,VALLURNTECL,AURY_GF,CHAMERA1,CHAMERA3,KOLDAM,MAPS,NLCEXP,RAPPC,RIHAND2,SIMHST2,SINGRAULI,DADRI_LF
1,00:00-00:15,654.31,98.87,0,42.4,0,0,2.33,0,0,0,8.87,0,0,92,124.32,0,0,4.57,0,42.84,0,66.85,0,0,0,0,0,20,683.14,9.13,44.92,0,0,0,0,0,0,35.33,0,70.37,1.6,0,0,0,0,20.56,21.19,0,0,16.48,20.8,0,0,348.98,0,0,0,10.25,0,0,0,0,0,0,0,52.53,118.76,0,125.97,22.47

2,00:15-00:30,654.31,98.87,0,42.4,0,0,2.33,0,0,0,8.87,0,0,92,124.32,0,0,4.57,0,42.84,0,66.85,0,0,0,0,0,20,683.14,9.13,44.92,0,0,0,0,0,0,35.33,0,70.37,1.6,0,0,0,0,20.56,21.19,0,0,16.48,20.8,0,0,348.98,0,0,0,10.25,0,0,0,0,0,0,0,52.53,118.76,0,125.97,22.47

3,00:30-00:45,654.31,98.87,0,42.4,0,0,2.33,0,0,0,8.87,0,0,92,124.32,0,0,4.57,0,42.84,0,66.85,0,0,0,0,0,20,683.14,0,44.92,0,0,0,0,0,0,2.76,0,70.37,1.6,0,0,0,0,20.56,21.19,0,0,16.48,20.8,0,0,348.98,0,0,0,5.13,0,0,0,0,0,0,0,52.53,118.76,0,125.97,22.47

4,00:45-01:00,654.31,98.87,0,42.4,0,0,2.33,0,0,0,8.87,0,0,92,124.32,0,0,4.57,0,42.84,0,66.85,0,0,0,0,0,20,683.14,0,44.92,0,0,0,0,0,0,0.88,0,70.37,1.6,0,0,0,0,20.56,21.19,0,0,16.48,20.8,0,0,348.98,0,0,0,5.13,0,0,0,0,0,0,0,52.53,118.76,0,125.97,22.47

5,01:00-01:15,654.31,98.87,0,42.4,0,0,2.33,0,0,0,8.87,0,0,92,124.32,0,0,4.57,0,42.84,0,66.85,0,0,0,0,0,20,683.14,0,44.92,0,0,0,0,0,0,0.88,0,70.37,1.6,0,0,0,0,20.56,21.19,0,0,16.48,20.8,0,0,348.98,0,0,0,5.13,0,0,0,0,0,0,0,52.53,118.76,0,125.97,22.47

6,01:15-01:30,654.31,98.87,0,42.4,0,0,2.33,0,0,0,8.87,0,0,92,124.32,0,0,4.57,0,42.84,0,66.85,0,0,0,0,0,20,683.14,0,44.92,0,0,0,0,0,0,0.88,0,70.37,1.6,0,0,0,0,20.56,21.19,0,0,16.48,20.8,0,0,348.98,0,0,0,5.13,0,0,0,0,0,0,0,52.53,118.76,0,125.97,22.47

7,01:30-01:45,654.31,98.87,0,42.4,0,0,12.78,0,0,0,8.87,0,0,92,124.32,0,0,4.57,0,42.84,0,66.85,0,0,0,0,0,20,683.14,0,44.92,0,0,0,0,0,0,1.21,0,70.37,1.6,0,0,0,0,20.56,21.19,0,0,16.48,20.8,0,0,376.88,0,0,0,5.13,0,0,0,0,0,0,0,52.53,118.76,0,125.97,22.47

