Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/62749,WR/2025/27369/A/63280,WR/2025/27361/A/63302,NR/2025/25929/C,WR/2025/27350/A/62900,NR/2025/25792/A/63290,NR/2025/25794/A/63289,NR/2025/25923/C,NR/2025/25791/A/63291,NR/2025/25790/A/63292,NR/2025/25828/A/62907,NR/2025/25886/A/62906,NR/2025/25795/A/62959,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/6490,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/10/9513,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1333,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,Total
,,SECI_Trader,IEXL,MANIKARAN,APPCPL,TPDDL,KEIPL,APPCPL,APPCPL,DIAPL,APPCPL,APPCPL,DIAPL,DIAPL,APPCPL,IEXL,HPXL,PUNJAB,BAWANA_GAS,IVPL_Trader,IEXL,IEXL,DELHI,IEXL,IEXL,APPCPL,NDMC,PXIL,IEXL,IEXL,
,,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,SIKKIM_STATE,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,KARNATAKA_STATE,HIMACHAL_STATE,HIMACHAL_STATE,SIKKIM_STATE,DELHI_UT,NA,UTTARPRADESH_STATE,SIKKIM_STATE,SIKKIM_STATE,
,,APSEPL_FTG,TPSL_BKN2,BYPL,BYPL,JHAJJAR,BYPL,RKM_POWER,RKM_POWER,GBHHPL,JIPL,SKS_Raigarh,GBHHPL,GBHHPL,TRN_ENERGY,LLHEP1234,MSPLTD,BAWANA_GAS,BAWANA_GAS,BYPL,RHPPL_HP,KPTCL,CHANJUII,KGEPL_HP,RCHEP,BYPL,JPL2,LAPL_UP,Kalez_Khola_HEP,MEYONGCHU_HEP,
,,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,MES_Delhi,CSEB_Beneficiary,CSEB_Beneficiary,TPDDL,CSEB_Beneficiary,NDMC,NDMC,DIAPL,NDMC,NDMC,DIAPL,DIAPL,NDMC,BRPL,BRPL,PUNJAB,HARYANA,TPC_MSEB,BRPL,BYPL,TPDDL,BRPL,BRPL,KSEB,NDMC,BRPL,BRPL,BRPL,
,,North-North,North-North,North-West,North-West,North-North,North-West,West-North,West-North,North-North,East-North,West-North,North-North,North-North,West-North,East-North,West-North,North-North,North-North,North-West,North-North,South-East-North,North-North,North-North,East-North,North-West-South,West-North,North-North,East-North,East-North,
1,00:00-00:15,0,0,48.12,48.12,164.59,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.49,9.62,2.89,52.5,36.58,48.12,2.89,2.89,816.68

2,00:15-00:30,0,0,48.12,48.12,164.59,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.49,9.62,2.89,52.5,36.58,48.12,2.89,2.89,816.68

3,00:30-00:45,0,0,48.12,48.12,164.59,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.49,9.62,2.89,52.5,36.58,48.12,2.89,2.89,816.68

