Block,Time,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/19062024/19062024/IEX_240618_01171,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,NR/01062024/30062024/R2,L_NR_2019_19,NR/01062024/30062024/IEPL01,NR/01102023/02012046/L_NR_2021_17,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/30092023/26122029/SH-06,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/19062024/19062024/1000011387-GOHP-BRPL(DISCOM),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/1000011017-PPGCL-BRPL,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/22102023/11042047/L_NR_2021_16,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,66.67,0,0.000000,30.910000,13,100.640000,9.560000,38.640000,262.270000,273.140000,24.150000,0.000000,0.000000,87.130000,0,66.67,0,0,24.150000,0,38.640000,0,48.300000,48.300000,0.000000,30.83,0,10.410000,10.610000,21.780000,30.910000,92.5,0,31.290000,0.000000,24.150000,67.620000,23.34,30.84,24.150000,24.150000,0,0.000000,38.640000,15.680000,0,16.110000,107.920000,0,0,0,0

2,00:15-00:30,66.67,0,0.000000,30.910000,12.6,100.640000,9.560000,38.640000,262.270000,273.140000,24.150000,0.000000,0.000000,87.130000,0,66.67,0,0,24.150000,0,38.640000,0,48.300000,48.300000,0.000000,31,0,10.410000,10.610000,21.780000,30.910000,93,0,31.290000,0.000000,24.150000,67.620000,23.34,31,24.150000,24.150000,0,0.000000,38.640000,15.680000,0,16.110000,107.920000,0,0,0,0

3,00:30-00:45,66.67,0,0.000000,30.910000,12.01,100.640000,9.560000,38.640000,262.270000,273.140000,24.150000,0.000000,0.000000,87.130000,0,66.67,0,0,24.150000,0,38.640000,0,48.300000,48.300000,0.000000,31.17,0,10.410000,10.610000,21.780000,30.910000,93.5,0,31.290000,0.000000,24.150000,67.620000,23.34,31.16,24.150000,24.150000,0,0.000000,38.640000,15.680000,0,16.110000,107.920000,0,0,0,0

4,00:45-01:00,66.67,0,0.000000,30.910000,11.61,100.640000,9.560000,38.640000,262.270000,273.140000,24.150000,0.000000,0.000000,87.130000,0,66.67,0,0,24.150000,0,38.640000,0,48.300000,48.300000,0.000000,31.33,0,10.410000,10.610000,21.780000,30.910000,94,0,31.290000,0.000000,24.150000,67.620000,23.34,31.34,24.150000,24.150000,0,0.000000,38.640000,15.680000,0,16.110000,107.920000,0,0,0,0

5,01:00-01:15,66.67,0,0.000000,30.910000,11.21,100.640000,9.290000,38.640000,262.270000,273.140000,24.150000,0.000000,0.000000,87.130000,0,66.67,0,0,24.150000,0,38.640000,0,48.300000,48.300000,0.000000,31.5,0,10.410000,10.610000,21.780000,30.910000,94.5,0,31.290000,0.000000,24.150000,67.620000,23.66,31.5,24.150000,24.150000,0,0.000000,38.640000,15.490000,0,16.110000,107.920000,0,0,0,0

