Block,Time,FSTPP I & II,TALA,SASAN,KHSTPP-II,BRBCL,KHSTPP-I,JHAJJAR,SALAL,RIHAND1,RIHAND2,DULHASTI,DADRI_RF,PARBATI3,SINGRAULI,URI2,UNCHAHAR3,ANTA_CRF,AURY_RF,NJPC,SINGRAULI_HYDRO,CHAMERA1,CHAMERA3,KISHANGANGA,DADRI_CRF,DADRT2,CHAMERA2,RAPPC,NAPP,ANTA_RF,ANTA_LF,RIHAND3,AURY_CRF,UNCHAHAR1,URI,AURY_LF,DADRI_LF,DADRI_GF,DHAULIGNGA,UNCHAHAR2,TEHRI,KOLDAM,SEWA2,TANAKPUR,BSIUL,RAPPB,TANDA2,AURY_GF,RAMPUR,KOTESHWR,ANTA_GF,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,11.607750,0.000000,403.066125,78.819125,17.159843,22.012375,230.518750,2.460535,59.378165,90.713026,1.852331,0.000000,0.000000,120.877969,16.054962,14.004375,0.000000,0.000000,0.000000,0.773330,0.000000,0.000000,0.000000,0.000000,360.090500,0.000000,51.910031,41.940360,0.000000,0.000000,58.894894,0.000000,12.204500,36.659700,0.000000,0.000000,0.000000,0.000000,22.474375,0.000000,0.000000,0.000000,0.863074,0.000000,0.000000,0.000000,0.000000,0.000000,8.731030,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,11.607750,0.000000,403.066125,78.819125,17.971460,22.012375,230.518750,2.460535,59.378165,90.713026,1.852331,0.000000,0.000000,120.877969,16.054962,14.004375,0.000000,0.000000,0.000000,0.773330,0.000000,0.000000,0.000000,0.000000,360.090500,0.000000,51.910031,41.940360,0.000000,0.000000,56.687267,0.000000,12.204500,36.659700,0.000000,0.000000,0.000000,0.000000,22.474375,0.000000,0.000000,0.000000,0.863074,0.000000,0.000000,0.000000,0.000000,0.000000,8.731030,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,11.607750,0.000000,403.066125,78.819125,17.919928,22.012375,230.518750,2.460535,59.378165,90.713026,1.852331,0.000000,0.000000,120.877969,16.054962,14.004375,0.000000,0.000000,0.000000,0.773330,0.000000,0.000000,0.000000,0.000000,360.090500,0.000000,51.910031,41.940360,0.000000,0.000000,43.494894,0.000000,12.204500,1.593900,0.000000,0.000000,0.000000,0.000000,22.474375,0.000000,0.000000,0.000000,0.863074,0.000000,0.000000,0.000000,0.000000,0.000000,8.731030,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,11.607750,0.000000,403.066125,78.819125,16.504942,22.012375,230.518750,2.460535,59.378165,90.713026,1.852331,0.000000,0.000000,120.877969,16.054962,14.004375,0.000000,0.000000,0.000000,0.773330,0.000000,0.000000,0.000000,0.000000,360.090500,0.000000,51.910031,41.940360,0.000000,0.000000,43.494894,0.000000,12.204500,1.593900,0.000000,0.000000,0.000000,0.000000,22.474375,0.000000,0.000000,0.000000,0.863074,0.000000,0.000000,0.000000,0.000000,0.000000,8.731030,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,11.607750,0.000000,403.066125,78.819125,17.380194,22.012375,230.518750,2.460535,59.378165,90.713026,1.852331,0.000000,0.000000,120.877969,16.054962,14.004375,0.000000,0.000000,0.000000,0.773330,0.000000,0.000000,0.000000,0.000000,360.090500,0.000000,51.910031,41.940360,0.000000,0.000000,43.494894,0.000000,12.204500,1.593900,0.000000,0.000000,0.000000,0.000000,22.474375,0.000000,0.000000,0.000000,0.493185,6.276270,0.000000,0.000000,0.000000,0.000000,8.731030,0.000000,0.000000,0,0,0,0,0

