Block,Time,RIHAND1,SINGRAULI,AURY_CRF,TANAKPUR,ANTA_RF,DADRI_RF,ANTA_GF,NJPC,UNCHAHAR3,DULHASTI,SEWA2,AURY_LF,RIHAND3,DADRI_CRF,ANTA_LF,RAMPUR,DADRI_LF,BSIUL,AURY_RF,RAPPC,RAPPB,UNCHAHAR1,DADRT2,CHAMERA1,SALAL,AURY_GF,URI,DADRI_GF,TANDA2,NAPP,SINGRAULI_HYDRO,TEHRI,KISHANGANGA,ANTA_CRF,DHAULIGNGA,CHAMERA2,KOLDAM,UNCHAHAR4,PARBATI3,URI2,UNCHAHAR2,RIHAND2,JHAJJAR,CHAMERA3,KOTESHWR,KHSTPP-II,BRBCL,TALA,KHSTPP-I,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,84.268800,112.398300,0.000000,7.973456,0.000000,0.000000,0.000000,0.000000,4.788000,0.000000,0.000000,0.000000,118.422202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.010320,0.000000,3.830400,347.608800,0.000000,1.335277,0.000000,4.228762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.702209,25.489110,113.116500,155.131200,0.000000,0.000000,111.474021,14.363958,0.000000,21.840506,9.544495,401.014152,0,0,0,0,0

2,00:15-00:30,84.268800,112.398300,0.000000,7.973456,0.000000,0.000000,0.000000,0.000000,4.788000,0.000000,0.000000,0.000000,118.422202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.010320,0.000000,3.830400,347.608800,0.000000,1.335277,0.000000,4.228762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.702209,25.489110,113.116500,214.502400,0.000000,0.000000,98.432470,14.363958,0.000000,21.339350,9.544495,401.014152,0,0,0,0,0

3,00:30-00:45,84.268800,112.398300,0.000000,7.973456,0.000000,0.000000,0.000000,0.000000,4.788000,0.000000,0.000000,0.000000,118.422202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.010320,0.000000,3.830400,347.608800,0.000000,1.335277,0.000000,38.058854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.702209,25.489110,113.116500,224.078400,0.000000,0.000000,102.624951,14.363958,0.000000,21.339350,9.544495,401.014152,0,0,0,0,0

4,00:45-01:00,84.268800,112.398300,0.000000,7.973456,0.000000,0.000000,0.000000,0.000000,4.788000,0.000000,0.000000,0.000000,118.422202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.010320,0.000000,3.830400,347.608800,0.000000,1.335277,0.000000,38.058854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.702209,15.321600,113.116500,224.078400,0.000000,0.000000,98.432470,14.363958,0.000000,21.339350,4.788000,401.014152,0,0,0,0,0

5,01:00-01:15,84.268800,112.398300,0.000000,2.453371,0.000000,0.000000,0.000000,0.000000,4.788000,0.000000,0.000000,0.000000,118.422202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.010320,0.000000,3.830400,347.608800,0.000000,12.240043,0.000000,4.228762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.973228,15.321600,113.116500,224.078400,0.000000,0.000000,88.856470,14.363958,0.000000,21.339350,4.788000,401.014152,0,0,0,0,0

