Column1,Time,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/03/01/9482,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/03/01/2563,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/3469,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/4651,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/02122045/L_NR_2021_13,NR/01102023/05012040/L_NR_2020_02,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,GNA/SR/2025/03/01/7500,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668
1,00:00-00:15,42,0,271.44,100.01,9.6,70.01,166.48,55.49,0,23.04,0,259.78,0.78,6.72,26.99,4.6,23.04,5.76,28.26,0,32,0,23.04,86.59,1.15,0,1.31,31.01,0,0,0,0,200,0,25.66,6.67,0,0,0,10.33,25.67,10.33,0,0,0,25.41,0

2,00:15-00:30,42,0,271.44,100.01,9.6,70.01,166.48,55.49,0,23.04,0,259.78,0.78,6.72,26.99,4.6,23.04,5.76,28.26,0,32,0,23.04,86.59,1.15,0,1.31,31.99,0,0,0,0,200,0,25,6.67,0,0,0,10.67,25,10.67,0,0,0,24.41,0

3,00:30-00:45,42,0,271.44,100.01,9.6,70.01,166.48,55.49,0,23.04,0,259.78,1.08,6.72,26.99,4.6,23.04,5.76,28.26,0,26.99,0,23.04,86.59,1.15,0,1.31,27,0,0,0,0,200,0,18.34,6.67,0,0,0,9,18.33,9,0,0,0,24.01,0

4,00:45-01:00,42,0,271.44,100.01,9.6,70.01,166.48,55.49,0,23.04,0,259.78,1.08,6.72,26.99,4.6,23.04,5.76,28.26,0,26.99,0,23.04,86.59,1.15,0,1.31,28.01,0,0,0,0,200,0,18.34,6.67,0,0,0,9.33,18.33,9.33,0,0,0,23.41,0

5,01:00-01:15,42,0,271.44,100.01,9.6,70.01,166.48,55.49,0,23.04,0,259.78,1.08,6.72,26.99,4.6,23.04,5.76,28.26,0,26.99,0,23.04,86.59,1.15,0,1.31,28.99,0,0,0,0,200,0,18.66,6.67,0,0,0,9.67,18.67,9.67,0,0,0,23.01,0

6,01:15-01:30,42,0,271.44,100.01,9.6,70.01,166.48,55.49,0,23.04,0,259.78,1.08,6.72,26.99,4.6,23.04,5.76,28.26,0,26.99,0,23.04,86.59,1.15,0,1.31,30,0,0,0,0,200,0,19.34,6.67,0,0,0,10,19.33,10,0,0,0,22.41,0

