Block,Time,L_NR_2019_11,LT-35,L_NR_2019_19,LT-05,L_NR_2012_04,LT-31,LT-59,L_NR_2012_01,L_NR_2020_02,SH-06,L_NR_2012_07,LT_MEJA_Delhi,SH-07,LT-36,L_NR_2012_02,L_NR_2022_08,L_NR_2022_09,L_NR_2019_05,L_NR_2020_05,L_NR_2021_12,L_NR_2020_07,L_NR_2021_14,L_NR_2021_13,L_NR_2021_16,L_NR_2019_07,L_NR_2020_06,L_NR_2021_15,L_NR_2022_10,L_NR_2019_06,L_NR_2018_61,L_NR_2021_17
1,00:00-00:15,5.380000,0.000000,0.000000,70.540000,271.830000,0.000000,5.440000,101.240000,4.470000,0.000000,48.240000,3.470000,0.000000,0.000000,189.120000,5.11,22.86,0,22.46,0,7.48,0,0,0,0,7.49,0,22.86,0,4.62,0

2,00:15-00:30,5.380000,0.000000,0.000000,70.540000,271.830000,0.000000,5.440000,101.240000,4.470000,0.000000,48.240000,3.470000,0.000000,0.000000,179.460000,5,22.12,0,22.41,0,7.47,0,0,0,0,7.47,0,22.12,0,4.73,0

3,00:30-00:45,5.380000,0.000000,0.000000,70.540000,271.830000,0.000000,5.440000,101.240000,4.470000,0.000000,48.240000,3.470000,0.000000,0.000000,169.790000,4.88,21.58,0,22.32,0,7.43,0,0,0,0,7.44,0,21.58,0,4.7,0

4,00:45-01:00,5.380000,0.000000,0.000000,70.540000,271.830000,0.000000,5.440000,101.240000,4.470000,0.000000,48.240000,3.470000,0.000000,0.000000,160.130000,4.77,20.09,0,22.21,0,7.41,0,0,0,0,7.4,0,20.09,0,4.66,0

5,01:00-01:15,5.380000,0.000000,0.000000,70.540000,271.830000,0.000000,5.440000,90.460000,4.470000,0.000000,36.150000,3.470000,0.000000,0.000000,160.130000,5.13,21.83,0,22.32,0,7.43,0,0,0,0,7.44,0,21.83,0,4.71,0

6,01:15-01:30,5.380000,0.000000,0.000000,70.540000,271.830000,0.000000,5.440000,90.460000,4.470000,0.000000,36.150000,3.470000,0.000000,0.000000,160.130000,5.16,18.45,0,22.08,0,7.37,0,0,0,0,7.36,0,18.45,0,4.62,0

7,01:30-01:45,5.380000,0.000000,0.000000,70.540000,231.960000,0.000000,4.930000,55.280000,4.470000,0.000000,36.200000,3.720000,0.000000,0.000000,160.130000,4.53,18.07,0,22.2,0,7.41,0,0,0,0,7.4,0,18.07,0,4.62,0

8,01:45-02:00,5.380000,0.000000,0.000000,70.540000,193.300000,0.000000,4.930000,55.280000,4.470000,0.000000,36.200000,3.860000,0.000000,0.000000,160.130000,3.83,18.76,0,35.33,0,11.76,0,0,0,0,11.78,0,18.76,0,4.78,0

9,02:00-02:15,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.930000,55.280000,4.470000,0.000000,36.200000,4.140000,0.000000,0.000000,160.130000,4.78,26.93,0,34.51,0,11.51,0,0,0,0,11.5,0,26.93,0,4.7,0

10,02:15-02:30,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.930000,55.280000,4.470000,0.000000,36.200000,4.210000,0.000000,0.000000,160.130000,4.98,26.9,0,33.13,0,11.05,0,0,0,0,11.04,0,26.9,0,4.8,0

11,02:30-02:45,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.930000,55.280000,4.470000,0.000000,36.200000,4.210000,0.000000,0.000000,160.130000,4.96,26.7,0,32.01,0,10.66,0,0,0,0,10.67,0,26.7,0,4.72,0

12,02:45-03:00,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.930000,55.280000,4.470000,0.000000,36.200000,4.340000,0.000000,0.000000,160.130000,5.33,26.36,0,30.52,0,10.17,0,0,0,0,10.18,0,26.36,0,4.71,0

13,03:00-03:15,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.760000,55.280000,4.370000,0.000000,36.200000,4.470000,0.000000,0.000000,160.130000,5.36,24.85,0,29.45,0,9.81,0,0,0,0,9.82,0,24.85,0,4.79,0

14,03:15-03:30,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.760000,55.280000,4.370000,0.000000,36.200000,4.590000,0.000000,0.000000,160.130000,4.69,23.92,0,26.83,0,8.95,0,0,0,0,8.94,0,23.92,0,4.71,0

15,03:30-03:45,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.760000,55.280000,4.370000,0.000000,36.200000,4.590000,0.000000,0.000000,160.130000,4.17,17.02,0,22.46,0,7.48,0,0,0,0,7.49,0,17.02,0,4.78,0

16,03:45-04:00,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.760000,55.280000,4.370000,0.000000,36.200000,4.590000,0.000000,0.000000,160.130000,4.21,17.41,0,22.41,0,7.47,0,0,0,0,7.47,0,17.41,0,4.66,0

17,04:00-04:15,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.760000,55.280000,4.370000,0.000000,36.200000,4.590000,0.000000,0.000000,160.130000,4.17,17.71,0,22.32,0,7.43,0,0,0,0,7.44,0,17.71,0,4.64,0

18,04:15-04:30,5.230000,0.000000,0.000000,70.540000,149.810000,0.000000,4.760000,55.280000,4.370000,0.000000,36.200000,4.730000,0.000000,0.000000,160.130000,4.15,16.56,0,22.21,0,7.41,0,0,0,0,7.4,0,16.56,0,4.8,0

19,04:30-04:45,5.230000,0.000000,0.000000,70.540000,193.300000,0.000000,4.760000,55.280000,4.370000,0.000000,36.200000,4.870000,0.000000,0.000000,160.130000,4.45,15.96,0,22.32,0,7.43,0,0,0,0,7.44,0,15.96,0,4.76,0

20,04:45-05:00,5.230000,0.000000,0.000000,70.540000,231.960000,0.000000,4.760000,80.410000,4.370000,0.000000,36.200000,5.020000,0.000000,0.000000,160.130000,3.5,12.66,0,22.3,0,7.43,0,0,0,0,7.43,0,12.66,0,4.8,0

21,05:00-05:15,5.230000,0.000000,0.000000,70.540000,193.300000,0.000000,4.620000,80.410000,4.370000,0.000000,36.150000,5.150000,0.000000,0.000000,160.130000,3.51,12.5,0,22.33,0,7.46,0,0,0,0,7.44,0,12.5,0,4.78,0

22,05:15-05:30,5.230000,0.000000,0.000000,70.540000,231.960000,0.000000,4.620000,80.410000,4.370000,0.000000,36.150000,5.300000,0.000000,0.000000,179.460000,3.53,12.47,0,22.42,0,7.49,0,0,0,0,7.47,0,12.47,0,4.69,0

23,05:30-05:45,5.230000,0.000000,0.000000,70.540000,271.830000,0.000000,4.620000,101.240000,4.370000,0.000000,36.150000,5.430000,0.000000,0.000000,208.450000,4.18,12.38,0,22.38,0,7.45,0,0,0,0,7.46,0,12.38,0,4.62,0

24,05:45-06:00,5.230000,0.000000,2.280000,70.540000,271.830000,0.000000,4.620000,101.240000,4.370000,0.000000,36.150000,5.580000,0.000000,0.000000,220.280000,3.93,12.38,0,22.23,0,7.41,0,0,0.13,0,7.41,0,12.38,0,4.69,0.07

25,06:00-06:15,5.070000,0.020000,7.310000,70.540000,271.830000,0.020000,4.620000,101.240000,4.270000,0.000000,46.320000,5.700000,0.000000,0.020000,220.280000,3.81,12.51,2.53,19.3,0.37,6.44,0.03,0.07,1.54,1.35,6.43,0.16,12.51,4.99,4.6,0.77

26,06:15-06:30,5.070000,0.130000,12.380000,70.540000,271.830000,0.130000,4.620000,101.240000,4.270000,0.000000,52.220000,5.850000,0.000000,0.130000,220.280000,3.66,12.46,7.3,17.59,3.88,5.87,0.03,0.77,4.44,3.74,5.86,0.89,12.46,12.7,4.63,2.22

27,06:30-06:45,5.070000,0.660000,18.360000,70.540000,271.830000,0.570000,4.620000,101.240000,4.270000,0.000000,52.220000,5.980000,0.000000,0.410000,261.530000,3.66,12.54,14.16,17.59,9.73,5.88,1.32,1.95,8.24,10.84,5.86,2.15,12.54,20.93,4.63,4.12

28,06:45-07:00,5.070000,1.540000,25.860000,70.540000,271.830000,1.380000,4.620000,101.240000,4.270000,0.000000,52.220000,6.130000,0.000000,1.100000,261.530000,3.54,12.44,24.97,17.77,17.6,5.94,3.89,3.52,12.77,16.76,5.92,4,12.44,32.59,4.63,6.39

29,07:00-07:15,5.070000,2.550000,34.610000,70.540000,271.830000,2.360000,4.470000,101.240000,4.270000,0.000000,52.220000,6.260000,0.000000,1.830000,261.530000,3.63,12.53,33,17.73,29.72,5.91,7.61,5.94,23.33,25.14,5.91,6.48,12.53,33,4.77,11.67

30,07:15-07:30,5.070000,3.510000,44.240000,70.540000,271.830000,3.360000,4.470000,101.240000,4.270000,0.000000,52.220000,6.410000,0.000000,2.660000,261.530000,3.61,12.51,31,17.52,44.29,5.85,12.68,8.86,33.33,31,5.84,9.53,12.51,31,4.61,16.67

31,07:30-07:45,4.460000,4.420000,54.180000,70.540000,271.830000,4.180000,4.470000,101.240000,4.090000,0.000000,42.040000,6.550000,0.000000,3.550000,261.530000,3.65,11.16,31,17.61,62.2,5.87,18.96,12.44,46,31,5.87,12.8,11.16,31,4.71,23

32,07:45:08:00,4.460000,5.320000,63.400000,70.540000,271.830000,5.170000,4.470000,101.240000,4.090000,0.000000,42.040000,6.690000,0.000000,4.430000,259.380000,3.53,9.35,31,17.58,78.43,5.87,26.09,15.68,56.67,31,5.86,16.27,9.35,31,4.61,28.33

33,08:00-08:15,4.460000,6.620000,71.670000,70.540000,271.830000,6.410000,4.470000,101.240000,4.000000,0.000000,42.040000,6.830000,0.000000,5.820000,220.720000,3.46,8.45,31.34,17.87,97.89,5.95,34,19.58,64.67,31.33,5.96,23.05,8.45,31.33,4.65,32.33

34,08:15-08:30,4.460000,7.520000,79.790000,70.540000,271.830000,7.480000,4.470000,101.240000,4.000000,0.000000,42.040000,6.940000,0.000000,6.690000,201.390000,3.58,8.5,31.34,17.73,118.97,5.91,42.63,23.79,69.34,31.33,5.91,27.24,8.5,31.33,4.74,34.66

35,08:30-08:45,4.460000,8.720000,88.330000,70.540000,251.290000,8.530000,4.470000,101.240000,4.000000,0.000000,42.040000,6.940000,0.000000,8.140000,160.130000,3.63,8.61,31.34,17.43,139.54,5.81,48.94,27.91,75.34,31.33,5.81,31.06,8.61,31.33,4.7,37.66

36,08:45:09:00,4.460000,9.770000,97.100000,70.540000,251.290000,9.550000,4.470000,101.240000,4.000000,0.000000,42.040000,6.940000,0.000000,9.420000,160.130000,3.38,8.52,31.34,17.56,158.74,5.86,56.51,31.75,82,31.33,5.85,34.46,8.52,31.33,4.72,41

