Column1,Time,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2952,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/3109,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/8139,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/8154,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/8128,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/2997,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1044,NR/01102023/30042040/GNA_LT_36,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,10.59,43.75,81.81,25.24,49.09,8.52,-0,225.22,19.25,0,135.71,10.48,66.92,20.76,270.7,12.66,32,117.46,100.27,0,15.26,7.47,70.19,26.7,13.63,5.9,0,0,0,0,23.33,28.33,42.42,28.33,85.01,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,10.59,43.75,81.81,26.25,49.09,8.52,-0,225.22,19.25,0,135.71,10.48,66.92,20.76,270.7,12.66,32,102.47,100.27,0,15.26,7.47,70.19,26.7,13.63,5.9,0,0,0,0,24,29.33,42.42,29.33,88.01,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,10.59,43.75,81.81,26.25,49.09,8.52,-0,225.22,19.25,0,135.71,10.48,66.92,20.76,250.25,12.66,26.7,102.47,100.27,0,15.26,7.47,70.19,26.7,13.63,5.9,0,0,0,0,24.33,30,41.62,30,90,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,10.59,43.75,81.81,26.75,49.09,8.52,-0,225.22,19.25,0,135.71,10.48,66.92,20.76,231,12.66,26.7,102.47,100.27,0,15.26,7.47,70.19,26.7,13.63,5.9,0,0,0,0,24.67,30.83,41.22,30.83,92.51,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,10.59,43.75,81.81,26.75,49.09,4.01,-0,225.22,19.25,0,135.71,10.48,66.92,20.76,231,10.27,26.7,102.47,100.27,0,15.26,7,70.19,26.7,13.63,4.89,0,0,0,0,26,25.5,40.22,25.5,76.5,0,0,0,0,0,0,0,0,0,0,0,0

