Block,Time,NR/01122023/15122023/HP-15,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/08122023/15122023/HP-19,NR/01102023/22052037/LT-59,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,SR/01122023/31122023/BYPL_KSEB_DEC23,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,57.030000,148.120000,1.750000,47.880000,127.340000,1.160000,95.760000,25.850000,0.000000,23.940000,0.000000,30.640000,168.540000,71.250000,1.370000,0.000000,0.000000,25.850000,47.88,8.57,0,0,0,6.66,9.67,0,9.67,5.84,0,0,0,0,0,0,0,0,0,17.5,5.83,0

2,00:15-00:30,57.030000,148.120000,1.750000,47.880000,127.340000,1.160000,95.760000,25.850000,0.000000,23.940000,0.000000,30.640000,168.540000,71.250000,1.370000,0.000000,0.000000,25.850000,47.88,8.71,0,0,0,6.66,9.67,0,9.67,5.84,0,0,0,0,0,0,0,0,0,17.5,5.83,0

3,00:30-00:45,57.030000,148.120000,1.750000,47.880000,127.340000,1.010000,95.760000,25.850000,0.000000,23.940000,0.000000,30.640000,168.540000,71.250000,1.370000,0.000000,0.000000,25.850000,47.88,8.75,0,0,0,6.66,9.67,0,9.67,5.84,0,0,0,0,0,0,0,0,0,17.5,5.83,0

4,00:45-01:00,57.030000,148.120000,1.750000,47.880000,127.340000,1.010000,95.760000,25.850000,0.000000,23.940000,0.000000,30.640000,137.890000,71.250000,1.370000,0.000000,0.000000,25.850000,47.88,8.83,0,0,0,6.66,9.67,0,9.67,5.84,0,0,0,0,0,0,0,0,0,17.5,5.83,0

5,01:00-01:15,57.030000,148.120000,1.750000,47.880000,127.340000,1.010000,95.760000,25.850000,0.000000,23.940000,0.000000,30.640000,128.320000,71.250000,1.370000,0.000000,0.000000,25.850000,47.88,9.05,0,0,0,6.66,9.67,0,9.67,5.84,0,0,0,0,0,0,0,0,0,17.5,5.83,0

6,01:15-01:30,57.030000,148.120000,1.750000,47.880000,127.340000,1.010000,95.760000,25.850000,0.000000,23.940000,0.000000,30.640000,109.170000,71.250000,1.370000,0.000000,0.000000,25.850000,47.88,16.99,0,0,0,6.66,9.67,0,9.67,5.84,0,0,0,0,0,0,0,0,0,17.5,5.83,0

7,01:30-01:45,57.030000,148.120000,1.750000,47.880000,127.340000,1.010000,95.760000,25.850000,0.000000,23.940000,0.000000,30.640000,109.170000,71.250000,1.370000,0.000000,0.000000,25.850000,47.88,17.3,0,0,0,4.34,6.67,0,6.67,4.16,0,0,0,0,0,0,0,0,0,12.5,4.17,0

