Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/30334/A/85154,NR/2025/29985/A/85295,NR/2025/30574/C,GNA/NR/2025/07/01/8139,NR/2025/30067/A/85703,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,NR/2025/30646/C,NR/2025/30217/A/85620,NR/2025/30082/A/85635,NR/2025/29915/A/85206,NR/2025/29628/A/85639,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2786,NR/2025/27978/A/85623,GNA/NR/2025/07/01/8230,NR/2025/30083/A/85629,NR/2025/30639/C,NR/2025/30640/C,NR/2025/30649/C,NR/2025/30101/A/85616,NR/2025/30492/A/85587,NR/2025/29440/A/85184,NR/2025/30086/A/85626,NR/2025/27962/A/85602,NR/2025/30084/A/85627,NR/2025/26975/A/85642,NR/2025/30622/C,NR/2025/30191/A/85156,NR/2025/30516/C,NR/2025/30641/C,NR/2025/30579/C,NR/2025/29353/A/85460,NR/2025/30121/A/85162,NR/2025/30105/A/85624,NR/2025/29167/A/85207,NR/2025/29910/A/85636,NR/2025/27970/A/85606,NR/2025/29439/A/85239,NR/2025/29986/A/85297,NR/2025/29992/A/85253,NR/2025/30648/C,NR/2025/30596/C,NR/2025/27968/A/85605,NR/2025/27964/A/85604,NR/2025/30576/C,NR/2025/27963/A/85603,NR/2025/29352/A/85462,NR/2025/28725/A/85568,NR/2025/30642/C,NR/2025/30647/C,NR/2025/30650/C,NR/2025/30531/C,NR/2025/30623/C,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,Total
,,SECI_Trader,IEXL,BRPL,HPXL,PowerPulse,MANIKARAN,APPCPL,PTC,APPCPL,APPCPL,HPXL,TPTCL,APPCPL,MANIKARAN,PowerPulse,APPCPL,NDMC,NVVNL,PowerPulse,APPCPL,NVVNL,NVVNL,APPCPL,NVVNL,DIAPL,ITCLH,APPCPL,PowerPulse,APPCPL,APPCPL,APPCPL,IEXL,IEXL,NVVNL,PowerPulse,PTC,IEXL,APPCPL,TPTCL,APPCPL,PowerPulse,IVPL_Trader,BRPL,BYPL,APPCPL,ITCLH,PowerPulse,PowerPulse,PowerPulse,PowerPulse,PTC,PowerPulse,NVVNL,APPCPL,APPCPL,BYPL,APPCPL,BAWANA_GAS,DELHI,PUNJAB,
,,NA,NA,NA,NA,NA,NA,GOA_State,NA,NA,NA,NA,UTTARPRADESH_STATE,MSEB_State,MSEB_State,NA,GOA_State,NA,NA,NA,NA,MP_State,NA,NA,MP_State,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,Manipur_State,MSEB_State,NA,NA,NA,NA,GoHP_NJPC_STATE,TAMILNADU_State,NA,MSEB_State,KERALA_State,NA,MSEB_State,NA,KERALA_State,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,NA,NA,NA,KERALA_State,KERALA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,
,,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,SKS_Raigarh,APL_Raipur_TPP,MBMP,GOA_Beneficiary,MEENAKSHI,SKS_Raigarh,TRN_ENERGY,SKS_Raigarh,PPGCL,AEML,AEML,MAHAN_ENERGEN,GOA_Beneficiary,JPL2,JPNIGRIE_JNSTPP,APL_Raipur_TPP,SKS_Raigarh,JP_BINA,JPNIGRIE_JNSTPP,TRN_ENERGY,JP_BINA,GBHHPL,ITCWIND,RKM_POWER,APL_Raipur_TPP,RKM_POWER,Manipur_Ben,AEML,IND_BHARAT,IND_BHARAT,Kameng,APL_Raipur_TPP,GoHP_NJPC,PCBLTNLTD_UNIT2,JIPL,TPC_MSEB,KSEB,APL_Raigarh_TPP,TPC_MSEB,DADRT2,KSEB,JIPL,ITCWIND,APL_Raigarh_TPP,MAHAN_ENERGEN,MAHAN_ENERGEN,MAHAN_ENERGEN,GoHP_Chamera1,MAHAN_ENERGEN,SORANG_HEP,RKM_POWER,RKM_POWER,KSEB,KSEB,BAWANA_GAS,CHANJUII,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,
,,TPDDL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,NDMC,TPDDL,TPDDL,NDMC,TPDDL,DIAPL,ITCLH,NDMC,TPDDL,NDMC,BYPL,BYPL,BRPL,BRPL,TPDDL,TPDDL,BRPL,MES_Delhi,NDMC,BYPL,BYPL,TPDDL,BYPL,BRPL,BYPL,NDMC,ITCLH,TPDDL,TPDDL,BRPL,TPDDL,BRPL,BRPL,TPDDL,NDMC,NDMC,BYPL,BYPL,HARYANA,TPDDL,PUNJAB,
,,North-North,North-North,North-North,West-North,West-North,West-North,West-North,South-East-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,North East-East-North,West-North,East-North,East-North,North East-East-North,West-North,North-North,South-West-North,East-North,West-North,South-West-North,West-North,West-North,North-North,South-West-North,East-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,South-West-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,31.7,12.51,0.91,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2152.93

2,00:15-00:30,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,31.7,12.51,0.91,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2152.93

3,00:30-00:45,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,31.7,12.51,0.91,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2152.93

4,00:45-01:00,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,31.7,12.51,0.91,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2152.93

5,01:00-01:15,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,31.7,12.51,0.77,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2152.7899999999995

6,01:15-01:30,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,31.7,12.51,0.77,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2152.7899999999995

7,01:30-01:45,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,31.7,12.51,0.77,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2152.7899999999995

8,01:45-02:00,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,31.7,12.51,0.77,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2152.7899999999995

9,02:00-02:15,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.67,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2095.8900000000003

10,02:15-02:30,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.67,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2095.8900000000003

11,02:30-02:45,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.67,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2095.8900000000003

12,02:45-03:00,0,0,0,0,134.99,204.53,15.26,49.09,0,7.7,48.12,20.45,105.88,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.67,26.25,96.25,26.25,26.47,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,2095.8900000000003

13,03:00-03:15,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,1771.8400000000004

14,03:15-03:30,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,1771.8400000000004

