Block,Time,SINGRAULI_HYDRO,UNCHAHAR1,CHAMERA3,KISHANGANGA,NAPP,URI,ANTA_RF,CHAMERA2,UNCHAHAR4,AURY_CRF,SALAL,AURY_GF,NJPC,URI2,DADRI_CRF,DHAULIGNGA,TEHRI,SINGRAULI,KOTESHWR,RIHAND3,DADRT2,TANAKPUR,ANTA_GF,AURY_LF,DADRI_RF,DULHASTI,TANDA2,ANTA_CRF,RIHAND1,UNCHAHAR2,CHAMERA1,RAMPUR,JHAJJAR,ANTA_LF,PARBATI3,KOLDAM,BSIUL,AURY_RF,RAPPB,RAPPC,RIHAND2,SEWA2,DADRI_LF,DADRI_GF,KUDGI,KSTPS7,GANDHAR-ComGas,UNCHAHAR3,KGSU3AND4,VSTPS IV,KHSTPP-I,NLCIIST1,VSTPS II,BRBCL,KGSU1AND2,GANDHAR-NAPM,SOLAPUR,SIPAT I,NLCIIST2,SASAN,VSTPS I,FSTPP I & II,KKNP,GANDHAR-RLNG,NTPL,GADARWARA-I,MOUDA,SIPAT II,NLCTS2EXP,KAWAS-NAPM,MAPS,KSTPS I&II,GANDHAR-APM,KHARGONE-I,KAWAS-ComGas,NNTPP,LARA-I,TALA,VALLURNTECL,KAWAS-zLIQ,MOUDA_II,VSTPS III,SIMHST2,RSTPSU7,KHSTPP-II,NLCEXP,VSTPS V,KAPS,RSTPSU1TO6,TAPS-II,KAWAS-RLNG,KAWAS-APM,TALST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.016347,21.375627,30.545986,2.457837,42.075389,48.920227,0.000000,42.033750,1.375213,0.000000,51.490312,0.000000,19.724074,34.344245,0.000000,0.000000,29.402530,138.740979,16.786203,121.876716,260.712135,5.799740,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858435,41.944779,40.601245,0.381217,432.259820,0.000000,0.000000,1.024917,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,0.00,1.292598,0.000000,25.970568,2.10,2.585197,43.269509,0.81,1.871655,10.837149,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.286724,18.745722,1.55,0.000000,3.51,2.068157,1.866975,1.153018,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.71,1.87,140.893125,1.71,1.278811,0.799115,6.67,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

2,00:15-00:30,1.016347,21.375627,30.545986,2.457837,42.075389,48.920227,0.000000,42.033750,1.375213,0.000000,51.490312,0.000000,19.724074,34.344245,0.000000,0.000000,29.402530,138.740979,16.786203,121.876716,291.127274,5.799740,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,41.944779,40.601245,0.381217,432.259820,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,0.00,1.292598,0.000000,25.970568,2.10,2.585197,43.269509,0.81,1.871655,10.837149,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.286724,18.745722,1.55,0.000000,3.64,2.068157,1.866975,1.153018,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

3,00:30-00:45,1.016347,21.375627,30.545986,2.457837,42.075389,48.920227,0.000000,42.033750,1.375213,0.000000,51.490312,0.000000,19.724074,34.344245,0.000000,0.000000,29.402530,138.740979,16.786203,121.876716,291.127274,5.799740,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,41.944779,40.601245,0.381217,432.660899,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,0.00,1.292598,0.000000,25.970568,2.10,2.585197,43.269509,0.81,1.871655,10.837149,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.286724,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

4,00:45-01:00,1.016347,21.375627,30.545986,2.457837,42.075389,51.047194,0.000000,42.033750,1.375213,0.000000,51.490312,0.000000,19.724074,34.344245,0.000000,0.000000,29.402530,138.740979,16.786203,121.876716,291.127274,5.799740,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,41.944779,40.601245,0.381217,432.660899,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,0.00,1.292598,0.000000,25.970568,2.10,2.585197,43.269509,0.81,1.871655,10.329741,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.286724,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

5,01:00-01:15,1.016347,17.816330,30.545986,2.457837,42.075389,51.047194,0.000000,42.033750,1.375213,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,16.786203,121.876716,291.127274,5.799740,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,41.944779,40.601245,0.000000,437.996824,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,22.027396,2.10,2.585197,43.269509,0.81,1.871655,8.886234,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.286724,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

6,01:15-01:30,1.016347,17.816330,30.545986,2.457837,42.075389,48.920227,0.000000,42.033750,1.375213,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,16.786203,121.876716,289.485136,5.799740,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,41.944779,40.601245,0.000000,365.749324,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,22.027396,2.10,2.585197,43.269509,0.81,1.871655,9.853554,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.286724,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

7,01:30-01:45,1.016347,15.995793,30.545986,2.457837,42.075389,48.920227,0.000000,42.033750,1.375213,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,16.786203,121.876716,259.348663,0.000000,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,36.697517,40.601245,0.000000,300.200885,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,18.977992,2.10,2.585197,43.269509,0.81,1.871655,9.623649,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.306919,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

8,01:45-02:00,1.016347,14.405188,30.545986,2.457837,42.075389,48.920227,0.000000,42.033750,1.375213,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,16.786203,121.876716,248.531400,0.000000,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,36.387694,40.601245,0.000000,300.200885,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,18.458369,2.10,2.585197,43.269509,0.81,1.871655,9.860412,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.307512,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

9,02:00-02:15,1.016347,14.405188,30.545986,2.457837,42.075389,48.920227,0.000000,27.937412,1.375213,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,8.393101,121.876716,247.115349,0.000000,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,41.204194,40.601245,0.000000,300.200885,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,18.458369,2.10,2.585197,43.269509,0.81,1.871655,10.734480,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.307512,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

10,02:15-02:30,1.016347,14.405188,30.545986,2.457837,42.075389,48.920227,0.000000,27.937412,1.375213,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,8.393101,121.876716,247.115349,0.000000,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,36.387694,40.601245,0.000000,261.668885,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,18.458369,2.10,2.585197,43.269509,0.81,1.871655,10.837149,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.307512,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

11,02:30-02:45,1.016347,17.816330,30.545986,2.457837,42.075389,48.920227,0.000000,27.937412,1.375213,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,8.393101,121.876716,219.885550,0.000000,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,41.944779,40.601245,0.000000,237.586385,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,22.027396,2.10,2.585197,43.269509,0.81,1.871655,10.405079,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.307512,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

12,02:45-03:00,1.016347,17.816330,30.545986,2.457837,42.075389,48.920227,0.000000,27.937412,1.375213,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,8.393101,121.876716,218.216349,0.000000,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,41.944779,40.601245,0.000000,237.586385,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,22.027396,2.10,2.585197,43.269509,0.81,1.871655,10.837149,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.307512,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

13,03:00-03:15,1.016347,11.052882,30.545986,2.457837,42.075389,48.920227,0.000000,27.937412,0.723146,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,8.393101,121.876716,182.299088,0.000000,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,40.404655,40.601245,0.000000,233.858414,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,13.683576,2.10,2.585197,43.269509,0.81,1.871655,10.837149,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.307512,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

14,03:15-03:30,1.016347,11.052882,30.545986,2.457837,42.075389,48.920227,0.000000,27.937412,0.723146,0.000000,51.490312,0.000000,0.000000,33.375850,0.000000,0.000000,29.402530,138.740979,8.393101,121.876716,182.299088,0.000000,0.000000,0.000000,0.000000,51.927025,2.350548,0.000000,90.858439,40.404655,40.601245,0.000000,233.858414,0.000000,0.000000,0.000000,18.939827,0.000000,0.000000,56.844293,116.260677,16.548590,0.000000,0.000000,3.11,1.292598,0.000000,13.683576,2.10,2.585197,43.269509,0.81,1.871655,10.837149,1.92,0.000000,3.412458,5.118688,0.40,336.167618,2.307512,18.745722,1.55,0.000000,3.64,2.068157,1.866975,0.883981,0.00,0.000000,0.23,2.860359,0.000000,3.412459,0.000000,0.19,4.101852,0.000000,0.00,0.000000,3.382812,1.887764,1.78,1.87,140.893125,1.71,1.278811,0.799115,5.83,2.690880,0.000000,0.000000,0.00,0,0,0,0,0

