Time,Block,WR/2023/19090/A,NR/2023/17165/A,NR/2023/17726/C,NR/2023/17263/F,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17510/F,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17730/C,Total
,,TPTCL,NVVNL,NVVNL,APPCPL,MANIKARAN,APPCPL,GBHHPL,IEXL,ITCLH,TPDDL,Total

,,DELHI,NA,NA,DELHI,DELHI,DELHI,HIMACHAL PRADESH,KARNATAKA,ANDHRA PRADESH,HIMACHAL PRADESH,
,,BYPL,SKS Raigarh,SOLAPUR_SOLAR,BRPL,BRPL,BYPL,GBHHPL,NSLSUGAR,ITCWIND,CHANJUII,
,,MAHARASHTRA,DELHI,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,
,,TPC MSEB,NDMC,MES (Delhi),HP,HP,HP,DIAPL,MES (Delhi),ITCLH,TPDDL,
,,North-West,West-North,West-North,North-North,North-North,North-North,North-North,South-East-North,South-West-North,North-North,
1,00:00-00:15,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.580000,6.100000,304.93

2,00:15-00:30,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.580000,6.100000,304.93

3,00:30-00:45,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.580000,6.100000,304.93

4,00:45-01:00,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.580000,6.100000,304.93

5,01:00-01:15,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.100000,304.88

6,01:15-01:30,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.100000,304.88

7,01:30-01:45,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.100000,304.88

8,01:45-02:00,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.100000,304.88

9,02:00-02:15,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

10,02:15-02:30,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

11,02:30-02:45,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

12,02:45-03:00,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

13,03:00-03:15,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

14,03:15-03:30,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

15,03:30-03:45,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

16,03:45-04:00,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

17,04:00-04:15,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

18,04:15-04:30,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

19,04:30-04:45,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

20,04:45-05:00,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,6.010000,304.79

21,05:00-05:15,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,5.910000,304.69

22,05:15-05:30,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,5.910000,304.69

23,05:30-05:45,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,5.910000,304.69

24,05:45-06:00,0.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.530000,5.910000,304.69

25,06:00-06:15,0.000000,62.910000,0,0.000000,161.300000,0.000000,1.010000,6.780000,0.580000,5.910000,238.49

26,06:15-06:30,0.000000,62.910000,0,0.000000,161.300000,0.000000,1.010000,6.780000,0.580000,5.910000,238.49

27,06:30-06:45,0.000000,62.910000,0.13,0.000000,161.300000,0.000000,1.010000,6.780000,0.580000,5.910000,238.62

28,06:45-07:00,0.000000,62.910000,0.47,0.000000,161.300000,0.000000,1.010000,6.780000,0.580000,5.910000,238.96

29,07:00-07:15,0.000000,62.910000,0.86,0.000000,161.300000,0.000000,1.010000,6.780000,0.680000,5.910000,239.45

30,07:15-07:30,0.000000,62.910000,1.35,0.000000,161.300000,0.000000,1.010000,6.780000,0.680000,5.910000,239.94

31,07:30-07:45,0.000000,62.910000,1.91,0.000000,161.300000,0.000000,1.010000,6.780000,0.680000,5.910000,240.5

32,07:45:08:00,0.000000,62.910000,2.51,0.000000,161.300000,0.000000,1.010000,6.780000,0.680000,5.910000,241.1

33,08:00-08:15,0.000000,62.910000,3.1,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.910000,241.98

34,08:15-08:30,0.000000,62.910000,3.66,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.910000,242.54

35,08:30-08:45,0.000000,62.910000,4.23,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.910000,243.11

36,08:45:09:00,0.000000,62.910000,4.81,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.910000,243.69

