Column1,Time,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/7459,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/8510,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/6216,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/9334,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/5285,GNA/SR/2025/04/01/2597,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/04/01/4420,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/8964,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07
1,00:00-00:15,5.04,43.74,9.62,0,7.68,100.25,5.37,9.62,9.62,0,115.06,32,28.76,0,2.89,260.4,48.12,2.89,3.18,1.92,2.89,52.5,86.8,0,32,10.5,272.09,10.34,4,0,0,0,0,0,0,76.66,30.67,32.83,76.67,0,0,0,0,0,0,6,98.51,0,32.83

2,00:15-00:30,5.04,43.74,9.62,0,7.68,100.25,5.37,9.62,9.62,0,115.06,32,28.76,0,2.89,260.4,48.12,2.89,3.18,1.92,2.89,52.5,86.8,0,32,10.5,272.09,10.34,4,0,0,0,0,0,0,76.66,29.67,32.33,76.67,0,0,0,0,0,0,6,97.01,0,32.33

3,00:30-00:45,5.04,43.74,9.62,0,7.68,100.25,5.37,9.62,9.62,0,115.06,25.99,28.76,0,2.89,260.4,48.12,2.89,3.18,1.92,2.89,52.5,86.8,0,30,10.5,272.09,10.34,4,0,0,0,0,0,0,76.66,29.67,32,76.67,0,0,0,0,0,0,6.2,96,0,32

4,00:45-01:00,5.04,43.74,9.62,0,7.68,100.25,5.37,9.62,9.62,0,115.06,25.99,28.76,0,2.89,260.4,48.12,2.89,3.18,1.92,2.89,52.5,86.8,0,30,10.5,272.09,10.34,4,0,0,0,0,0,0,76.66,30,31.67,76.67,0,0,0,0,0,0,6.2,94.99,0,31.67

5,01:00-01:15,5.04,43.74,9.62,0,7.68,100.25,5.37,9.62,9.62,0,115.06,25.99,29.26,0,2.89,260.4,48.12,2.89,3.18,1.92,2.89,52.5,86.8,0,30,10.32,272.09,10.34,4,0,0,0,0,0,0,76.66,29.67,31.67,76.67,0,0,0,0,0,0,9,94.99,0,31.67

6,01:15-01:30,5.04,43.74,9.62,0,7.68,100.25,5.37,9.62,9.62,0,115.06,25.99,29.26,0,2.89,260.4,48.12,2.89,3.18,1.92,2.89,52.5,86.8,0,30,10.32,272.09,10.34,4,0,0,0,0,0,0,76.66,29.33,31.67,76.67,0,0,0,0,0,0,9,94.99,0,31.67

7,01:30-01:45,5.04,43.74,9.62,0,7.68,100.25,5.37,9.62,9.62,0,115.06,25.99,29.26,0,2.89,260.4,48.12,2.89,3.18,1.92,2.89,52.5,86.8,0,30,10.32,272.09,10.34,4,0,0,0,0,0,0,76.66,29,31.67,76.67,0,0,0,0,0,0,8.8,94.99,0,31.67

8,01:45-02:00,5.04,43.74,9.62,0,7.68,100.25,5.37,9.62,9.62,0,115.06,25.99,29.77,0,2.89,260.4,48.12,2.89,3.18,1.92,2.89,52.5,86.8,0,30,10.32,272.09,10.34,4,0,0,0,0,0,0,76.66,28.33,31.67,76.67,0,0,0,0,0,0,8.6,94.99,0,31.67

9,02:00-02:15,5.04,43.74,9.62,0,7.68,100.25,5.22,9.62,9.62,0,115.06,25.99,29.77,0,2.89,260.4,48.12,2.89,3.08,1.92,2.89,0,86.8,0,30,10.13,272.09,10.34,4,0,0,0,0,0,0,76.66,27.67,31.67,76.67,0,0,0,0,0,0,8.2,94.99,0,31.67

10,02:15-02:30,5.04,43.74,9.62,0,7.68,100.25,5.22,9.62,9.62,0,115.06,25.99,29.77,0,2.89,260.4,48.12,2.89,3.08,1.92,2.89,0,86.8,0,30,10.13,272.09,10.34,4,0,0,0,0,0,0,77.66,27.67,32,77.67,0,0,0,0,0,0,7.8,96,0,32

