Block,Time,CHAMERA1,KGSU1AND2,KGSU3AND4,KUDGI,NLCIIST2,SASAN,SIMHST2,TelanganaSTPP,UNCHAHAR2,DADRI_RF,BRBCL,KISHANGANGA,KKNPPU2,KOLDAM,NLCTS2EXP,NTPL,PARBATI3,AURY_CRF,DULHASTI,KHSTPP-I,RAPPB,RIHAND2,RIHAND3,SALAL,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR3,ANTA_GF,ANTA_LF,AURY_RF,DADRT2,MAPS,NJPC,NNTPP,RAPPC,SINGRAULI,TANDA2,VALLURNTECL,DADRI_CRF,DADRI_LF,FSTPP I & II,KOTESHWR,NLCEXP,RAMPUR,UNCHAHAR4,AURY_GF,DADRI_GF,JHAJJAR,KHSTPP-II,RSTPSU1TO6,TALA,UNCHAHAR1,URI2,ANTA_RF,AURY_LF,CHAMERA2,CHAMERA3,KKNP,RIHAND1,SEWA2,SIMHST1,TEHRI,BSIUL,DHAULIGNGA,NAPP,NLCIIST1,RSTPSU7,TALST2,URI,ANTA_CRF
1,00:00-00:15,0,0,0,0,0,410.62,0,0,42.4,6.58,20,0,0,0,0,0,0,70.59,16.48,45.22,0,118.76,124.32,1.4,0,8.33,26.39,0,0,0,683.14,0,0,0,53.93,125.97,0,0,36.72,24.11,18.2,8.87,0,0,0,0,0,654.31,98.87,0,0,20.56,18.83,0,0,0,0,0,92,0,0,0,0,0,43.46,0,0,0,26.49,29.93

2,00:15-00:30,0,0,0,0,0,410.62,0,0,42.4,6.58,20,0,0,0,0,0,0,70.59,16.48,45.22,0,118.76,124.32,1.4,0,8.33,26.39,0,0,0,683.14,0,0,0,53.93,125.97,0,0,36.72,24.11,18.2,8.87,0,0,0,0,0,654.31,98.87,0,0,20.56,18.83,0,0,0,0,0,92,0,0,0,0,0,43.46,0,0,0,26.49,29.93

3,00:30-00:45,0,0,0,0,0,410.62,0,0,42.4,6.58,20,0,0,0,0,0,0,70.59,16.48,45.22,0,118.76,124.32,1.4,0,8.33,26.39,0,0,0,683.14,0,0,0,53.93,125.97,0,0,36.72,24.11,18.2,8.87,0,0,0,0,0,654.31,98.87,0,0,20.56,18.83,0,0,0,0,0,92,0,0,0,0,0,43.46,0,0,0,2.76,29.93

4,00:45-01:00,0,0,0,0,0,410.62,0,0,42.4,6.58,20,0,0,0,0,0,0,70.59,16.48,45.22,0,118.76,124.32,1.4,0,8.33,26.39,0,0,0,683.14,0,0,0,53.93,125.97,0,0,36.72,24.11,18.2,8.87,0,0,0,0,0,654.31,98.87,0,0,20.56,18.83,0,0,0,0,0,92,0,0,0,0,0,43.46,0,0,0,1.33,29.93

5,01:00-01:15,0,0,0,0,0,410.62,0,0,42.4,6.58,20,0,0,0,0,0,0,70.59,0,45.22,0,118.76,124.32,1.4,0,3.85,26.39,0,0,0,683.14,0,0,0,53.93,125.97,0,0,36.72,24.11,18.2,8.87,0,0,0,0,0,654.31,98.87,0,0,20.56,18.83,0,0,0,0,0,92,0,0,0,0,0,43.46,0,0,0,1.33,29.93

