Column1,Time,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/10/01/9582,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/8106
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,11.34,35,35,12.01,0,11.83,11.84,35.5,0,2.95,0,4.34,28.26,0,0,32,262.13,70.39,0,12.42,273,26.33,26.33,2.41,100.59,3.07,87.09,200,47.56,26.33,142.69,12.42

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,11,35,35,11.81,0,12,12,36,0,2.95,0,4.34,28.76,0,0,32,262.13,70.39,0,12.42,273,26.33,26.33,2.41,100.59,3.07,87.09,200,47.56,26.33,142.69,12.42

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,11,35,35,19.81,0,12,12,36,0,2.95,0,4.34,28.76,0,0,32,262.13,70.39,0,12.42,273,26.33,26.33,2.41,100.59,3.07,87.09,200,47.56,26.33,142.69,12.42

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,10.66,35,35,19.41,0,12.17,12.17,36.49,0,2.95,0,4.34,28.76,0,0,32,262.13,70.39,0,12.42,273,26.33,26.33,2.41,100.59,3.07,87.09,200,47.56,26.33,142.69,12.42

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,10.66,35.33,35.33,28.01,0,12.33,12.33,37.01,0,2.95,0,4.34,28.76,0,0,32,206.18,70.39,0,12.42,273,26.33,26.33,2.41,100.59,2.92,87.09,200,47.56,26.33,142.69,12.42

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,10.66,35.33,35.33,27.01,0,12.5,12.5,37.5,0,2.95,0,4.34,28.76,0,0,32,206.18,70.39,0,12.42,273,26.33,26.33,2.41,100.59,2.92,68.1,200,47.56,26.33,142.69,12.42

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,10.66,40,40,25.61,0,12.67,12.67,37.99,0,2.8,0,4.34,28.26,0,0,32,206.18,70.39,0,12.42,273,26.33,26.33,2.41,100.59,2.92,68.1,200,47.56,26.33,142.69,12.42

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,11,40,40,24.41,0,12.67,12.67,37.99,0,2.8,0,4.34,28.26,0,0,32,206.18,70.39,0,12.42,273,26.33,26.33,2.41,100.59,2.92,68.1,200,47.56,26.33,142.69,12.42

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,14,40,40,31.02,0,13.33,13.33,40.01,0,2.64,18.55,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.92,57.64,0,47.56,26.33,142.69,12.42

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,14,39.33,39.33,29.62,0,13.5,13.5,40.5,0,2.64,18.55,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.92,57.64,0,47.56,26.33,142.69,12.42

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,14,39.33,39.33,20,0,13.5,13.5,40.5,0,2.64,18.55,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.92,57.64,0,47.56,26.33,142.69,12.42

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,14,40,40,18,0,13.33,13.33,40.01,0,2.64,18.55,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.92,57.64,0,47.56,26.33,142.69,12.42

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,14,41.67,41.67,16,0,13.33,13.33,40.01,0,2.64,18.55,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

