Block,Time,FSTPP I & II,KOLDAM,NLCEXP,NLCIIST2,SALAL,TANAKPUR,UNCHAHAR2,URI,DHAULIGNGA,KKNP,NJPC,NNTPP,PARBATI3,SEWA2,TALA,UNCHAHAR3,AURY_LF,AURY_RF,CHAMERA2,CHAMERA3,KGSU3AND4,NLCIIST1,NLCTS2EXP,RAPPB,RIHAND3,SINGRAULI,TANDA2,UNCHAHAR1,DADRI_GF,DULHASTI,KGSU1AND2,KHSTPP-I,NAPP,RIHAND1,SASAN,TelanganaSTPP,UNCHAHAR4,DADRI_LF,DADRT2,JHAJJAR,KISHANGANGA,SIMHST1,TEHRI,TEHRIPSP,NTPL,RAPPD,RIHAND2,RSTPSU7,VALLURNTECL,ANTA_CRF,ANTA_RF,BRBCL,BSIUL,KKNPPU2,PARBATI2,RAMPUR,RSTPSU1TO6,SIMHST2,ANTA_LF,DADRI_CRF,CHAMERA1,KHSTPP-II,KOTESHWR,KUDGI,MAPS,RAPPC,SINGRAULI_HYDRO,TALST2,URI2,ANTA_GF,AURY_CRF,AURY_GF,DADRI_RF
1,00:00-00:15,18.76,8.62,0,0,84.24,13.06,45,24.29,0,0,175.79,0,20.82,18.34,13.47,27.69,0,79.22,47.12,33.94,0,0,0,0,130.84,134.74,5.73,21.65,0,55.38,0,45.53,24.48,98.32,275.62,0,3.22,0,549.38,667.25,7.05,0,57.06,76.95,0,24.52,125.27,0,0,0,51.2,24.99,13.04,0,0,5.7,0,0,0,0,42.15,148.3,40.57,0,0,65.27,0.98,0,23.38,0,0,0,52.7

2,00:15-00:30,18.76,8.62,0,0,84.24,13.06,45,24.29,0,0,175.79,0,20.82,18.34,13.47,27.69,0,79.22,47.12,33.94,0,0,0,0,130.84,134.74,5.73,21.65,0,55.38,0,45.53,24.48,98.32,275.62,0,3.22,0,549.38,667.25,7.05,0,57.06,76.95,0,24.52,125.27,0,0,0,51.2,24.99,13.04,0,0,5.7,0,0,0,0,42.15,148.3,40.57,0,0,65.27,0.98,0,23.38,0,0,0,52.7

3,00:30-00:45,18.76,8.62,0,0,84.24,11.15,45,52.36,0,0,175.79,0,32.71,12.22,13.47,27.69,0,79.22,47.12,33.94,0,0,0,0,130.84,134.74,5.73,21.65,0,55.38,0,45.53,24.48,98.32,275.62,0,3.22,0,549.38,667.25,7.05,0,57.06,76.95,0,24.52,125.27,0,0,0,51.2,24.99,13.04,0,0,5.7,0,0,0,0,42.15,148.3,40.57,0,0,65.27,0.98,0,38.97,0,0,0,52.7

4,00:45-01:00,18.76,8.62,0,0,84.24,11.15,45,52.36,0,0,175.79,0,32.71,6.12,13.47,27.69,0,79.22,47.12,33.94,0,0,0,0,130.84,134.74,5.73,21.65,0,55.38,0,45.53,24.48,98.32,275.62,0,3.22,0,549.38,667.25,7.05,0,57.06,76.95,0,24.52,125.27,0,0,0,51.2,24.99,13.04,0,0,5.7,0,0,0,0,42.15,148.3,40.57,0,0,65.27,0.98,0,38.97,0,0,0,52.7

5,01:00-01:15,18.76,8.62,0,0,84.24,11.15,45,19.87,0,0,175.79,0,32.71,0,13.47,27.69,0,79.22,47.12,33.94,0,0,0,0,130.84,134.74,5.73,21.65,0,55.38,0,45.53,24.48,98.32,275.62,0,3.22,0,549.38,667.25,7.05,0,57.06,0,0,24.52,125.27,0,0,0,51.2,24.99,13.04,0,0,5.7,0,0,0,0,42.15,148.3,40.57,0,0,65.27,0.98,0,38.97,0,0,0,52.7

6,01:15-01:30,18.76,8.62,0,0,84.24,11.15,45,19.87,0,0,175.79,0,32.71,0,13.47,27.69,0,79.22,47.12,33.94,0,0,0,0,130.84,134.74,5.73,21.65,0,55.38,0,45.53,24.48,98.32,275.62,0,3.22,0,549.38,667.25,7.05,0,57.06,0,0,24.52,125.27,0,0,0,51.2,24.99,13.04,0,0,5.7,0,0,0,0,42.15,148.3,40.57,0,0,65.27,0.98,0,23.38,0,0,0,52.7

