Block,Time,BRBCL,CHAMERA1,CHAMERA3,KISHANGANGA,NLCEXP,NLCIIST1,RIHAND2,RSTPSU1TO6,KGSU1AND2,KUDGI,MAPS,RAPPC,SALAL,TALST2,UNCHAHAR4,ANTA_LF,DADRT2,DULHASTI,KHSTPP-I,KOTESHWR,SINGRAULI_HYDRO,TEHRIPSP,ANTA_GF,NLCIIST2,RAMPUR,RIHAND1,SEWA2,TANAKPUR,UNCHAHAR1,URI2,VALLURNTECL,ANTA_CRF,AURY_LF,DHAULIGNGA,FSTPP I & II,KGSU3AND4,KOLDAM,NJPC,TEHRI,ANTA_RF,AURY_GF,DADRI_CRF,DADRI_LF,KHSTPP-II,KKNPPU2,NAPP,NTPL,PARBATI3,RAPPD,SIMHST1,TANDA2,TelanganaSTPP,DADRI_GF,DADRI_RF,BSIUL,CHAMERA2,NNTPP,SIMHST2,TALA,UNCHAHAR2,UNCHAHAR3,JHAJJAR,KKNP,NLCTS2EXP,PARBATI2,RAPPB,RIHAND3,RSTPSU7,SASAN,SINGRAULI,URI,AURY_CRF,AURY_RF
1,00:00-00:15,24.99,42.15,33.94,7.05,0,0,125.27,0,0,0,0,65.42,84.24,0,3.22,0,549.38,55.38,45.53,40.57,0.96,0,0,0,5.7,98.32,18.34,13.06,21.65,17.15,0,0,0,42.46,18.07,0,8.62,175.79,55.52,51.2,0,0,0,148.3,0,22.96,0,19.32,24.52,0,5.73,0,0,79.04,13.04,47.12,0,0,19.55,45,27.69,581.75,0,0,0,0,130.84,0,306.56,149.89,52.36,0,79.22

2,00:15-00:30,24.99,42.15,33.94,7.05,0,0,125.27,0,0,0,0,65.42,84.24,0,3.22,0,549.38,55.38,45.53,40.57,0.96,0,0,0,5.7,98.32,18.34,13.06,21.65,17.15,0,0,0,42.46,18.07,0,8.62,175.79,55.52,51.2,0,0,0,148.3,0,22.96,0,19.32,24.52,0,5.73,0,0,79.04,13.04,47.12,0,0,19.55,45,27.69,594.45,0,0,0,0,130.84,0,306.56,149.89,52.36,0,79.22

3,00:30-00:45,24.99,42.15,33.94,7.05,0,0,125.27,0,0,0,0,65.42,84.24,0,3.22,0,549.38,55.38,45.53,40.57,0.96,0,0,0,5.7,98.32,12.22,11.02,21.65,17.15,0,0,0,42.46,18.07,0,8.62,175.79,55.52,51.2,0,0,0,148.3,0,22.96,0,19.32,24.52,0,5.73,0,0,79.04,13.04,47.12,0,0,18.09,45,27.69,667.25,0,0,0,0,130.84,0,306.56,148.25,26.49,0,79.22

4,00:45-01:00,24.99,42.15,33.94,7.05,0,0,125.27,0,0,0,0,65.42,84.24,0,3.22,0,549.38,55.38,45.53,40.57,0.96,0,0,0,5.7,98.32,6.12,11.02,21.65,17.15,0,0,0,42.46,18.07,0,8.62,175.79,55.52,51.2,0,0,0,148.3,0,22.96,0,19.32,24.52,0,5.73,0,0,79.04,13.04,47.12,0,0,18.09,45,27.69,667.25,0,0,0,0,130.84,0,306.56,148.25,26.49,0,79.22

5,01:00-01:15,24.99,42.15,33.94,7.05,0,0,125.27,0,0,0,0,65.42,84.24,0,3.22,0,549.38,55.38,45.53,40.57,0.96,0,0,0,5.7,98.32,0,11.02,21.65,17.15,0,0,0,42.46,18.07,0,8.62,175.79,55.52,51.2,0,0,0,148.3,0,22.96,0,19.32,24.52,0,5.73,0,0,79.04,13.04,47.12,0,0,19.26,45,27.69,667.25,0,0,0,0,130.84,0,306.56,148.25,30.91,0,79.22

