Block,Time,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/30092023/26122029/SH-06,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,WR/01102023/24112044/L_NR_2020_07,NR/01102023/30042040/GNA_LT_36,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/05012040/L_NR_2020_02,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_35,WR/01102023/31032046/L_NR_2020_05,NR/01102023/15082037/GNA_NR_2012_01,L_NR_2019_19,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,36.74,30.970000,0,0,36.74,0,0,30.930000,4.440000,10.9,0.000000,10.25,0,0,3.770000,10.88,0,4.080000,71.620000,0,0.000000,32.69,101.380000,0,0.000000,9.08

2,00:15-00:30,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,36.82,30.970000,0,0,36.82,0,0,30.930000,4.440000,10.96,0.000000,10.34,0,0,3.770000,10.97,0,4.080000,71.620000,0,0.000000,32.89,101.380000,0,0.000000,8.92

3,00:30-00:45,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,37.11,30.970000,0,0,37.11,0,0,30.930000,4.440000,11.19,0.000000,10.8,0,0,3.770000,11.19,0,4.080000,71.620000,0,0.000000,33.57,101.380000,0,0.000000,11.53

4,00:45-01:00,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,37.51,30.970000,0,0,37.51,0,0,30.930000,4.440000,15.02,0.000000,11.53,0,0,3.770000,15.01,0,4.080000,71.620000,0,0.000000,45.06,101.380000,0,0.000000,11.43

5,01:00-01:15,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,48.69,30.970000,0,0,48.69,0,0,30.930000,4.440000,15.55,0.000000,12.16,0,0,3.770000,15.54,0,4.080000,71.620000,0,0.000000,46.64,101.380000,0,0.000000,11.33

6,01:15-01:30,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,47.74,30.970000,0,0,47.74,0,0,30.930000,4.440000,15.78,0.000000,12.66,0,0,3.770000,15.79,0,4.080000,71.620000,0,0.000000,47.35,101.380000,0,0.000000,7.21

7,01:30-01:45,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,46.74,30.970000,0,0,46.74,0,0,30.930000,4.440000,16.06,0.000000,13.06,0,0,3.770000,16.07,0,4.080000,71.620000,0,0.000000,48.19,92.500000,0,0.000000,7.21

8,01:45-02:00,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,50.21,30.970000,0,0,50.21,0,0,30.930000,4.440000,16.32,0.000000,12.64,0,0,3.770000,16.32,0,4.080000,71.620000,0,0.000000,48.96,92.500000,0,0.000000,7.21

9,02:00-02:15,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,49.61,30.970000,0,0,49.61,0,0,30.930000,4.280000,16.53,0.000000,12.73,0,0,3.770000,16.54,0,4.010000,71.620000,0,0.000000,49.6,92.500000,0,0.000000,7.21

10,02:15-02:30,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,48.61,30.970000,0,0,48.61,0,0,30.930000,4.280000,16.85,0.000000,12.99,0,0,3.770000,16.85,0,4.010000,71.620000,0,0.000000,50.55,92.500000,0,0.000000,7.21

11,02:30-02:45,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,47.55,30.970000,0,0,47.55,0,0,30.930000,4.280000,16.9,0.000000,13.29,0,0,3.770000,16.89,0,4.010000,71.620000,0,0.000000,50.69,92.500000,0,0.000000,7.21

12,02:45-03:00,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,46.78,30.970000,0,0,46.78,0,0,30.930000,4.280000,16.97,0.000000,13.03,0,0,3.770000,16.96,0,4.010000,71.620000,0,0.000000,50.91,92.500000,0,0.000000,7.21

13,03:00-03:15,30.970000,118.080000,0.000000,261.910000,272.220000,0,0,0,46.52,30.970000,0,0,46.52,0,0,30.930000,4.280000,15.56,0.000000,12.64,0,0,3.770000,15.54,0,4.010000,71.620000,0,0.000000,46.67,92.500000,0,0.000000,7.21
