Block,Time,NR/01102023/22052037/LT-59,NR/01022024/15022024/HP-35,NR/01102023/05012040/L_NR_2020_02,NR/01012024/31032024/ ChanjuII,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01022024/15022024/HP-44,NR/30092023/31122025/SH-07,NR/01022024/29022024/79,NR/01022024/15022024/HP-39,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/19072037/LT-05,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/20122023/29022024/IEX_LDC_231218_00502,NR/08022024/08022024/HPX-TAMCTG-070224-06109,NR/01102023/30042040/GNA_LT_35,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/08022024/08022024/DD20240208NR22653,NR/30092023/26122029/SH-06,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01022024/15022024/HP-37,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01022024/29022024/SJVN010224NR1468,NR/01102023/02012046/L_NR_2021_17,NR/01022024/29022024/SJVN010224NR1469,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,0.650000,18.950000,1.340000,1.470000,23.100000,8.080000,8.510000,0.000000,0.000000,51.980000,31.760000,96.250000,70.180000,8.180000,6.740000,11.550000,0.000000,0.000000,6.740000,0.950000,148.880000,0.000000,0.000000,4.810000,119.060000,0.000000,0.000000,8.510000,18.290000,5.780000,152.540000,52.55,52.55,0,0,0,0,0,0,0,0,0,19.05,19.06,0,0,57.15,0,11.3,0,0,0,0,16.53

2,00:15-00:30,0.650000,18.950000,1.340000,1.470000,23.100000,8.080000,8.510000,0.000000,0.000000,51.980000,31.760000,96.250000,70.180000,8.180000,6.740000,11.550000,0.000000,0.000000,6.740000,0.950000,148.880000,0.000000,0.000000,4.810000,119.060000,0.000000,0.000000,8.510000,18.290000,5.780000,152.540000,52.72,52.72,0,0,0,0,0,0,0,0,0,19.42,19.41,0,0,58.24,0,10.47,0,0,0,0,16.86

3,00:30-00:45,0.650000,18.950000,1.340000,1.470000,23.100000,8.080000,8.510000,0.000000,0.000000,51.980000,31.760000,96.250000,70.180000,8.180000,6.740000,11.550000,0.000000,0.000000,6.740000,0.950000,148.880000,0.000000,0.000000,4.810000,119.060000,0.000000,0.000000,8.510000,18.290000,5.780000,152.540000,53.18,53.18,0,0,0,0,0,0,0,0,0,19.88,19.9,0,0,59.65,0,9.98,0,0,0,0,17.41

4,00:45-01:00,0.650000,18.950000,1.340000,1.470000,23.100000,8.080000,8.510000,0.000000,0.000000,51.980000,31.760000,96.250000,70.180000,8.180000,6.740000,11.550000,0.000000,0.000000,6.740000,0.950000,148.880000,0.000000,0.000000,4.810000,119.060000,0.000000,0.000000,8.510000,18.290000,5.780000,152.540000,52.93,52.93,0,0,0,0,0,0,0,0,0,20.6,20.61,0,0,61.81,0,8.94,0,0,0,0,17.97

5,01:00-01:15,0.650000,18.950000,1.340000,1.470000,23.100000,8.080000,8.200000,0.000000,0.000000,51.980000,31.760000,96.250000,70.180000,8.180000,6.740000,11.550000,0.000000,0.000000,6.740000,0.950000,148.880000,0.000000,0.000000,4.810000,119.060000,0.000000,0.000000,8.200000,18.290000,5.780000,152.540000,27.08,27.08,0,0,0,0,0,0,0,0,0,20.67,20.67,0,0,62.01,0,8.44,0,0,0,0,18.39

