Block,Time Block,DULHASTI,MAPS,FSTPP I & II,JHAJJAR,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,UNCHAHAR2,ANTA_RF,ANTA_GF,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_CRF,UNCHAHAR3,URI2,AURY_CRF,ANTA_LF,DHAULIGNGA,SEWA2,TALA,SALAL,SINGRAULI,TEHRI,TANDA2,SASAN,SIMHST1,TALST2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,SIMHST2,RSTPSU7,RSTPSU1TO6,RIHAND3,RIHAND2,CHAMERA3,CHAMERA2,DADRT2,CHAMERA1,NTPL,RAMPUR,NNTPP,NLCTS2EXP,PARBATI3,RAPPC,RAPPB,RIHAND1,BSIUL,BRBCL,KUDGI,KKNPPU2,KOLDAM,KOTESHWR,NLCIIST2,NJPC,NLCEXP,NAPP,NLCIIST1,KKNP,KHSTPP-I,KISHANGANGA,KGSU1AND2,KGSU3AND4,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,15.84,0,15.42,228.19,0,0,0,0,0,0,0,19.59,0,0,0.95,7.15,0,0,0,16.91,4.14,0,0,0,0,0,53.61,134.27,12.17,0,393.94,0,0,0.62,5.54,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,14.42,0,0,0,8.53,0,0,0,41.68,0,0,24.53,0,0,0,93.97,0,0,0,0,0

2,00:15-00:30,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.95,7.08,0,0,0,12.51,4.14,0,0,0,0,0,53.61,134.27,12.17,0,394.69,0,0,0.62,5.54,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,14.42,0,0,0,8.53,0,0,0,41.68,0,0,24.53,0,0,0,93.97,0,0,0,0,0

3,00:30-00:45,15.84,0,11.79,228.19,0,0,0,0,0,0,0,19.59,0,0,0.95,7.08,0,0,0,12.26,4.14,0,0,0,0,0,53.61,134.27,12.17,0,394.69,0,0,0.62,5.54,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,14.42,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,93.9,0,0,0,0,0

4,00:45-01:00,15.84,0,11.79,228.19,0,0,0,0,0,0,0,19.59,0,0,0.95,7.08,0,0,0,12.26,4.14,0,0,0,0,0,53.61,134.27,12.17,0,394.69,0,0,0.62,5.54,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,14.42,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,93.9,0,0,0,0,0

5,01:00-01:15,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.95,7.08,0,0,0,12.26,4.14,0,0,0,0,0,7.81,134.27,12.17,0,394.69,0,0,0.62,5.54,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,13.86,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,93.9,0,0,0,0,0

6,01:15-01:30,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.95,7.08,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,5.54,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,11.06,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,93.9,0,0,0,0,0

7,01:30-01:45,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.95,8.05,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,0,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,9.73,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,93.9,0,0,0,0,0

8,01:45-02:00,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.95,8.05,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,0,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,9.64,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,122.86,0,0,0,0,0

9,02:00-02:15,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.53,8.05,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,0,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,9.64,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,122.86,0,0,0,0,0

10,02:15-02:30,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.53,8.05,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,0,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,9.64,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,122.86,0,0,0,0,0

11,02:30-02:45,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.53,8.05,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,0,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,9.64,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,122.86,0,0,0,0,0

12,02:45-03:00,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.53,8.05,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,0,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,11.47,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,122.86,0,0,0,0,0

13,03:00-03:15,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.53,8.05,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,0,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,12.52,0,0,0,8.53,0,0,0,41.68,0,0,25.22,0,0,0,122.86,0,0,0,0,0

14,03:15-03:30,15.84,0,14.92,228.19,0,0,0,0,0,0,0,19.59,0,0,0.53,8.05,0,0,0,12.26,4.14,0,0,0,0,0,2.24,134.27,12.17,0,394.69,0,0,0.62,0,0,0,0,0,59.75,114.15,0,0,265.44,0,0,0,0,0,0,25.13,0,88.43,0,12.29,0,0,0,8.53,0,0,0,41.68,0,0,24.53,0,0,0,122.86,0,0,0,0,0

