Block,Time,CHAMERA3,URI,DADRI_RF,TANAKPUR,AURY_RF,SINGRAULI,ANTA_RF,ANTA_CRF,DADRI_GF,DHAULIGNGA,AURY_CRF,DADRT2,KOLDAM,JHAJJAR,RAMPUR,BSIUL,UNCHAHAR4,URI2,KISHANGANGA,ANTA_GF,CHAMERA2,NAPP,TANDA2,UNCHAHAR3,BRBCL,RAPPC,UNCHAHAR1,RAPPB,TEHRI,SEWA2,KHSTPP-II,KHSTPP-I,AURY_GF,RIHAND2,RIHAND1,RIHAND3,TALA,FSTPP I & II,SASAN,AURY_LF,KOTESHWR,ANTA_LF,NJPC,UNCHAHAR2,DADRI_LF,CHAMERA1,SALAL,SINGRAULI_HYDRO,DADRI_CRF,PARBATI3,DULHASTI,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,38.317190,0.000000,2.470024,0.000000,118.945838,0.000000,0.000000,0.000000,0.000000,0.000000,176.430300,0.000000,232.757842,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,5.784600,19.281969,52.118668,8.676900,0.000000,0.000000,0.000000,54.263293,12.533300,0.000000,113.884312,73.271600,119.226029,0.000000,4.820500,403.736157,0.000000,0.000000,0.000000,0.000000,12.533300,0.000000,0.000000,68.337336,0.571740,0.000000,0.000000,15.887261,71.60,0,0,0,0,0

2,00:15-00:30,0.000000,38.317190,0.000000,2.470024,0.000000,118.945838,0.000000,0.000000,0.000000,0.000000,0.000000,176.430300,0.000000,232.757842,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,5.784600,17.853570,52.118668,8.676900,0.000000,0.000000,0.000000,48.205000,12.533300,0.000000,113.884312,73.271600,119.226029,0.000000,4.820500,403.736157,0.000000,0.000000,0.000000,0.000000,12.533300,0.000000,0.000000,68.337336,0.571740,0.000000,0.000000,15.887261,63.63,0,0,0,0,0

3,00:30-00:45,0.000000,8.514931,0.000000,2.470024,0.000000,109.907496,0.000000,0.000000,0.000000,0.000000,0.000000,176.430300,0.000000,232.757842,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,5.784600,15.874345,52.118668,8.676900,0.000000,0.000000,0.000000,48.205000,12.533300,0.000000,92.792022,51.402727,93.723163,0.000000,4.820500,403.736157,0.000000,0.000000,0.000000,0.000000,12.533300,0.000000,0.000000,68.337336,0.571740,0.000000,0.000000,15.887261,62.67,0,0,0,0,0

4,00:45-01:00,0.000000,8.514931,0.000000,2.470024,0.000000,109.907496,0.000000,0.000000,0.000000,0.000000,0.000000,176.430300,0.000000,232.757842,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,5.784600,16.599234,52.118668,8.676900,0.000000,0.000000,0.000000,48.205000,12.533300,0.000000,92.792022,51.402727,87.138443,0.000000,4.820500,403.736157,0.000000,0.000000,0.000000,0.000000,12.533300,0.000000,0.000000,68.337336,0.571740,0.000000,0.000000,15.887261,61.70,0,0,0,0,0

5,01:00-01:15,0.000000,8.514931,0.000000,2.470024,0.000000,109.907496,0.000000,0.000000,0.000000,0.000000,0.000000,194.748200,0.000000,232.757842,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,5.784600,14.059853,52.118668,8.676900,0.000000,0.000000,0.000000,48.205000,12.533300,0.000000,92.792022,51.402727,87.138443,0.000000,4.820500,403.736157,0.000000,0.000000,0.000000,0.000000,12.533300,0.000000,0.000000,13.443410,0.571740,0.000000,0.000000,15.887261,60.74,0,0,0,0,0

