Block,Time,KOTESHWR,ANTA_CRF,KOLDAM,NAPP,URI2,DADRI_RF,AURY_LF,TANDA2,RAPPB,KISHANGANGA,ANTA_LF,UNCHAHAR2,JHAJJAR,AURY_GF,DULHASTI,CHAMERA3,RIHAND3,SALAL,BSIUL,PARBATI3,RIHAND1,AURY_RF,SINGRAULI,CHAMERA1,DADRI_GF,UNCHAHAR1,UNCHAHAR4,TEHRI,DHAULIGNGA,ANTA_GF,DADRT2,RAMPUR,RAPPC,TANAKPUR,URI,DADRI_LF,ANTA_RF,AURY_CRF,NJPC,DADRI_CRF,SEWA2,RIHAND2,CHAMERA2,BRBCL,KUDGI,UNCHAHAR3,KHSTPP-I,TALA,KHSTPP-II,SINGRAULI_HYDRO,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,34.349479,0.000000,0.000000,37.309480,31.372176,3.908883,0.000000,0.000000,0.000000,0.000000,0.000000,20.511464,274.270372,0.000000,47.839755,28.124079,57.442188,83.210588,0.000000,0.000000,43.546500,11.709170,134.810287,41.282082,0.000000,17.129258,0.000000,65.354587,35.363768,0.000000,664.596964,0.000000,49.488855,12.644162,44.870314,0.000000,0.000000,0.000000,148.642010,0.000000,15.293577,114.309562,38.233943,14.515500,9.68,25.537700,31.131877,24.182823,142.750870,0.925605,13.789725,405.091994,0,0,0,0,0

2,00:15-00:30,34.349479,0.000000,0.000000,37.309480,31.372176,10.810890,0.000000,0.000000,0.000000,0.000000,0.000000,20.511464,274.270372,0.000000,47.839755,28.124079,57.442188,83.210588,0.000000,0.000000,43.546500,11.709170,134.810287,41.282082,0.000000,17.129258,0.000000,65.354587,35.363768,0.000000,664.596964,0.000000,49.488855,12.644162,44.870314,0.000000,0.000000,0.000000,148.642010,0.000000,15.293577,114.309562,38.233943,14.515500,9.68,25.537700,31.131877,24.182823,142.750870,0.925605,13.789725,405.243729,0,0,0,0,0

3,00:30-00:45,34.349479,0.000000,0.000000,37.309480,30.591126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.511464,274.270372,0.000000,47.839755,28.124079,57.442188,83.210588,0.000000,0.000000,43.546500,0.000000,134.810287,41.282082,0.000000,17.128290,0.000000,65.354587,35.363768,0.000000,664.596964,0.000000,49.488855,12.644162,44.870314,0.000000,0.000000,0.000000,148.642010,0.000000,15.293577,114.309562,38.233943,14.515500,9.68,25.537700,31.131877,24.182823,142.750870,0.925605,13.789725,405.243729,0,0,0,0,0

4,00:45-01:00,34.349479,0.000000,0.000000,37.309480,30.591126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.511464,274.270372,0.000000,47.839755,28.124079,57.442188,83.210588,0.000000,0.000000,43.546500,0.000000,134.810287,41.282082,0.000000,17.128290,0.000000,65.354587,35.363768,0.000000,664.596964,0.000000,49.488855,12.644162,44.870314,0.000000,0.000000,0.000000,148.642010,0.000000,15.293577,114.309562,38.233943,13.585478,9.68,25.537700,31.131877,24.182823,142.750870,0.925605,13.789725,405.243729,0,0,0,0,0

5,01:00-01:15,34.349479,0.000000,0.000000,37.309480,30.591126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.511464,174.186000,0.000000,47.839755,28.124079,57.442188,83.210588,0.000000,0.000000,43.546500,0.000000,134.810287,41.282082,0.000000,10.093498,0.000000,65.354587,35.363768,0.000000,603.295781,0.000000,49.488855,12.644162,44.870314,0.000000,0.000000,0.000000,148.642010,0.000000,10.216357,114.309562,38.233943,13.495081,9.68,23.123851,30.289300,24.182823,142.750870,0.925605,13.789725,405.243729,0,0,0,0,0

6,01:15-01:30,34.349479,0.000000,0.000000,37.309480,30.591126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.511464,174.186000,0.000000,47.839755,28.124079,57.442188,83.210588,0.000000,0.000000,43.546500,0.000000,134.810287,41.282082,0.000000,10.093498,0.000000,65.354587,35.363768,0.000000,536.501493,0.000000,49.488855,12.644162,44.870314,0.000000,0.000000,0.000000,148.642010,0.000000,10.216357,114.309562,38.233943,13.589020,9.68,20.986510,30.289300,24.182823,142.750870,0.925605,13.789725,405.243729,0,0,0,0,0

