Block,Time,KHSTPP-I,KKNPPU2,KOTESHWR,NLCTS2EXP,RAPPC,SIMHST1,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_LF,BSIUL,CHAMERA2,MAPS,NAPP,NLCEXP,NTPL,PARBATI3,RSTPSU7,UNCHAHAR4,URI,VALLURNTECL,ANTA_CRF,BRBCL,CHAMERA3,DULHASTI,JHAJJAR,KGSU3AND4,RSTPSU1TO6,TANAKPUR,TEHRI,DADRI_LF,KISHANGANGA,KKNP,KOLDAM,NNTPP,RAPPB,RIHAND1,RIHAND2,SALAL,SEWA2,SINGRAULI,UNCHAHAR2,URI2,AURY_GF,AURY_LF,SASAN,SIMHST2,DADRI_RF,FSTPP I & II,KHSTPP-II,KUDGI,NJPC,RAMPUR,TANDA2,ANTA_GF,KGSU1AND2,NLCIIST1,RIHAND3,UNCHAHAR1,UNCHAHAR3,ANTA_RF,CHAMERA1,DADRT2,DHAULIGNGA,NLCIIST2,TALA,TALST2,AURY_CRF,AURY_RF,DADRI_CRF,DADRI_GF
19,04:30-04:45,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,5.76,0,23.57,0,0,0,0,0,92,118.75,55.77,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.25,0,683.14,9.14,0,0,0,0,71.46,2.19,0

20,04:45-05:00,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,5.76,15.56,23.57,0,0,0,0,0,92,118.75,55.77,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.25,0,683.14,9.14,0,0,0,0,71.46,2.19,0

21,05:00-05:15,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,0.51,31.12,23.57,0,0,0,0,0,92,118.75,55.77,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.25,0,683.14,9.14,0,0,0,0,71.46,2.19,0

22,05:15-05:30,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,0.51,31.12,23.57,0,0,0,0,0,92,118.75,41.83,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.25,0,683.14,9.14,0,0,0,0,71.46,2.19,0

23,05:30-05:45,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,16.48,654.3,0,0,0.51,31.12,23.57,0,0,0,0,0,92,118.75,41.83,0,125.96,42.39,4.31,0,0,416.25,0,67.18,15.99,148.3,0,20.83,0,0,0,0,0,124.32,20.56,26.39,45.25,0,683.14,9.14,0,0,0,0,71.46,2.19,0

24,05:45-06:00,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,16.48,654.3,0,0,0.51,46.68,23.57,0,0,0,0,0,92,118.75,9.29,0,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,40.24,0,0,0,0,0,124.32,20.56,26.39,45.25,0,683.14,9.14,0,0,0,0,71.46,2.19,0

25,06:00-06:15,45.22,0,8.88,0,54.31,0,0,0,0,1.1,0,0,44.32,0,0,3.82,0,0,0,0,0,20,0,16.48,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,58.72,0,0,0,0,0,124.32,20.56,26.39,45.25,0,683.14,18.27,0,0,0,0,71.46,2.19,0

26,06:15-06:30,45.22,0,17.75,0,54.31,0,0,0,0,6.52,2.67,0,44.32,0,0,16.55,0,0,0,0,0,20,0,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,77.65,0,0,0,0,0,124.32,20.56,26.39,45.47,0,683.14,18.27,0,0,0,0,71.46,2.19,0

27,06:30-06:45,45.22,0,26.63,0,54.31,0,0,0,0,6.52,8,0,44.32,0,0,16.55,0,0,0.66,0,0,20,9.67,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,5.27,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,94.7,0,0,0,0,0,124.32,20.56,26.39,45.47,14.05,683.14,27.41,0,0,0,0,70.59,2.19,0

28,06:45-07:00,45.22,0,39.83,0,54.31,0,0,0,0,13.04,26.34,0,44.32,0,0,16.55,0,0,0.66,0,0,20,19.38,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,10.53,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,137.32,0,0,0,0,0,124.32,20.56,26.39,45.47,14.05,683.14,27.41,0,0,0,0,70.59,2.19,0

29,07:00-07:15,45.22,0,39.83,0,54.31,0,0,0,0,13.04,26.34,0,44.32,0,0,16.55,0,0,0.66,0,0,20,19.38,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,10.53,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,137.32,0,0,0,0,0,124.32,20.56,26.39,45.47,14.05,683.14,27.41,0,0,0,0,70.59,2.19,0

30,07:15-07:30,45.22,0,39.83,0,54.31,0,0,0,0,13.04,26.34,0,44.32,0,0,16.55,0,0,1.11,0,0,20,19.38,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,10.53,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,137.32,0,0,0,0,0,124.32,20.56,26.39,45.47,14.05,683.14,27.41,0,0,0,0,70.59,2.19,0

31,07:30-07:45,45.22,0,39.83,0,54.31,0,0,0,0,13.04,26.34,0,44.32,0,0,16.55,0,0,26.49,0,0,20,19.38,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,10.53,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,124.06,0,0,0,0,0,124.32,20.56,26.39,45.47,14.05,682.79,27.41,0,0,0,0,70.59,2.19,0

32,07:45-08:00,45.22,0,39.83,0,54.31,0,0,0,0,13.04,26.34,0,44.32,0,0,3.56,0,0,26.49,0,0,20,19.38,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,5.27,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,113.64,0,0,0,0,0,124.32,20.56,26.39,45.47,14.05,682.79,27.41,0,0,0,0,70.59,2.19,0

