Column1,Block,GNA/NR/2025/08/01/5126,NR/2025/34583/C,NR/2025/32534/A/100863,NR/2025/32535/A/100864,NR/2025/33632/A/100604,NR/2025/32532/A/100860,NR/2025/33633/A/100603,NR/2025/32535/A/100865,NR/2025/32532/A/100861,NR/2025/32599/A/100945,NR/2025/33637/A/100601,NR/2025/32534/A/100862,NR/2025/34571/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/34078/A/100511,NR/2025/34570/C,NR/2025/31043/A/100909,NR/2025/32559/A/100914,NR/2025/34587/C,NR/2025/32610/A/100913,NR/2025/34586/C,NR/2025/29440/A/100450,NR/2025/34540/C,NR/2025/29992/A/100510,NR/2025/31421/A/100930,NR/2025/34524/C,NR/2025/34525/C,NR/2025/32262/A/100439,NR/2025/34568/C,NR/2025/34569/C,NR/2025/32455/A/101013,NR/2025/34584/C,NR/2025/31049/A/100906,NR/2025/32397/A/100370,NR/2025/31048/A/100907,NR/2025/34247/A/100869,NR/2025/32556/A/100915,NR/2025/34263/A/100719,NR/2025/31045/A/100908,NR/2025/32004/A/100918,NR/2025/32375/A/100925,GNARE/NR/2024/12/20/3668,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,Total
,,MANIKARAN,MES_Delhi,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,GMRETL,ABLWM1_AEROCITY,GMRETL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,BRPL,GMRETL,OIDLWM2_AEROCITY,APPCPL,DELHI,DIAPL,APPCPL,PowerPulse,APPCPL,NVVNL,APPCPL,NVVNL,ITCLH,PowerPulse,BYPL,NVVNL,PowerPulse,PowerPulse,TPTCL,APPCPL,APPCPL,MANIKARAN,NVVNL,PowerPulse,IEXL,PowerPulse,PowerPulse,APPCPL,PTC,PowerPulse,APPCPL,NVVNL,SECI_Trader,MANIKARAN,APPCPL,NDMC,APPCPL,BAWANA_GAS,PUNJAB,NVVNL,NDMC,NDMC,MANIKARAN,PowerPulse,MANIKARAN,
,,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,NA,NA,NA,MP_State,ANDHRA_PRADESH_STATE,NA,KERALA_State,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,GoHP_NJPC_STATE,NA,MSEB_State,MP_State,NA,MSEB_State,GOA_State,NA,GOA_State,DELHI_UT,DELHI_UT,NA,NA,NA,NA,MSEB_State,NA,
,,BLAPOWER_MP,NTPCREL_PSS2_KPS2_S,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TS1PL_BKN,JGCPL_BKN2,TESPL_BKN2,AEML,CHANJUII,GBHHPL,RKM_POWER,MAHAN_ENERGEN,RKM_POWER,Kameng,RKM_POWER,JP_BINA,ITCWIND,APL_Raipur_TPP,KSEB,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,APL_Raigarh_TPP,TPC_MSEB,RKM_POWER,JPL2,MBMP,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,A_A_Energy_MH_Bio,APL_Raigarh_TPP,APL_Raipur_TPP,JPL2,GoHP_NJPC,MAHAN_ENERGEN,AEML,JP_BINA,APSEPL_FTG,AEML,GOA_Beneficiary,TRN_ENERGY,GOA_Beneficiary,BAWANA_GAS,BAWANA_GAS,JHABUA_IPP,SKS_Raigarh,JIPL,MBMP,Vidarbha_Industry_MH,DBPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,MES_Delhi,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,MAX_HPTL,ABLWM1_AEROCITY,DTCP,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,BRPL,BLKMH,OIDLWM2_AEROCITY,BYPL,TPDDL,DIAPL,NDMC,TPDDL,NDMC,TPDDL,NDMC,TPDDL,ITCLH,BRPL,BYPL,TPDDL,TPDDL,TPDDL,BYPL,NDMC,NDMC,BRPL,TPDDL,TPDDL,MES_Delhi,TPDDL,BRPL,NDMC,BRPL,TPDDL,BYPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,BRPL,HARYANA,PUNJAB,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,
,,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,East-North,West-North,West-North,West-North,
1,00:00-00:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.87,0,44.26,48.1,0,0,54.12,0,0,48.1,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1390.01

2,00:15-00:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.87,0,44.26,48.1,0,0,54.12,0,0,48.1,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1390.01

