Block,Time,UNCHAHAR3,CHAMERA1,DADRT2,RIHAND2,RIHAND1,KOTESHWR,DADRI_LF,NJPC,BSIUL,ANTA_LF,URI,CHAMERA2,TEHRI,UNCHAHAR2,ANTA_RF,AURY_CRF,DHAULIGNGA,SALAL,AURY_RF,SINGRAULI_HYDRO,UNCHAHAR4,DADRI_GF,SINGRAULI,RAMPUR,DULHASTI,DADRI_RF,UNCHAHAR1,ANTA_CRF,AURY_GF,RIHAND3,CHAMERA3,KISHANGANGA,JHAJJAR,KOLDAM,PARBATI3,AURY_LF,DADRI_CRF,NAPP,TANAKPUR,TANDA2,RAPPB,RAPPC,URI2,ANTA_GF,SEWA2,SASAN,KHSTPP-II,TALA,KHSTPP-I,FSTPP I & II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.921850,0.000000,360.049800,112.756238,88.568400,8.068389,0.000000,0.000000,12.555148,0.000000,40.387190,0.000000,0.000000,24.375512,0.000000,0.000000,0.000000,12.305231,0.000000,0.644576,0.000000,0.000000,120.903086,0.000000,0.000000,0.000000,6.546360,0.000000,0.000000,119.052897,0.000000,0.000000,346.572000,0.000000,0.000000,0.000000,0.000000,42.051891,0.986575,0.000000,0.000000,51.798651,30.707610,0.000000,15.656005,403.149879,83.658630,0.000000,24.837660,10.108350,19.254035,0,0,0,0,0

2,00:15-00:30,14.921850,0.000000,360.049800,112.756238,88.568400,8.068389,0.000000,0.000000,12.555148,0.000000,40.387190,0.000000,0.000000,23.249205,0.000000,0.000000,0.000000,12.305231,0.000000,0.644576,0.000000,0.000000,120.903086,0.000000,0.000000,0.000000,6.546360,0.000000,0.000000,119.052897,0.000000,0.000000,346.572000,0.000000,0.000000,0.000000,0.000000,42.051891,0.986575,0.000000,0.000000,51.798651,30.707610,0.000000,15.656005,403.149879,83.658630,0.000000,24.837660,10.108350,18.617387,0,0,0,0,0

3,00:30-00:45,14.921850,0.000000,360.049800,90.727062,61.829985,8.068389,0.000000,0.000000,12.555148,0.000000,34.010266,0.000000,0.000000,23.249205,0.000000,0.000000,0.000000,12.305231,0.000000,0.644576,0.000000,0.000000,120.903086,0.000000,15.864191,0.000000,6.546360,0.000000,0.000000,119.052897,0.000000,0.000000,346.572000,0.000000,0.000000,0.000000,0.000000,42.051891,0.986575,0.000000,0.000000,51.798651,30.707610,0.000000,15.656005,403.149879,83.658630,0.000000,24.837660,10.108350,19.254035,0,0,0,0,0

4,00:45-01:00,14.921850,0.000000,360.049800,90.727062,61.829985,8.068389,0.000000,0.000000,12.555148,0.000000,34.010266,0.000000,0.000000,23.249205,0.000000,0.000000,0.000000,12.305231,0.000000,0.644576,0.000000,0.000000,120.903086,0.000000,15.864191,0.000000,6.546360,0.000000,0.000000,119.052897,0.000000,0.000000,346.572000,0.000000,0.000000,0.000000,0.000000,42.051891,0.986575,0.000000,0.000000,51.798651,30.707610,0.000000,15.656005,403.149879,83.658630,0.000000,24.837660,10.108350,18.526120,0,0,0,0,0

5,01:00-01:15,14.921850,0.000000,360.049800,90.727062,61.829985,8.068389,0.000000,0.000000,12.555148,0.000000,34.010266,0.000000,0.000000,23.249205,0.000000,0.000000,0.000000,12.305231,0.000000,0.644576,0.000000,0.000000,120.903086,0.000000,15.864191,0.000000,6.546360,0.000000,0.000000,87.011907,0.000000,0.000000,346.572000,0.000000,0.000000,0.000000,0.000000,42.051891,0.986575,0.000000,0.000000,51.798651,30.707610,0.000000,15.656005,403.149879,83.658630,0.000000,24.837660,10.108350,16.738100,0,0,0,0,0

