Time,Block,NR/2023/18105/A/1457,NR/2023/18062/A/1398,WR/2023/19446/A,NR/2023/18112/C,NR/2023/18110/C,NR/2023/18109/C,WR/2023/20577/A/1466,NR/2023/17270/A,NR/2023/17525/A,NR/2023/18111/C,NER/2023/1717/C,NR/2023/18074/A/1424,WR/2023/20256/A/1477,Total
,,IEXL,IEXL,MANIKARAN,SJVNL,SJVNL,TPDDL,APPCPL,GMRETL,APPCPL,SJVNL,IEXL,ITCLH,MANIKARAN,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,NA,NA,HIMACHAL PRADESH,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,ANDHRA PRADESH,DELHI,
,,BSHP,SNJSUGARLTDAP,BYPL,RSRPL_BKN,RSRPL_BKN,CHANJUII,BRPL,BYPL,BYPL,BCMLB001,BYPL,ITCWIND,BRPL,
,,DELHI,DELHI,MAHARASHTRA,DELHI,DELHI,DELHI,GOA,RAJASTHAN,HIMACHAL PRADESH,DELHI,ARUNACHAL PRADESH,DELHI,GOA,
,,MES (Delhi),MES (Delhi),AEML,NDMC,NDMC,TPDDL,GOA_Beneficiary,RUVNL,HP,NDMC,Arunachal_Ben,ITCLH,GOA_Beneficiary,
,,North-North,South-East-North,North-West,North-North,North-North,North-North,North-West,North-North,North-North,North-North,North-East-North East,South-West-North,North-West,
1,00:00-00:15,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.430000,0.000000,134.07

2,00:15-00:30,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.430000,0.000000,134.07

3,00:30-00:45,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.430000,0.000000,134.07

4,00:45-01:00,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.430000,0.000000,134.07

5,01:00-01:15,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.380000,0.000000,134.02

6,01:15-01:30,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.380000,0.000000,134.02

7,01:30-01:45,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.380000,0.000000,134.02

8,01:45-02:00,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.380000,0.000000,134.02

9,02:00-02:15,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.340000,0.000000,133.98

10,02:15-02:30,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.340000,0.000000,133.98

11,02:30-02:45,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.340000,0.000000,133.98

12,02:45-03:00,0.960000,4.810000,75.000000,0,0,2.380000,0.000000,0.000000,25.490000,0.000000,25.000000,0.340000,0.000000,133.98

13,03:00-03:15,0.960000,4.810000,75.000000,0,0,2.480000,0.000000,0.000000,25.490000,0.000000,25.000000,0.340000,0.000000,134.08

14,03:15-03:30,0.960000,4.810000,75.000000,0,0,2.480000,0.000000,0.000000,25.490000,0.000000,25.000000,0.340000,0.000000,134.08

15,03:30-03:45,0.960000,4.810000,75.000000,0,0,2.480000,0.000000,0.000000,25.490000,0.000000,25.000000,0.340000,0.000000,134.08

16,03:45-04:00,0.960000,4.810000,75.000000,0,0,2.480000,0.000000,0.000000,25.490000,0.000000,25.000000,0.340000,0.000000,134.08

17,04:00-04:15,0.960000,4.810000,75.000000,0,0,2.480000,0.000000,0.000000,25.490000,0.000000,25.000000,0.380000,0.000000,134.12

