Column1,Block,NR/2025/25526/C,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/3469,WR/2025/26427/A/56478,WR/2025/26426/A/56477,WR/2025/26582/A/56684,GNA/NR/2025/03/01/1906,WR/2025/26499/A/56686,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/SR/2025/03/01/7500,NR/2025/25159/A/56403,GNA/WR/2025/01/01/9606,NR/2025/25529/C,NR/2025/25530/C,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/9482,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNARE/NR/2024/12/20/3668,Total
,,IEXL,PTC,NDMC,KEIPL,KEIPL,APPCPL,NDMC,APPCPL,NDMC,NDMC,APPCPL,ITCLH,APPCPL,SJVNL,SJVNL,NDMC,NDMC,PUNJAB,DELHI,APPCPL,TPTCL,BAWANA_GAS,PTC,SECI_Trader,
,,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,
,,TPDDL,BYPL,TRN_ENERGY,BRPL,BYPL,BRPL,JPL2,BRPL,SKS_Raigarh,RKM_POWER,BYPL,ITCWIND,BYPL,TPSL_BKN2,RSRPL_BKN,RKM_POWER,JIPL,BAWANA_GAS,CHANJUII,BRPL,BYPL,BAWANA_GAS,BRPL,APSEPL_FTG,
,,JK_and_LADAKH_UT,HIMACHAL_STATE,DELHI_UT,CSEB_State,CSEB_State,CSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,MSEB_State,MSEB_State,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,
,,JK_LADAKH,HP,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,AEML,NDMC,NDMC,KSEB,ITCLH,AEML,NDMC,NDMC,NDMC,NDMC,PUNJAB,TPDDL,AEML,TPC_MSEB,HARYANA,HP,TPDDL,
,,North-North,North-North,West-North,North-West,North-West,North-West,West-North,North-West,West-North,West-North,North-West-South,South-West-North,North-West,North-North,North-North,West-North,East-North,North-North,North-North,North-West,North-West,North-North,North-North,North-North,
1,00:00-00:15,0,55.49,6.71,47.96,167.43,47.96,23.02,0,5.76,23.02,200,0.43,0,0,0,23.02,17.27,26.99,4.68,42,0,26.99,166.48,0,885.2099999999998

2,00:15-00:30,0,55.49,6.71,47.96,167.43,47.96,23.02,0,5.76,23.02,200,0.43,0,0,0,23.02,17.27,26.99,4.68,42,0,26.99,166.48,0,885.2099999999998

