Block,Time,KISHANGANGA,ANTA_RF,CHAMERA3,PARBATI3,KOLDAM,SINGRAULI_HYDRO,BSIUL,UNCHAHAR4,DADRI_GF,RAMPUR,NAPP,CHAMERA1,CHAMERA2,AURY_CRF,DADRI_CRF,RIHAND3,URI,DULHASTI,SALAL,NJPC,ANTA_GF,URI2,RAPPC,RAPPB,DHAULIGNGA,DADRI_RF,UNCHAHAR3,DADRI_LF,ANTA_CRF,AURY_LF,DADRT2,TEHRI,TANAKPUR,SEWA2,KOTESHWR,RIHAND1,UNCHAHAR1,SINGRAULI,AURY_GF,TANDA2,ANTA_LF,JHAJJAR,RIHAND2,AURY_RF,UNCHAHAR2,SASAN,BRBCL,TALA,KHSTPP-I,FSTPP I & II,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.846541,0.000000,0.000000,0.000000,0.000000,23.630568,0.000000,0.000000,0.000000,0.000000,59.480460,1.274458,0.000000,1.341413,0.000000,0.000000,4.399880,52.493454,0.000000,0.000000,0.000000,14.862900,0.000000,0.000000,0.000000,359.595600,0.000000,0.000000,0.000000,8.726494,88.504000,12.198160,133.900010,0.000000,0.000000,0.000000,230.687600,113.636250,0.000000,24.852838,402.856740,18.555567,0.000000,22.808250,12.478803,94.622416,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.846541,0.000000,0.000000,0.000000,0.000000,23.630568,0.000000,0.000000,0.000000,0.000000,59.480460,1.274458,0.000000,1.341413,0.000000,0.000000,4.399880,52.493454,0.000000,0.000000,0.000000,14.862900,0.000000,0.000000,0.000000,359.595600,0.000000,0.000000,0.000000,8.726494,88.504000,12.198160,134.016220,0.000000,0.000000,0.000000,230.687600,113.636250,0.000000,22.510800,402.856740,19.001917,0.000000,22.808250,11.063000,94.622416,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.846541,0.000000,0.000000,0.000000,0.000000,23.630568,0.000000,0.000000,0.000000,0.000000,59.480460,1.274458,0.000000,1.341413,0.000000,0.000000,4.399880,52.493454,0.000000,0.000000,0.000000,14.862900,0.000000,0.000000,0.000000,359.595600,0.000000,0.000000,0.000000,8.726494,56.013027,12.198160,134.016220,0.000000,0.000000,0.000000,230.687600,113.636250,0.000000,22.510800,402.856740,18.823316,0.000000,20.076940,11.063000,94.622416,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.846541,0.000000,0.000000,0.000000,0.000000,23.630568,0.000000,0.000000,0.000000,0.000000,59.480460,1.274458,0.000000,1.341413,0.000000,0.000000,4.399880,52.493454,0.000000,0.000000,0.000000,14.862900,0.000000,0.000000,0.000000,359.595600,0.000000,0.000000,0.000000,8.726494,65.633027,12.198160,134.016220,0.000000,0.000000,0.000000,230.687600,113.636250,0.000000,22.510800,402.856740,17.918617,0.000000,20.076940,11.063000,78.884000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.846541,0.000000,0.000000,0.000000,0.000000,23.630568,0.000000,0.000000,0.000000,0.000000,59.480460,1.274458,0.000000,1.341413,0.000000,0.000000,4.399880,52.493454,0.000000,0.000000,0.000000,14.862900,0.000000,0.000000,0.000000,359.595600,0.000000,0.000000,0.000000,8.726494,88.504000,12.198160,134.016220,0.000000,0.000000,0.000000,230.687600,113.636250,0.000000,22.510800,402.856740,16.269363,0.000000,20.076940,11.063000,78.884000,0,0,0,0,0

