Time,Block,WR/2024/21710/A/6189,WR/2024/21675/A/6124,WR/2024/21740/A/6193,SR/2024/11975/C,NER/2024/2023/A/6138,NR/2024/18388/A/5994,NR/2024/18691/A/6190,NR/2024/18723/C,Total
,,MANIKARAN,APPCPL,MANIKARAN,IEXL,APPCPL,ITCLH,MANIKARAN,NVVNL,Total

,,DELHI,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,NA,
,,BRPL,BRPL,BYPL,BYPL,BRPL,ITCWIND,BRPL,SOLAPUR_SOLAR,
,,GOA,GOA,MAHARASHTRA,TAMIL NADU,MANIPUR,DELHI,HIMACHAL PRADESH,DELHI,
,,GOA_Beneficiary,GOA_Beneficiary,AEML,TANGEDCO,Manipur_Ben,ITCLH,HP,MES (Delhi),
,,North-West,North-West,North-West,North-East-South,North-East-North East,South-West-North,North-North,West-North,
1,00:00-00:15,0.000000,0.000000,100.000000,100.00,25.000000,0.390000,0.000000,0,225.39

2,00:15-00:30,0.000000,0.000000,100.000000,100.00,25.000000,0.390000,0.000000,0,225.39

3,00:30-00:45,0.000000,0.000000,100.000000,100.00,25.000000,0.390000,0.000000,0,225.39

4,00:45-01:00,0.000000,0.000000,100.000000,100.00,25.000000,0.390000,0.000000,0,225.39

5,01:00-01:15,0.000000,0.000000,100.000000,100.00,25.000000,0.390000,0.000000,0,225.39

6,01:15-01:30,0.000000,0.000000,100.000000,100.00,25.000000,0.390000,0.000000,0,225.39

7,01:30-01:45,0.000000,0.000000,100.000000,100.00,25.000000,0.390000,0.000000,0,225.39

8,01:45-02:00,0.000000,0.000000,100.000000,84.00,25.000000,0.390000,0.000000,0,209.39

9,02:00-02:15,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

10,02:15-02:30,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

11,02:30-02:45,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

12,02:45-03:00,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

13,03:00-03:15,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

14,03:15-03:30,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

15,03:30-03:45,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

16,03:45-04:00,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

17,04:00-04:15,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

18,04:15-04:30,0.000000,0.000000,100.000000,0.00,25.000000,0.390000,0.000000,0,125.39

