Time,Block,NR/2023/11469/A,NR/2023/14888/C,NR/2023/14887/C,NR/2023/11654/A,NR/2023/14879/C,NR/2023/13283/A,NR/2023/13284/A,NR/2023/12646/A,NR/2023/11203/A,NR/2023/11315/A,NR/2023/14867/D,NR/2023/11328/A,NR/2023/14885/C,NR/2023/14868/D,NR/2023/14864/D,NR/2023/14890/C,NR/2023/11325/A,NR/2023/14187/F,NR/2023/14688/F,NR/2023/13859/A,NR/2023/13858/A,NR/2023/11470/A,NR/2023/11739/A,NR/2023/11954/A,NR/2023/11458/A,NR/2023/13983/F,NR/2023/14873/C,NR/2023/14893/C,NR/2023/11697/A,NR/2023/14688/F/II,NR/2023/14884/C,NR/2023/14882/C,NR/2023/13983/F/II,NR/2023/13573/A,ER/2023/9115/C,NR/2023/14869/D,WR/2023/17287/C,NR/2023/14863/D,NR/2023/14866/D,Total
,,NVVNL,IEXL,PXIL,TPTCL,TPDDL,APPCPL,APPCPL,MANIKARAN,KEIPL,GMRETL,KEIPL,APPCPL,PXIL,SJVNL,NVVNL,IEXL,APPCPL,GBHHPL,GMRETL,MANIKARAN,MANIKARAN,NVVNL,NVVNL,KEIPL,STATKRAFT,ITCLH,GBHHPL,IEXL,APPCPL,GMRETL,IEXL,PXIL,ITCLH,NVVNL,HPXL,TS1PL_BKN,PXIL,NVVNL,TS1PL_BKN,Total

,,NA,UTTAR PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,TAMIL NADU,MEGHALAYA,MEGHALAYA,UTTAR PRADESH,UTTARAKHAND,ODISHA,WEST BENGAL,NA,NA,MEGHALAYA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MP,MEGHALAYA,TAMIL NADU,ANDHRA PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,GOA,KARNATAKA,NA,ANDHRA PRADESH,NA,DELHI,NA,DELHI,NA,NA,
,,JPNIGRIE_JNSTPP,BCMLB001,JSWEL,JPL-2,CHANJUII,GOA_Beneficiary,HP,TANGEDCO,Meghalaya_Ben,Meghalaya_Ben,LAPL-UP,UTTARAKHAND,GMRKEL (STU),IPCL_WB,KAMENG,MCCPL,Meghalaya_Ben,GBHHPL,GOA_Beneficiary,HP,HP,KAMENG,JP BINA,Meghalaya_Ben,TANGEDCO,ITCWIND,GBHHPL,SCLTPS,HP,GOA_Beneficiary,NSLSUGAR,Teesta_III,ITCWIND,SKS Raigarh,BYPL,TS1PL_BKN,BYPL,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,BALCO_WR,DELHI,DELHI,
,,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BYPL,BYPL,BYPL,BYPL,BRPL,NDMC,TPDDL,BRPL,BYPL,DIAPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,ITCLH,DIAPL,BRPL,BYPL,TPDDL,MES (Delhi),BRPL,ITCLH,NDMC,VLSEZ,BYPL,BALCO_LOAD,MES (Delhi),BRPL,
,,West-North,North-North,South-West-North,West-North,North-North,West-North,North-North,South-West-North,North East-East-North,North East-East-North,North-North,North-North,East-North,East-North,North East-East-North,West-North,North East-East-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,North East-East-North,South-West-North,South-West-North,North-North,North-North,North-North,West-East-North,South-West-North,East-North,South-East-North,West-North,North-East,North-North,North-West,West-North,North-North,
1,00:00-00:15,84.940000,8.210000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.630000,0.970000,110.060000,36.780000,24.140000,6.760000,0.000000,0.240000,62.750000,0.000000,0,0.000000,0,0,1521.55

2,00:15-00:30,84.940000,8.210000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.630000,0.970000,76.270000,36.780000,24.140000,6.760000,0.000000,0.240000,62.750000,0.000000,0,0.000000,0,0,1487.76

3,00:30-00:45,84.940000,8.210000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.630000,0.970000,34.750000,36.780000,24.140000,6.760000,0.000000,0.240000,62.750000,0.000000,0,0.000000,0,0,1446.24

4,00:45-01:00,84.940000,8.210000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.630000,0.970000,0.000000,36.780000,24.140000,6.760000,0.000000,0.240000,62.750000,0.000000,0,0.000000,0,0,1411.49

5,01:00-01:15,84.940000,8.210000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.490000,0.970000,11.580000,36.780000,24.140000,6.760000,0.000000,0.180000,62.750000,0.000000,0,0.000000,0,0,1360.12

