Block,Time,SALAL,URI,RAPPB,UNCHAHAR4,ANTA_GF,RAMPUR,URI2,AURY_LF,RAPPC,AURY_CRF,DADRI_LF,JHAJJAR,UNCHAHAR3,TANDA2,CHAMERA2,DADRT2,SINGRAULI_HYDRO,CHAMERA3,SINGRAULI,NAPP,RIHAND1,BSIUL,ANTA_RF,DULHASTI,ANTA_LF,KOLDAM,RIHAND3,DHAULIGNGA,DADRI_RF,UNCHAHAR1,NJPC,AURY_RF,KISHANGANGA,UNCHAHAR2,RIHAND2,DADRI_GF,ANTA_CRF,CHAMERA1,DADRI_CRF,TEHRI,KOTESHWR,PARBATI3,TANAKPUR,SEWA2,AURY_GF,SASAN,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.315457,40.420752,0.000000,0.000000,0.000000,0.000000,30.733128,0.000000,51.963964,0.000000,0.000000,232.203500,18.399478,0.000000,0.000000,360.454985,0.792565,0.000000,121.003556,41.983934,88.642000,6.282791,0.000000,1.854256,0.000000,0.000000,58.441297,0.000000,0.000000,8.042527,0.000000,0.000000,0.000000,27.946607,113.813438,0.000000,0.000000,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,5.086008,0.000000,403.484895,18.256757,16.018573,0.000000,141.885877,35.669830,0,0,0,0,0

2,00:15-00:30,54.299970,40.420752,0.000000,0.000000,0.000000,0.000000,30.733128,0.000000,51.963964,0.000000,0.000000,232.203500,18.399478,0.000000,0.000000,360.454985,0.792565,0.000000,121.003556,41.983934,88.642000,6.282791,0.000000,1.854256,0.000000,0.000000,58.463831,0.000000,0.000000,8.042527,0.000000,0.000000,0.000000,27.946607,113.813438,0.000000,0.000000,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,5.086008,0.000000,403.484895,17.613756,16.018573,0.000000,122.817441,35.669830,0,0,0,0,0

3,00:30-00:45,54.299970,34.038528,0.000000,0.000000,0.000000,0.000000,30.733128,0.000000,51.963964,0.000000,0.000000,232.203500,18.399478,0.000000,0.000000,360.454985,0.774134,0.000000,121.003556,41.983934,88.642000,6.282791,0.000000,1.854256,0.000000,0.000000,58.463831,0.000000,0.000000,8.042527,0.000000,0.000000,0.000000,32.539707,113.813438,0.000000,0.000000,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,5.086008,0.000000,403.484895,16.454619,16.018573,0.000000,114.145941,35.669830,0,0,0,0,0

4,00:45-01:00,54.299970,34.038528,0.000000,0.000000,0.000000,0.000000,30.733128,0.000000,51.963964,0.000000,0.000000,232.203500,18.399478,0.000000,0.000000,360.454985,0.774134,0.000000,121.003556,41.983934,88.642000,6.282791,0.000000,1.854256,0.000000,0.000000,58.463831,0.000000,0.000000,8.042527,0.000000,0.000000,0.000000,32.539707,113.813438,0.000000,0.000000,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,5.086008,0.000000,403.484895,16.748891,16.018573,0.000000,114.145941,35.669830,0,0,0,0,0

5,01:00-01:15,54.299970,34.038528,0.000000,0.000000,0.000000,0.000000,30.733128,0.000000,51.963964,0.000000,0.000000,232.203500,15.416000,0.000000,0.000000,360.454985,0.774134,0.000000,121.003556,41.983934,88.642000,6.282791,0.000000,1.854256,0.000000,0.000000,58.463831,0.000000,0.000000,7.708000,0.000000,0.000000,0.000000,32.539707,113.813438,0.000000,0.000000,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,9.247288,0.000000,403.484895,16.241731,16.018573,0.000000,114.145941,35.669830,0,0,0,0,0

