Block,Time,CHAMERA1,KHSTPP-II,KUDGI,NNTPP,RAPPB,RSTPSU1TO6,UNCHAHAR3,AURY_LF,CHAMERA2,KKNP,KKNPPU2,RAMPUR,RSTPSU7,SASAN,SEWA2,SINGRAULI_HYDRO,DADRI_GF,DADRI_RF,KGSU3AND4,NLCEXP,RAPPC,TANDA2,TelanganaSTPP,UNCHAHAR4,AURY_RF,DHAULIGNGA,DULHASTI,JHAJJAR,KOTESHWR,NAPP,SINGRAULI,UNCHAHAR1,URI2,BSIUL,KHSTPP-I,PARBATI3,RIHAND1,RIHAND3,SIMHST1,TALA,URI,AURY_GF,DADRI_CRF,DADRI_LF,BRBCL,NJPC,NTPL,SIMHST2,ANTA_GF,ANTA_LF,ANTA_RF,CHAMERA3,DADRT2,NLCIIST2,NLCTS2EXP,TALST2,TANAKPUR,VALLURNTECL,ANTA_CRF,FSTPP I & II,KGSU1AND2,KISHANGANGA,KOLDAM,MAPS,NLCIIST1,RIHAND2,SALAL,TEHRI,UNCHAHAR2,AURY_CRF
1,00:00-00:15,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,26.9,0,44.92,0,46,124.32,0,11.17,6.63,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,13.06,0,0,20.8,0,0,0,0,0,118.76,26.14,46.69,42.4,0

2,00:15-00:30,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,26.9,0,44.92,0,46,124.32,0,11.17,6.63,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,13.06,0,0,20.8,0,0,0,0,0,118.76,26.14,46.69,42.4,0

3,00:30-00:45,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,26.9,0,44.92,0,46,124.32,0,10.91,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,13.06,0,0,20.8,0,0,0,0,0,118.76,26.14,46.69,42.4,0

4,00:45-01:00,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,26.9,0,44.92,0,46,124.32,0,10.91,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,13.06,0,0,20.8,0,0,0,0,0,118.76,26.14,31.13,42.4,0

5,01:00-01:15,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.91,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,31.13,42.4,0

6,01:15-01:30,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.91,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,14.93,42.4,0

7,01:30-01:45,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,14.93,42.4,0

8,01:45-02:00,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,14.93,42.4,0

9,02:00-02:15,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,14.93,42.4,0

10,02:15-02:30,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,14.93,42.4,0

11,02:30-02:45,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,14.93,42.4,0

12,02:45-03:00,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,38.35,14.93,42.4,0

13,03:00-03:15,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,79.38,14.93,42.4,0

14,03:15-03:30,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,346.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,79.38,14.93,42.4,0

15,03:30-03:45,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,371.25,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,79.38,14.93,42.4,0

16,03:45-04:00,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,376.88,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,7.73,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,79.38,14.99,42.4,0

17,04:00-04:15,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,382.5,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,8.83,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,15.56,42.4,0

18,04:15-04:30,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,393.75,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,8.83,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,15.56,42.4,0

19,04:30-04:45,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,399.38,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,8.83,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,15.56,42.4,0

20,04:45-05:00,0,148.3,0,0,0,0,0,0,13.17,0,0,0,0,413.44,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,0,46,124.32,0,10.76,8.83,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,15.56,42.4,0

21,05:00-05:15,11.85,148.3,0,0,0,0,0,0,13.17,0,0,0,0,413.44,0,0,0,66.85,0,0,51.64,0,0,0,68.96,18.23,49.43,454.31,8.87,41.01,127.5,20.56,5.38,0,44.92,3.56,46,124.32,0,10.68,8.83,0,0,21.92,15,70.17,0,0,0,0,28.35,9.68,341.57,0,0,0,11.53,0,0,20.8,0,0,0,0,0,118.76,26.14,15.56,42.4,0

