Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2025/04/01/1333,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8510,GNA/SR/2025/04/01/2597,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/7960,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/8456,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/9334,GNA/WR/2025/04/01/4420
1,00:00-00:15,6,0,26.33,73.34,0,0,24.33,0,79.01,0,26.33,73.33,0,0,0,2.89,28.25,2.89,9.62,115.06,3.22,3.11,26.93,7.68,52.5,7.27,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

2,00:15-00:30,6,0,26.67,73.66,0,0,24.67,0,79.99,0,26.67,73.67,0,0,0,2.89,28.25,2.89,9.62,115.06,3.22,3.11,26.93,7.68,52.5,7.27,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

3,00:30-00:45,6.2,0,27,74.34,0,0,25,0,81,0,27,74.33,0,0,0,2.89,28.25,2.89,9.62,115.06,3.22,3.11,26.93,7.68,52.5,7.27,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

4,00:45-01:00,6.2,0,27.5,74.66,0,0,25.67,0,82.5,0,27.5,74.67,0,0,0,2.89,28.25,2.89,9.62,115.06,3.22,3.11,26.93,7.68,52.5,7.27,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

5,01:00-01:15,6.4,0,28.33,75,0,0,26,0,85.01,0,28.33,75,0,0,0,2.89,28.25,2.89,9.62,115.06,3.22,3.11,26.93,7.68,52.5,7.27,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

6,01:15-01:30,6.4,0,28.67,75.34,0,0,26.67,0,85.99,0,28.67,75.33,0,0,0,2.89,28.25,2.89,9.62,115.06,3.22,3.11,26.93,7.68,52.5,7.27,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

7,01:30-01:45,6.6,0,29.17,75.66,0,0,27,0,87.49,0,29.17,75.67,0,0,0,2.89,28.25,2.89,9.62,66.02,3.22,3.11,26.93,7.68,52.5,7.27,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

8,01:45-02:00,6.6,0,29.67,76,0,0,28,0,88.99,0,29.67,76,0,0,0,2.89,28.25,2.89,9.62,66.02,3.22,3.11,26.93,7.68,52.5,7.27,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

9,02:00-02:15,6.8,0,30,68.33,0,0,28,0,90,0,30,68.33,0,0,0,2.89,28.25,2.89,9.62,66.02,3.07,3.11,26.93,7.68,0,7.19,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

10,02:15-02:30,6.8,0,30.33,69,0,0,27.67,0,91.01,0,30.33,69,0,0,0,2.89,28.25,2.89,9.62,66.02,3.07,3.11,26.93,7.68,0,7.19,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

11,02:30-02:45,7,0,28.33,69.67,0,0,27.67,0,85,0,28.34,69.67,0,0,0,2.89,28.25,2.89,9.62,66.02,3.07,3.11,26.93,7.68,0,7.19,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

