Block,Time Block,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,TANAKPUR,TelanganaSTPP,TALA,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,TALST2,URI2,UNCHAHAR3,SALAL,SEWA2,RIHAND3,RAPPB,NLCTS2EXP,RIHAND2,SASAN,NNTPP,RIHAND1,SIMHST1,RAMPUR,NTPL,RSTPSU1TO6,RAPPC,RSTPSU7,PARBATI3,SIMHST2,SINGRAULI_HYDRO,SINGRAULI,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,MAPS,NAPP,KOTESHWR,KKNP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,KHSTPP-II,KGSU3AND4,FSTPP I & II,DHAULIGNGA,DULHASTI,KHSTPP-I,JHAJJAR,KGSU1AND2,CHAMERA2,CHAMERA3,DADRT2,CHAMERA1,BSIUL,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,30.56,0.85,0,14.91,0,0,0,0,4.15,19.28,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,105,0,12.56,0,15.85,32.22,350.59,0,0,0,191.44,0,0,19.24,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,30.56,0.85,0,14.91,0,0,0,0,4.15,19.28,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,105,0,12.56,0,15.85,32.22,350.59,0,0,0,180.72,0,0,18.03,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,30.56,0.85,0,14.91,0,0,0,0,4.15,19.28,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,105,0,12.56,0,15.85,32.22,350.59,0,0,0,180.72,0,0,14.95,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,22.51,0.85,0,14.91,0,0,0,0,4.15,19.28,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,105,0,12.56,0,15.85,32.22,346.56,0,0,0,180.72,0,0,13,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,22.51,0.85,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,105,0,12.56,0,15.85,32.22,346.56,0,0,0,180.72,0,0,13.57,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,22.51,0.85,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,105,0,9.63,0,15.85,32.22,346.56,0,0,0,180.72,0,0,14.05,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,3.18,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,105,0,9.63,0,15.85,32.22,346.56,0,0,0,180.72,0,0,14,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,3.18,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,105,0,9.63,0,15.85,32.22,346.56,0,0,0,180.72,0,0,12.99,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,3.18,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,13.65,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,3.18,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,95.55,402.86,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,13.82,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,73.27,402.86,0,50.02,0,0,0,0,51.4,0,0,0,0,93.97,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,16.78,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,73.27,402.86,0,50.02,0,0,0,0,51.4,0,0,0,0,93.97,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,16.28,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,73.27,402.86,0,50.02,0,0,0,0,51.4,0,0,0,0,93.97,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,17.98,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,73.27,402.86,0,50.02,0,0,0,0,51.4,0,0,0,0,93.97,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,17.95,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,22.42,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,73.27,386.79,0,50.02,0,0,0,0,51.4,0,0,0,0,93.97,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,17.4,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,22.42,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,73.27,386.79,0,50.02,0,0,0,0,51.4,0,0,0,0,93.97,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,18.37,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,22.51,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,73.27,386.79,0,50.02,0,0,0,0,51.4,0,0,0,0,93.97,0,0,0,0,0,41.72,8.54,0,0,0,0,0,78.47,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,19.11,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,22.51,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,73.27,386.79,0,50.02,0,0,0,0,51.4,0,0,0,0,93.97,0,0,0,0,0,41.72,8.54,0,0,0,0,0,95.26,0,9.63,0,15.85,24.55,346.56,0,0,0,180.72,0,0,19.24,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,22.51,1.28,0,11.55,0,0,0,0,4.15,14.19,1.35,0,119.6,0,0,95.55,386.79,0,77.7,0,0,0,0,51.4,0,0,0,0,104.44,0,0,0,0,0,41.72,8.54,0,0,0,0,0,104.04,0,12.56,0,15.85,32.22,346.56,0,0,0,180.72,0,0,19.24,0,0,0,0,0

