Block,Time,UNCHAHAR3,ANTA_GF,ANTA_RF,UNCHAHAR1,RAMPUR,PARBATI3,RIHAND3,NAPP,DADRI_GF,TANDA2,RAPPC,SALAL,URI2,AURY_LF,DHAULIGNGA,ANTA_CRF,AURY_CRF,JHAJJAR,TEHRI,SEWA2,CHAMERA3,DADRI_RF,TANAKPUR,CHAMERA1,UNCHAHAR4,DADRI_CRF,NJPC,CHAMERA2,DADRI_LF,DULHASTI,RAPPB,ANTA_LF,UNCHAHAR2,SINGRAULI,KISHANGANGA,SINGRAULI_HYDRO,BSIUL,KOTESHWR,RIHAND1,RIHAND2,AURY_GF,KOLDAM,URI,AURY_RF,DADRT2,FSTPP I & II,SASAN,KHSTPP-II,KHSTPP-I,TALA,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,10.673253,0.000000,0.000000,6.748000,0.000000,0.000000,119.213662,20.693995,0.000000,0.000000,52.724920,2.240336,16.079983,0.000000,0.000000,0.000000,0.000000,345.112000,0.000000,0.000000,0.000000,0.000000,0.246977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.244000,108.713558,0.000000,0.700770,0.000000,8.554536,79.352422,43.496451,0.000000,0.000000,2.660640,0.000000,348.968000,6.992261,403.694280,101.244996,16.388000,0.000000,9.640868,0,0,0,0,0

2,00:15-00:30,12.532000,0.000000,0.000000,6.748000,0.000000,0.000000,119.213662,20.693995,0.000000,0.000000,52.724920,2.240336,16.079983,0.000000,0.000000,0.000000,0.000000,345.112000,0.000000,0.000000,0.000000,0.000000,0.246977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.244000,108.713558,0.000000,0.700770,0.000000,8.554536,63.142473,43.496451,0.000000,0.000000,2.660640,0.000000,348.968000,4.820000,403.694280,89.652000,16.388000,0.000000,9.640868,0,0,0,0,0

3,00:30-00:45,12.532000,0.000000,0.000000,6.748000,0.000000,0.000000,119.213662,20.693995,0.000000,0.000000,52.724920,2.240336,16.079983,0.000000,0.000000,0.000000,0.000000,345.112000,0.000000,0.000000,0.000000,0.000000,0.246977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.244000,108.713558,0.000000,0.700770,0.000000,8.554536,56.129478,43.496451,0.000000,0.000000,2.660640,0.000000,348.968000,4.820000,403.694280,89.652000,16.388000,0.000000,9.640868,0,0,0,0,0

4,00:45-01:00,12.532000,0.000000,0.000000,6.748000,0.000000,0.000000,119.213662,20.693995,0.000000,0.000000,52.724920,2.240336,16.079983,0.000000,0.000000,0.000000,0.000000,345.112000,0.000000,0.000000,0.000000,0.000000,0.246977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.244000,108.713558,0.000000,0.700770,0.000000,8.554536,56.129478,43.496451,0.000000,0.000000,2.660640,0.000000,348.968000,4.820000,403.694280,89.652000,16.388000,0.000000,9.640868,0,0,0,0,0

5,01:00-01:15,12.532000,0.000000,0.000000,6.748000,0.000000,0.000000,119.213662,20.693995,0.000000,0.000000,52.724920,2.240336,16.079983,0.000000,0.000000,0.000000,0.000000,345.112000,0.000000,0.000000,0.000000,0.000000,0.246977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.244000,107.004000,0.000000,0.700770,0.000000,8.554536,56.129478,43.496451,0.000000,0.000000,2.660640,0.000000,348.968000,4.820000,403.694280,89.652000,16.388000,0.000000,9.640868,0,0,0,0,0

