Block,Time,KOTESHWR,AURY_GF,DADRT2,TANDA2,KOLDAM,UNCHAHAR3,SINGRAULI,ANTA_CRF,SEWA2,URI,UNCHAHAR4,DADRI_LF,NJPC,UNCHAHAR2,RIHAND2,JHAJJAR,KISHANGANGA,CHAMERA1,RIHAND1,DADRI_CRF,AURY_RF,TANAKPUR,DADRI_GF,AURY_CRF,RIHAND3,DHAULIGNGA,SINGRAULI_HYDRO,BSIUL,RAPPB,RAPPC,DADRI_RF,ANTA_RF,SALAL,DULHASTI,ANTA_GF,URI2,TEHRI,ANTA_LF,RAMPUR,UNCHAHAR1,PARBATI3,CHAMERA2,AURY_LF,CHAMERA3,NAPP,KUDGI,BRBCL,SASAN,KHSTPP-II,KHSTPP-I,TALA,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,12.826714,0.000000,0.000000,22.005250,20.389421,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,11.782510,0.000000,0.000000,119.733058,1.278992,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,67.502904,31.909649,0.000000,30.883045,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,14.158495,381.228750,94.079316,42.734993,4.269762,9.932377,0,0,0,0,0

7,01:30-01:45,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,12.826714,0.000000,0.000000,22.005250,20.389421,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,67.502904,31.909649,0.000000,11.721804,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,13.355328,386.674875,94.079316,42.734993,4.269762,9.932377,0,0,0,0,0

8,01:45-02:00,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,12.826714,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,1.065020,0.000000,25.432968,0.000000,0.000000,67.502904,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,13.666465,392.121000,94.079316,42.734993,4.269762,9.932377,0,0,0,0,0

9,02:00-02:15,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,12.826714,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,12.938057,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,13.272095,397.567125,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

10,02:15-02:30,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,12.826714,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,12.938057,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,14.047014,403.013250,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

