Block,Time,BSIUL,FSTPP I & II,KISHANGANGA,KUDGI,MAPS,NLCTS2EXP,NNTPP,RIHAND1,TALA,UNCHAHAR1,ANTA_CRF,ANTA_RF,AURY_CRF,BRBCL,CHAMERA2,DADRT2,DULHASTI,NAPP,NTPL,SIMHST1,TANDA2,AURY_GF,DADRI_GF,DADRI_LF,CHAMERA3,KGSU1AND2,KGSU3AND4,NLCEXP,SIMHST2,TALST2,URI2,AURY_LF,AURY_RF,KHSTPP-I,KHSTPP-II,PARBATI2,RAPPB,RIHAND2,RIHAND3,SASAN,TelanganaSTPP,JHAJJAR,KOTESHWR,NLCIIST1,RAMPUR,SALAL,SEWA2,UNCHAHAR2,UNCHAHAR3,ANTA_GF,DADRI_CRF,KKNP,KOLDAM,RAPPC,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR4,VALLURNTECL,ANTA_LF,CHAMERA1,DHAULIGNGA,NLCIIST2,SINGRAULI,URI,KKNPPU2,NJPC,PARBATI3,RSTPSU1TO6,TANAKPUR,TEHRI,DADRI_RF
1,00:00-00:15,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.44,0,20,32.49,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,36.91,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,13.36,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,26.44,74.38

2,00:15-00:30,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.44,0,20,32.49,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,36.91,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,13.36,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,6.27,13.22,74.38

3,00:30-00:45,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.44,0,20,32.49,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,13.36,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,6.27,0,74.38

4,00:45-01:00,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.44,0,20,32.49,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,13.36,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,6.27,0,74.38

5,01:00-01:15,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.44,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,17.44,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,6.27,0,74.38

6,01:15-01:30,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.7,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,70.88,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,6.27,0,74.38

7,01:30-01:45,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.7,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,70.88,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,6.27,0,74.38

8,01:45-02:00,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.7,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,70.88,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,6.27,0,74.38

9,02:00-02:15,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.7,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,70.88,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,6.27,0,74.38

10,02:15-02:30,13.04,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.7,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,70.88,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,0,74.38

11,02:30-02:45,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.7,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,70.88,18.88,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,0,74.38

12,02:45-03:00,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.7,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,27.89,12.59,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,0,74.38

13,03:00-03:15,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,53.97,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,26.73,12.59,44.97,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,0,74.38

14,03:15-03:30,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,39.63,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,26.73,6.29,44.97,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,0,74.38

15,03:30-03:45,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,26.73,0,44.97,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,0,74.38

16,03:45-04:00,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,26.73,0,44.97,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,13.22,74.38

17,04:00-04:15,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,26.73,0,44.97,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,13.22,74.38

18,04:15-04:30,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,26.73,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,13.22,74.38

19,04:30-04:45,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,0,26.73,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,0,0,0,0,26.44,74.38

20,04:45-05:00,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,1.09,26.73,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,27.63,0,0,0,26.44,74.38

21,05:00-05:15,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,2.18,26.73,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,55.26,0,0,0,26.44,74.38

22,05:15-05:30,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,11.65,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,2.18,26.73,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,55.26,0,0,0,26.44,74.38

23,05:30-05:45,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,0,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,2.18,26.73,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,55.26,0,0,0,26.44,74.38

24,05:45-06:00,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,16.25,344.43,19.81,52.39,0,0,5.65,0,0,0,0,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,2.18,26.73,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,34.78,0,55.26,0,0,0,26.44,74.38

25,06:00-06:15,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,0,344.43,39.62,52.39,0,0,5.65,0,0,0,0,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,2.18,26.73,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,39.75,0,55.26,0,0,0,26.44,74.38

26,06:15-06:30,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,0,344.43,39.62,52.39,0,0,5.65,0,0,0,0,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,2.18,29.04,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,39.75,0,55.26,0,0,0,26.44,74.38

27,06:30-06:45,6.52,13.9,5.63,0,0,0,0,97.18,0,21.63,0,54.37,0,20,0,344.43,39.62,52.39,0,0,5.65,0,0,0,0,0,0,0,0,0,38.05,0,85.35,45.83,148.3,0,0,124.53,130.75,418.77,0,514.51,10.41,0,2.18,70.88,0,44.87,27.67,0,0,0,0,69.94,0,0.74,3.18,0,0,0,0,0,112.04,39.75,0,55.26,0,0,0,26.44,74.38

