Column1,Time,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8128,GNA/NR/2025/07/01/2952,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/2236,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8230,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/8154,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,30.49,10.17,0,0,0,0,0,0,0,0,0,-0,49.09,6,134.99,12.66,8.52,6.72,12.99,15.02,32,115.46,81.81,0,0,39.02,8.33,0,0,10.17,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,28.26

2,00:15-00:30,0,32.51,10.83,0,0,0,0,0,0,0,0,0,-0,49.09,6,134.99,12.66,8.52,6.72,12.99,15.02,32,115.46,81.81,0,0,39.02,8.67,0,0,10.83,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,29.27

3,00:30-00:45,0,34.01,11.33,0,0,0,0,0,0,0,0,0,-0,49.09,6,134.99,12.66,8.52,6.72,12.99,15.02,32,115.46,81.81,0,0,39.02,9.33,0,0,11.33,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,29.78

4,00:45-01:00,0,33.49,11.17,0,0,0,0,0,0,0,0,0,-0,49.09,6,134.99,12.66,8.52,6.72,12.99,15.02,32,115.46,81.81,0,0,39.02,9,0,0,11.17,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,30.28

5,01:00-01:15,0,33,11,0,0,0,0,0,0,0,0,0,-0,49.09,14.25,134.99,12.66,8.52,6.54,12.99,15.02,32,115.46,81.81,0,0,39.02,8.67,0,0,11,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,30.28

6,01:15-01:30,0,34.01,11.33,0,0,0,0,0,0,0,0,0,-0,49.09,14.25,134.99,12.66,8.52,6.54,12.99,15.02,32,115.46,81.81,0,0,39.02,9,0,0,11.33,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,30.28

7,01:30-01:45,0,33.49,11.17,0,0,0,0,0,0,0,0,0,-0,49.09,14.25,134.99,12.66,8.52,6.54,12.99,15.02,32,115.46,81.81,0,0,39.02,9.33,0,0,11.17,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,29.78

8,01:45-02:00,0,33.49,11.17,0,0,0,0,0,0,0,0,0,-0,49.09,14.25,134.99,12.66,8.52,6.54,12.99,15.02,32,115.46,81.81,0,0,39.02,9,0,0,11.17,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,29.78

9,02:00-02:15,0,33,11,0,0,0,0,0,0,0,0,0,-0,49.09,26.5,134.99,12.66,8.52,6.34,12.99,12.71,26.5,115.46,81.81,0,0,39.02,8.67,0,0,11,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,29.27

10,02:15-02:30,0,31.99,10.67,0,0,0,0,0,0,0,0,0,-0,49.09,26.5,134.99,12.66,8.52,6.34,12.99,12.71,26.5,115.46,81.81,0,0,38.82,8,0,0,10.67,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.66,0,20.76,29.27

11,02:30-02:45,0,32.51,10.83,0,0,0,0,0,0,0,0,0,-0,49.09,26.5,134.99,12.66,8.52,6.34,12.99,12.71,26.5,115.46,81.81,0,0,34.01,8.67,0,0,10.83,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.36,0,20.76,29.27

12,02:45-03:00,0,33.49,11.17,0,0,0,0,0,0,0,0,0,-0,49.09,26.5,134.99,12.66,8.52,6.34,12.99,12.71,26.5,115.46,81.81,0,0,33.41,9.67,0,0,11.17,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.36,0,20.76,29.27

13,03:00-03:15,0,31.5,10.5,0,0,0,0,0,0,0,0,0,-0,0,26.5,134.99,12.66,8.52,6.16,12.99,12.71,26.5,115.46,81.81,0,0,32.61,9.67,0,0,10.5,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.28,0,20.76,29.27

14,03:15-03:30,0,30.49,10.17,0,0,0,0,0,0,0,0,0,-0,0,26.5,134.99,12.66,8.52,6.16,12.99,12.71,26.5,115.46,81.81,0,0,31.81,10,0,0,10.17,0,0,130.23,0,86.82,270.7,0,19.25,43.75,15.26,224.98,100.27,10.28,0,20.76,29.27

