Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/77719,NR/2025/27622/A/77583,NR/2025/28037/C,NR/2025/26777/A/77654,NR/2025/28038/C,NR/2025/26569/A/77964,NR/2025/27985/C,NR/2025/28067/C,NR/2025/27782/A/77991,NR/2025/27499/A/77994,NR/2025/26570/A/77965,NR/2025/28068/C,NR/2025/28076/C,NR/2025/27361/A/77716,SR/2025/17354/C,NR/2025/28071/C,NR/2025/28077/C,NR/2025/28082/C,NR/2025/27987/C,NR/2025/26564/A/77963,NR/2025/28083/C,NR/2025/28058/C,NR/2025/27168/A/77747,NR/2025/28005/C,NR/2025/27726/A/78000,NR/2025/27462/A/77586,NR/2025/28078/C,NR/2025/28073/C,NR/2025/27728/A/77999,NR/2025/27088/A/78015,NR/2025/28079/C,NR/2025/26861/A/77977,NR/2025/26860/A/77966,NR/2025/26975/A/78003,NR/2025/26445/A/78019,NR/2025/26561/A/77961,NR/2025/27727/A/77992,NR/2025/26952/A/77557,NR/2025/27162/A/78002,NR/2025/26889/A/77995,NR/2025/28035/C,NR/2025/26785/A/77595,NR/2025/27281/A/78070,NR/2025/26563/A/77962,NR/2025/28036/C,NR/2025/27157/A/77653,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,NR/2025/27360/A/77717,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/27242/A/77754,NR/2025/27724/A/77691,NR/2025/27359/A/77718,NR/2025/27393/A/77714,NR/2025/27167/A/77746,NR/2025/27725/A/78001,GNA/NR/2025/06/01/7782,NR/2025/26085/A/77593,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,SECI_Trader,BRPL,IEXL,PowerPulse,INSTINCT,BRPL,PowerPulse,MANIKARAN,APPCPL,APPCPL,HPXL,PowerPulse,APPCPL,NVVNL,BRPL,IEXL,NVVNL,NVVNL,APPCPL,IEXL,PowerPulse,APPCPL,INSTINCT,PTC,PXIL,APPCPL,IEXL,APPCPL,APPCPL,APPCPL,NVVNL,APPCPL,PowerPulse,BRPL,APPCPL,NVVNL,PowerPulse,APPCPL,PXIL,APPCPL,HPXL,PowerPulse,IEXL,MANIKARAN,PowerPulse,PowerPulse,KEIPL,APPCPL,PTC,NVVNL,PowerPulse,INSTINCT,NDMC,SIMHAPURI,MANIKARAN,PTC,BRPL,BAWANA_GAS,PUNJAB,GMRETL,DIAPL,BRPL,BRPL,PTC,APPCPL,APPCPL,ITCLH,KEIPL,DELHI,
,,NA,NA,NA,NA,NA,NA,NA,CSEB_State,Manipur_State,NA,JK_and_LADAKH_UT,NA,CSEB_State,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,GoHP_Rampur_STATE,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,NA,Manipur_State,NA,NA,NA,NA,CSEB_State,MSEB_State,NA,NA,CSEB_State,NA,NA,CSEB_State,NA,ODISHA_STATE,NA,NA,NA,NA,NA,MP_State,TELANGANA_State,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,GoHP_Chamera1_STATE,NA,CSEB_State,ANDHRA_PRADESH_STATE,CSEB_State,HIMACHAL_STATE,
,,APSEPL_FTG,TS1PL_BKN,TPSL_BKN2,APL_Raipur_TPP,JPL2,JPL2,APL_Raigarh_TPP,CSEB_Beneficiary,Manipur_Ben,TRN_ENERGY,O2Z,APL_Raigarh_TPP,CSEB_Beneficiary,SORANG_HEP,RIHAND3,BYPL,ILFS,Kameng,TRN_ENERGY,MBMP,MAHAN_ENERGEN,RKM_POWER,JPL2,GoHP_Rampur,MBMP,RKM_POWER,JSWEL_MSEB,RKM_POWER,SKS_Raigarh,RKM_POWER,ILFS,JPL2,COASTGEN,JPL2,Manipur_Ben,JPNIGRIE_JNSTPP,APL_Raipur_TPP,JPL2,MBMP,CSEB_Beneficiary,GRETAENERGY,MAHAN_ENERGEN,MBMP,CSEB_Beneficiary,MAHAN_ENERGEN,APL_Raigarh_TPP,CSEB_Beneficiary,DBPL,NBVL_OTCL,JHABUA_IPP,COASTGEN,SIMHAPURI,JIPL,SIMHAPURI,BLAPOWER_MP,NAVABHARAT,RIHAND2,BAWANA_GAS,BAWANA_GAS,GBHHPL,GBHHPL,RIHAND1,DADRT2,GoHP_Chamera1,SKS_Raigarh,CSPDCL,ITCWIND,CSPDCL,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,MES_Delhi,TPDDL,BRPL,BRPL,TPDDL,BYPL,BYPL,NDMC,BYPL,TPDDL,BYPL,TPDDL,BRPL,TANGEDCO,BRPL,TPDDL,NDMC,NDMC,TPDDL,NDMC,BRPL,BRPL,BRPL,NDMC,MES_Delhi,NDMC,NDMC,NDMC,BRPL,NDMC,BRPL,BRPL,BYPL,TPDDL,TPDDL,NDMC,BRPL,BYPL,BYPL,TPDDL,NDMC,BYPL,TPDDL,TPDDL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,HARYANA,PUNJAB,BRPL,DIAPL,BRPL,BRPL,BRPL,NDMC,BRPL,ITCLH,BRPL,TPDDL,
,,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,North-North,North-West-South,South-West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-West-North,West-North,South-West-North,South-West-North,East-North,South-East-North,West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,South-West-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,135.13,0,144.78,0,0,8.77,8.69,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,135.13,74.32,27.03,96.52,144.78,26.32,0,55.92,5.79,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,32,32,0,10.62,33.78,111,16.89,8.77,11.89,0.68,11.9,11.82,2175.41

2,00:15-00:30,0,0,0,0,135.13,0,144.78,0,0,8.77,8.69,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,135.13,74.32,27.03,96.52,144.78,26.32,0,55.92,5.79,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,32,32,0,10.62,33.78,111,16.89,8.77,11.89,0.68,11.9,11.82,2175.41

3,00:30-00:45,0,0,0,0,135.13,0,144.78,0,0,8.77,8.69,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,135.13,74.32,27.03,96.52,144.78,26.32,0,55.92,5.79,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,30,30,0,10.62,33.78,111,16.89,8.77,11.89,0.68,11.9,11.82,2171.41

4,00:45-01:00,0,0,0,0,135.13,0,144.78,0,0,8.77,8.69,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,135.13,74.32,27.03,96.52,144.78,26.32,0,55.92,5.79,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,30,30,0,10.62,33.78,111,16.89,8.77,11.89,0.68,11.9,11.82,2171.41

5,01:00-01:15,0,0,0,0,135.13,0,144.78,0,0,8.77,8.69,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,135.13,74.32,27.03,96.52,144.78,26.32,0,55.92,5.79,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.68,11.9,11.73,2164.7199999999993

6,01:15-01:30,0,0,0,0,135.13,0,144.78,0,0,8.77,8.69,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,135.13,74.32,27.03,96.52,144.78,26.32,0,55.92,5.79,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.68,11.9,11.73,2164.7199999999993

7,01:30-01:45,0,0,0,0,135.13,0,144.78,0,0,8.77,8.69,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,135.13,74.32,27.03,96.52,144.78,26.32,0,55.92,5.79,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.68,11.9,11.73,2164.7199999999993

8,01:45-02:00,0,0,0,0,135.13,0,144.78,0,0,8.77,8.69,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,135.13,74.32,27.03,96.52,144.78,26.32,0,55.92,5.79,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.68,11.9,11.73,2164.7199999999993

9,02:00-02:15,0,0,0,0,135.13,0,144.78,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,27.03,96.52,144.78,26.32,0,55.92,0,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.63,11.9,11.64,2150.1

10,02:15-02:30,0,0,0,0,135.13,0,144.78,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,27.03,96.52,144.78,26.32,0,55.92,0,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.63,11.9,11.64,2150.1

11,02:30-02:45,0,0,0,0,135.13,0,144.78,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,27.03,96.52,144.78,26.32,0,55.92,0,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.63,11.9,11.64,2150.1

12,02:45-03:00,0,0,0,0,135.13,0,144.78,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,27.03,96.52,144.78,26.32,0,55.92,0,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.63,11.9,11.64,2150.1

13,03:00-03:15,0,0,0,0,135.13,0,144.78,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.53,11.9,11.54,2128.66

14,03:15-03:30,0,0,0,0,135.13,0,144.78,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.53,11.9,11.54,2128.66

15,03:30-03:45,0,0,0,0,135.13,0,144.78,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.53,11.9,11.54,2128.66

16,03:45-04:00,0,0,0,0,135.13,0,144.78,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,144.78,0,217.07,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.7,26.7,0,10.62,33.78,111,16.89,8.77,11.89,0.53,11.9,11.54,2128.66

17,04:00-04:15,0,0,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.94,26.94,0,10.62,33.78,111,16.89,8.77,11.89,0.53,11.9,11.36,1622.3300000000004

18,04:15-04:30,0,0,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.94,26.94,0,10.62,33.78,111,16.89,8.77,11.89,0.53,11.9,11.36,1622.3300000000004

19,04:30-04:45,0,0,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.94,26.94,0,10.62,33.78,111,16.89,8.77,11.89,0.53,11.9,11.36,1622.3300000000004

20,04:45-05:00,0,0,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.94,26.94,0,10.62,33.78,111,16.89,8.77,11.89,0.53,11.9,11.36,1622.3300000000004

21,05:00-05:15,0,0,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.94,26.94,0,10.62,33.78,111,16.89,8.77,11.89,0.63,11.9,11.27,1622.3400000000006

22,05:15-05:30,0,0,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.94,26.94,0,10.62,33.78,111,16.89,8.77,11.89,0.63,11.9,11.27,1622.3400000000006

23,05:30-05:45,0,0,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.94,26.94,0,10.62,33.78,111,16.89,8.77,11.89,0.63,11.9,11.27,1622.3400000000006

24,05:45-06:00,0,0,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,38.61,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.94,26.94,0,9.65,33.78,111,16.89,8.77,11.89,0.63,11.9,11.27,1621.3700000000008

25,06:00-06:15,0.61,1,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,8.77,11.89,0.68,11.9,11.18,1410.5900000000006

26,06:15-06:30,1.29,4,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,8.77,11.89,0.68,11.9,11.18,1414.2700000000007

27,06:30-06:45,4.31,7,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,8.77,11.89,0.68,11.9,11.18,1420.2900000000006

28,06:45-07:00,7.19,14,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,8.77,11.89,0.68,11.9,11.18,1430.1700000000005

29,07:00-07:15,10.81,25,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,8.77,11.89,0.87,11.9,10.99,1433.2000000000003

