Block,Time,BSIUL,NAPP,UNCHAHAR4,JHAJJAR,URI,KOTESHWR,RIHAND2,SINGRAULI_HYDRO,AURY_LF,ANTA_CRF,KOLDAM,DHAULIGNGA,AURY_CRF,DADRI_RF,PARBATI3,ANTA_GF,KISHANGANGA,DADRI_GF,DADRI_LF,ANTA_LF,AURY_RF,SEWA2,SALAL,UNCHAHAR1,DULHASTI,ANTA_RF,AURY_GF,DADRI_CRF,TANAKPUR,RIHAND1,RAPPC,DADRT2,URI2,CHAMERA2,NJPC,RAPPB,CHAMERA3,UNCHAHAR2,CHAMERA1,KHSTPP-II,TALA,BRBCL,KUDGI,RAMPUR,TEHRI,UNCHAHAR3,RIHAND3,KHSTPP-I,SINGRAULI,FSTPP I & II,SASAN,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.032235,37.811278,0.078408,455.381140,45.952896,7.973913,115.763120,1.015406,0.000000,0.000000,2.594839,37.147370,0.000000,0.000000,32.408535,0.000000,2.114555,0.000000,0.000000,0.000000,0.000000,16.058021,74.237856,9.756154,50.323618,0.000000,0.000000,0.000000,11.780076,90.333760,53.824225,179.446965,33.199415,40.524901,154.897106,0.000000,29.595238,33.819202,41.294880,141.580454,26.182464,12.765984,33.88,1.710148,37.301896,12.380053,121.285842,26.463579,137.456000,20.066640,397.485000,1.348163,0,0,0,0,0

2,00:15-00:30,19.032235,37.811278,0.078408,422.506929,45.952896,7.973913,115.763120,1.015406,0.000000,0.000000,2.594839,37.147370,0.000000,0.000000,32.408535,0.000000,2.114555,0.000000,0.000000,0.000000,0.000000,16.058021,74.237856,9.699360,50.323618,0.000000,0.000000,0.000000,11.780076,90.333760,53.824225,179.446965,33.199415,40.524901,154.897106,0.000000,29.595238,41.097635,41.294880,141.580454,26.182464,12.765984,33.88,1.710148,37.301896,12.380053,121.285842,34.666984,137.456000,20.066640,397.485000,1.348163,0,0,0,0,0

3,00:30-00:45,19.032235,37.811278,0.078408,422.506929,45.952896,7.973913,115.763120,1.015406,0.000000,0.000000,2.594839,37.147370,0.000000,0.000000,32.408535,0.000000,2.114555,0.000000,0.000000,0.000000,0.000000,16.058021,74.237856,9.699360,50.323618,0.000000,0.000000,0.000000,11.780076,90.333760,53.824225,179.446965,33.199415,40.524901,154.897106,0.000000,29.595238,41.672400,41.294880,141.580454,26.182464,12.765984,33.88,1.710148,28.041636,12.380053,121.285842,34.666984,137.456000,20.066640,397.485000,1.348163,0,0,0,0,0

4,00:45-01:00,19.032235,37.811278,0.078408,422.506929,45.952896,7.973913,115.763120,1.015406,0.000000,0.000000,2.594839,37.147370,0.000000,0.000000,32.408535,0.000000,2.114555,0.000000,0.000000,0.000000,0.000000,16.058021,74.237856,9.699360,50.323618,0.000000,0.000000,0.000000,11.780076,90.333760,53.824225,179.446965,33.199415,40.524901,154.897106,0.000000,29.595238,41.672400,41.294880,141.580454,26.182464,12.765984,33.88,1.710148,28.041636,12.380053,121.285842,34.666984,137.456000,20.066640,397.485000,1.348163,0,0,0,0,0

5,01:00-01:15,12.688157,37.811278,0.078408,422.506929,45.952896,7.973913,115.763120,1.015406,0.000000,0.000000,2.594839,37.147370,0.000000,0.000000,32.408535,0.000000,2.114555,0.000000,0.000000,0.000000,0.000000,16.058021,74.237856,9.699360,50.323618,0.000000,0.000000,0.000000,11.780076,90.333760,53.824225,182.665857,33.199415,40.524901,154.897106,0.000000,29.595238,41.672400,41.294880,141.580454,26.182464,12.765984,33.88,1.710148,28.041636,13.871886,121.285842,34.666984,137.456000,20.066640,397.485000,1.348163,0,0,0,0,0

