Column1,Block,NR/2025/32098/C,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/91020,NR/2025/31136/A/91021,NR/2025/31137/A/91022,NR/2025/31137/A/91023,NR/2025/31138/A/91026,NR/2025/31138/A/91029,NR/2025/31347/A/90537,NR/2025/29985/A/90988,NR/2025/31992/C,NR/2025/31979/C,NR/2025/30067/A/91058,NR/2025/27973/A/91041,NR/2025/30121/A/90543,NR/2025/29167/A/90611,NR/2025/29439/A/90695,NR/2025/31420/A/90802,NR/2025/31419/A/90803,NR/2025/30082/A/91118,NR/2025/27975/A/91042,NR/2025/30083/A/91078,NR/2025/30217/A/91069,NR/2025/30105/A/91070,NR/2025/27965/A/91039,NR/2025/27966/A/91040,NR/2025/30084/A/91074,NR/2025/29910/A/91086,NR/2025/29992/A/90643,NR/2025/27978/A/91127,NR/2025/29915/A/90609,NR/2025/31780/A/90986,NR/2025/30086/A/91072,NR/2025/29628/A/91091,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,NR/2025/28728/A/91009,NR/30092023/26122029/SH-06,NR/2025/32040/C,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/3109,NR/2025/31978/C,NR/2025/29353/A/91054,NR/2025/30101/A/91123,NR/2025/32095/C,NR/2025/32093/C,NR/2025/31870/A/90949,NR/2025/32094/C,NR/2025/29440/A/90522,NR/2025/32007/C,NR/2025/32096/C,NR/2025/32097/C,NR/2025/32071/C,NR/2025/32072/C,NR/2025/32055/C,NR/2025/32090/C,NR/2025/32043/C,NR/2025/32086/C,NR/2025/32044/C,NR/2025/30191/A/90540,NR/2025/32091/C,NR/2025/32092/C,NR/2025/32092/C/Alternate/1,NR/2025/29352/A/91056,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/16/7255,Total
,,MES_Delhi,SECI_Trader,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,IEXL,BRPL,BYPL,IEXL,MANIKARAN,PowerPulse,IEXL,TPTCL,IVPL_Trader,GMRETL,GMRETL,HPXL,PowerPulse,APPCPL,APPCPL,APPCPL,PowerPulse,PowerPulse,APPCPL,APPCPL,BYPL,NVVNL,TPTCL,BRPL,APPCPL,APPCPL,MANIKARAN,PowerPulse,PTC,PowerPulse,BAWANA_GAS,PowerPulse,PUNJAB,PowerPulse,APPCPL,PowerPulse,APPCPL,IEXL,PTC,NVVNL,APPCPL,APPCPL,DIAPL,APPCPL,ITCLH,HPXL,APPCPL,APPCPL,APPCPL,APPCPL,ITCLH,NVVNL,PowerPulse,NVVNL,PowerPulse,IEXL,NVVNL,NVVNL,NVVNL,PTC,NDMC,DELHI,PowerPulse,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KERALA_State,TAMILNADU_State,NA,NA,TAMILNADU_State,MSEB_State,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KERALA_State,KERALA_State,NA,UTTARPRADESH_STATE,NA,NA,MSEB_State,MSEB_State,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,GOA_State,NA,GOA_State,NA,GoHP_NJPC_STATE,MP_State,NA,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,MSEB_State,KERALA_State,ANDHRA_PRADESH_STATE,NA,NA,MP_State,NA,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,HIMACHAL_STATE,NA,
,,NTPCREL_PSS2_KPS2_S,APSEPL_FTG,TCSPL_BKN2,TESPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TPSL_BKN2,TS1PL_BKN,KSEB,PCBLTNLTD_UNIT2,MBMP,APL_Raigarh_TPP,PCBLTNLTD_UNIT2,TPC_MSEB,TPC_MSEB,JNEPL_BKN2,JNEPL_BKN2,SKS_Raigarh,APL_Raigarh_TPP,SKS_Raigarh,TRN_ENERGY,JIPL,MAHAN_ENERGEN,MAHAN_ENERGEN,RKM_POWER,KSEB,KSEB,JPNIGRIE_JNSTPP,PPGCL,DADRT2,RKM_POWER,AEML,AEML,APL_Raigarh_TPP,MEENAKSHI,APL_Raipur_TPP,BAWANA_GAS,APL_Raipur_TPP,BAWANA_GAS,APL_Raipur_TPP,GOA_Beneficiary,APL_Raipur_TPP,GOA_Beneficiary,IND_BHARAT,GoHP_NJPC,JP_BINA,JIPL,SKS_Raigarh,GBHHPL,RKM_POWER,ITCWIND,SKS_Raigarh,TRN_ENERGY,RKM_POWER,AEML,KSEB,ITCWIND,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,JP_BINA,APL_Raigarh_TPP,IND_BHARAT,SORANG_HEP,Kameng,Kameng,GoHP_Chamera1,JPL2,CHANJUII,MAHAN_ENERGEN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,TPDDL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,BRPL,BYPL,MES_Delhi,BRPL,TPDDL,MES_Delhi,BYPL,BYPL,BLKMH,DTCP,BRPL,TPDDL,NDMC,NDMC,NDMC,TPDDL,TPDDL,NDMC,BYPL,BYPL,TPDDL,BRPL,BRPL,NDMC,BYPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,NDMC,DIAPL,NDMC,ITCLH,BRPL,NDMC,NDMC,BYPL,BYPL,ITCLH,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,BRPL,NDMC,TPDDL,BRPL,
,,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,South-East-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,East-North,North-North,West-North,East-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,East-North,North-North,North East-East-North,North East-East-West-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,25.07,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,96.11,26.21,105.72,20.73,134.79,49.02,0,32,81.69,32,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.91,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,2097.1000000000004

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,25.07,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,96.11,26.21,105.72,20.73,134.79,49.02,0,32,81.69,32,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.91,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,2097.1000000000004

