Block,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/L_NR_2019_05,NR/01102023/22052037/LT-59,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01012024/01012024/SJVN010124NR1331,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01012024/31012024/52,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01012024/01012024/SJVN010124NR1332,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01012024/15012024/IEX_231227_05966,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/15012024/IEX_231227_05965,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/16072048/L_NR_2022_08,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01012024/01012024/HPX-TAMCTG-311223-05586,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2022_09,NR/01012024/31012024/HP-27,NR/01102023/31052040/LT-31,NR/01012024/31012024/HP-28,NR/01102023/30042040/GNA_LT_35,NR/01012024/31012024/HP-26,WR/01102023/24112044/L_NR_2020_07,NR/01102023/23072042/L_NR_2012_04,NR/01012024/15012024/HPX-TAMDLY-271223-05546,L_NR_2019_19,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01102023/19072037/LT-05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31032024/ ChanjuII
1,00:00-00:15,20.24,40.07,0,0,0,0,1.150000,1.570000,0,0.940000,48.200000,60.74,0,0,0,0,30.370000,0.000000,0.000000,13.2,0,0,11.570000,48.200000,0,5.780000,8.190000,96.400000,23.140000,13.95,0.000000,0.000000,30.370000,53.020000,40.07,57.410000,0.000000,24.570000,0.000000,152.770000,20.25,149.110000,48.200000,0,128.210000,0.000000,0,0,6.750000,117.610000,0,18.320000,1.740000

2,00:15-00:30,20.14,39.51,0,0,0,0,1.150000,1.570000,0,0.940000,48.200000,60.47,0,0,0,0,30.370000,0.000000,0.000000,12.84,0,0,11.570000,48.200000,0,5.780000,8.190000,96.400000,23.140000,12.47,0.000000,0.000000,30.370000,53.020000,39.51,57.410000,0.000000,24.570000,0.000000,152.770000,20.16,149.110000,48.200000,0,128.210000,0.000000,0,0,6.750000,71.720000,0,18.320000,1.740000

3,00:30-00:45,19.44,38.94,0,0,0,0,1.150000,1.570000,0,0.940000,48.200000,58.35,0,0,0,0,30.370000,0.000000,0.000000,12.7,0,0,11.570000,48.200000,0,5.780000,8.190000,96.400000,0.000000,11.76,0.000000,0.000000,30.370000,53.020000,38.94,57.410000,0.000000,24.570000,0.000000,152.770000,19.45,149.110000,48.200000,0,128.210000,0.000000,0,0,6.750000,71.720000,0,18.320000,1.740000

4,00:45-01:00,18.96,38.37,0,0,0,0,1.150000,1.570000,0,0.940000,48.200000,56.89,0,0,0,0,30.370000,0.000000,0.000000,12.56,0,0,11.570000,48.200000,0,5.780000,8.190000,96.400000,0.000000,11.38,0.000000,0.000000,30.370000,53.020000,38.37,57.410000,0.000000,24.570000,0.000000,152.770000,18.96,149.110000,48.200000,0,128.210000,0.000000,0,0,6.750000,71.720000,0,18.320000,1.740000

5,01:00-01:15,18.91,37.81,0,0,0,0,1.070000,1.570000,0,0.770000,48.200000,56.71,0,0,0,0,30.370000,0.000000,0.000000,12.71,0,0,11.570000,48.200000,0,5.780000,8.190000,96.400000,0.000000,17.39,0.000000,0.000000,30.370000,53.020000,37.81,57.410000,0.000000,24.570000,0.000000,152.770000,18.9,149.110000,48.200000,0,128.210000,0.000000,0,0,6.750000,71.720000,0,18.320000,1.740000

