Block,Time,DADRT2,RAPPC,NAPP,SALAL,URI,RAMPUR,RAPPB,NJPC,DADRI_RF,ANTA_GF,KOLDAM,UNCHAHAR4,ANTA_RF,SEWA2,DADRI_LF,PARBATI3,JHAJJAR,TANAKPUR,AURY_GF,UNCHAHAR2,AURY_LF,CHAMERA1,RIHAND1,RIHAND3,CHAMERA2,ANTA_LF,DHAULIGNGA,TANDA2,KISHANGANGA,DADRI_CRF,TEHRI,ANTA_CRF,CHAMERA3,RIHAND2,DULHASTI,KOTESHWR,DADRI_GF,URI2,AURY_RF,SINGRAULI_HYDRO,UNCHAHAR1,SINGRAULI,BSIUL,AURY_CRF,UNCHAHAR3,FSTPP I & II,BRBCL,KHSTPP-II,KHSTPP-I,SASAN,TALA,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,666.313914,24.746794,38.442041,83.425558,47.128435,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,11.931132,0.000000,41.126875,0.000000,40.892067,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,17.219110,0.000000,24.014080,0.000000,1.039356,19.283815,135.158562,6.358497,0.000000,25.603675,17.620869,19.403955,95.409468,36.512507,406.244036,15.688134,58.21,0,0,0,0,0

2,00:15-00:30,666.313914,24.746794,38.442041,83.425558,47.128435,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,11.931132,0.000000,41.126875,0.000000,40.892067,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,17.219110,0.000000,24.014080,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,18.106134,95.409468,36.512507,406.290654,15.688134,58.21,0,0,0,0,0

3,00:30-00:45,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,11.931132,0.000000,41.126875,0.000000,40.892067,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,24.014080,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,19.334141,95.409468,35.334684,406.290654,15.688134,58.21,0,0,0,0,0

4,00:45-01:00,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,11.931132,0.000000,41.126875,0.000000,40.892067,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,24.014080,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,19.403955,95.409468,35.334684,406.290654,15.688134,48.51,0,0,0,0,0

5,01:00-01:15,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,11.931132,0.000000,41.126875,0.000000,36.789984,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,24.014080,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,18.314267,95.409468,36.931649,406.290654,15.688134,38.81,0,0,0,0,0

6,01:15-01:30,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,12.303979,0.000000,41.126875,0.000000,36.789984,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,24.014080,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,17.330812,95.409468,37.101418,406.290654,15.688134,28.14,0,0,0,0,0

7,01:30-01:45,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,12.303979,0.000000,41.126875,0.000000,36.789984,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,9.788348,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,15.634988,95.409468,37.101418,406.290654,15.688134,26.20,0,0,0,0,0

8,01:45-02:00,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,12.303979,0.000000,41.126875,0.000000,36.789984,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,9.788348,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,14.304178,95.409468,37.101418,406.290654,15.688134,25.23,0,0,0,0,0

9,02:00-02:15,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,12.303979,0.000000,41.126875,0.000000,36.789984,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,9.788348,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,15.887914,95.409468,37.667131,406.290654,15.688134,24.26,0,0,0,0,0

10,02:15-02:30,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,12.303979,0.000000,41.126875,0.000000,36.789984,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,44.008272,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,9.788348,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,16.517555,95.409468,37.690330,406.290654,15.688134,23.28,0,0,0,0,0

11,02:30-02:45,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,12.303979,0.000000,41.126875,0.000000,36.789984,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,36.673560,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,9.788348,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,16.052967,95.409468,38.521833,406.290654,15.688134,22.31,0,0,0,0,0

12,02:45-03:00,666.313914,24.746794,38.442041,83.425558,6.426605,0.000000,0.000000,147.004704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.686227,12.303979,0.000000,41.126875,0.000000,27.209259,89.258400,119.980389,38.332718,0.000000,26.529828,0.000000,0.000000,0.000000,29.338848,0.000000,28.196736,114.604875,47.963347,8.609555,0.000000,9.788348,0.000000,1.039356,19.389447,135.158562,6.358497,0.000000,25.603675,17.620869,19.403955,95.409468,38.573697,406.290654,15.688134,20.37,0,0,0,0,0

