Block,Time,BRBCL,KGSU3AND4,KHSTPP-II,KKNPPU2,MAPS,RIHAND3,TALA,TANAKPUR,VALLURNTECL,BSIUL,KGSU1AND2,PARBATI3,RSTPSU1TO6,TEHRI,TelanganaSTPP,UNCHAHAR4,ANTA_GF,AURY_CRF,DADRI_CRF,CHAMERA1,DHAULIGNGA,KOTESHWR,KUDGI,NAPP,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,AURY_LF,DADRI_GF,DULHASTI,NLCEXP,NLCIIST2,RAMPUR,RIHAND1,RIHAND2,UNCHAHAR1,ANTA_CRF,DADRI_RF,DADRT2,JHAJJAR,KKNP,UNCHAHAR2,AURY_GF,CHAMERA2,KHSTPP-I,RAPPB,TALST2,UNCHAHAR3,URI,URI2,ANTA_LF,DADRI_LF,KOLDAM,NLCIIST1,NLCTS2EXP,NNTPP,NTPL,RAPPC,SALAL,SEWA2,SIMHST1,TANDA2,ANTA_RF,AURY_RF,CHAMERA3,FSTPP I & II,KISHANGANGA,NJPC,RSTPSU7,SASAN
1,00:00-00:15,15,0,98.87,0,0,124.32,10.11,13,0,0,0,0,0,46.69,0,0,0,0,0,14.05,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,85.62,341.57,474.31,0,42.4,0,20,44.92,0,0,0,50.79,31.9,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,113.64,0,410.62

2,00:15-00:30,15,0,98.87,0,0,124.32,10.21,13,0,0,0,0,0,46.69,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,85.62,341.57,474.31,0,42.4,0,20,44.92,0,0,0,50.79,31.9,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,85.23,0,410.62

3,00:30-00:45,15,0,98.87,0,0,124.32,10.26,13,0,0,0,0,0,46.69,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,85.62,341.57,474.31,0,42.4,0,20,44.92,0,0,0,16.56,31.9,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,85.23,0,410.62

4,00:45-01:00,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,31.13,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,13.25,31.9,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,85.23,0,410.62

5,01:00-01:15,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,31.13,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,13.25,31.9,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

6,01:15-01:30,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,31.13,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,13.25,31.9,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

7,01:30-01:45,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,31.13,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,13.25,10.76,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

8,01:45-02:00,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,31.13,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,13.25,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

9,02:00-02:15,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,31.13,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,13.25,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

10,02:15-02:30,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,31.13,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,13.25,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

11,02:30-02:45,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,15.56,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

12,02:45-03:00,15,0,98.87,0,0,124.32,10.35,13,0,0,0,0,0,15.56,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

13,03:00-03:15,15,0,98.87,0,0,124.32,10.35,11.53,0,0,0,0,0,15.56,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

14,03:15-03:30,15,0,98.87,0,0,124.32,10.35,11.53,0,0,0,0,0,15.56,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

15,03:30-03:45,15,0,98.87,0,0,124.32,10.53,11.53,0,0,0,0,0,15.56,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

16,03:45-04:00,15,0,98.87,0,0,124.32,10.53,11.53,0,0,0,0,0,15.56,0,0,0,0,0,11.85,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,9.68,20.8,0,85.23,0,410.62

17,04:00-04:15,15,0,98.87,0,0,124.32,10.53,11.53,0,0,0,0,0,15.56,0,0,0,0,0,11.85,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,9.46,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,85.23,0,410.62

18,04:15-04:30,15,0,98.87,0,0,124.32,10.44,11.53,0,0,0,0,0,15.56,0,0,0,0,0,11.85,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,15.99,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,85.23,0,410.62

19,04:30-04:45,15,0,98.87,0,0,124.32,10.44,11.53,0,0,0,0,0,15.44,0,0,0,0,0,14.05,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,85.23,0,410.62

20,04:45-05:00,15,0,98.87,0,0,124.32,10.29,11.53,0,0,0,3.18,0,14.93,0,0,0,0,0,14.05,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,85.23,0,410.62

21,05:00-05:15,15,0,98.87,0,0,124.32,10.14,11.53,0,1.1,0,3.56,0,29.87,0,0,0,0,0,14.05,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.96,19.36,20.8,0,85.23,0,410.62

22,05:15-05:30,15,0,98.87,0,0,124.32,10,11.53,0,6.52,0,3.56,0,29.87,0,0,0,0,0,14.05,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.42,19.36,20.8,0,85.23,0,410.62

23,05:30-05:45,15,0,98.87,0,0,124.32,9.64,11.53,0,6.52,0,6.36,0,29.87,0,0,0,0,0,14.05,27.48,17.75,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,28.35,68.42,19.36,20.8,0,85.23,0,410.62

24,05:45-06:00,15,0,98.87,0,0,124.32,9.31,11.53,0,6.52,0,49.01,0,29.87,0,0,0,0,0,14.05,27.48,26.62,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,13.25,9.42,0,0,0,0,0,0,0,51.78,63.92,0,0,0,28.35,68.42,19.36,20.8,0,116.95,0,410.62

25,06:00-06:15,15,0,98.87,0,0,124.32,9.03,12.68,0,19.56,0,49.01,0,29.87,0,0,0,0,0,14.05,37.65,39.44,0,40.69,0,138,0,0,0,49.93,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,40.79,44.92,0,0,0,50.34,9.42,0,0,0,0,0,0,0,51.78,79.38,0,0,0,27.3,68.42,30.56,20.8,0,140.34,0,410.62

26,06:15-06:30,15,0,98.87,0,0,124.32,8.96,12.68,0,19.56,0,49.01,0,29.87,0,0,0,0,0,13.43,37.65,39.44,0,40.69,0,138,0,0,0,49.93,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,40.79,44.92,0,0,0,50.34,9.42,0,0,0,0,0,0,0,51.78,79.38,0,0,0,27.3,68.42,30.56,20.8,0,140.34,0,410.62

27,06:30-06:45,15,0,98.87,0,0,124.32,8.94,12.68,0,19.56,0,49.01,0,29.87,0,0,0,0,0,0,37.65,39.44,0,40.69,0,138,0,0,0,49.93,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,40.79,44.92,0,0,0,13.25,9.42,0,0,0,0,0,0,0,51.78,79.38,0,0,0,27.3,68.42,30.56,20.8,0,140.34,0,418.77

28,06:45-07:00,15,0,98.87,0,0,124.32,8.94,12.68,0,19.56,0,49.01,0,14.93,0,0,0,0,0,0,37.65,39.44,0,40.69,0,138,0,0,0,49.93,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,40.79,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,79.38,0,0,0,27.3,68.42,30.56,20.8,0,140.34,0,418.77

29,07:00-07:15,15,0,98.87,0,0,124.32,9.03,11.53,0,6.52,0,49.01,0,0,0,0,0,0,0,0,27.48,19.72,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,27.3,68.42,19.36,20.8,0,116.95,0,418.77

30,07:15-07:30,15,0,98.87,0,0,124.32,9.06,11.53,0,6.52,0,15.28,0,0,0,0,0,0,0,0,27.48,8.87,0,40.69,0,138,0,0,0,49.43,0,0,0,46,118.76,20.56,0,88.77,341.57,474.31,0,42.4,0,20,44.92,0,0,0,11.04,9.42,0,0,0,0,0,0,0,51.78,51.13,0,0,0,27.3,68.42,9.68,20.8,0,86.84,0,418.77

