Block,Time Block,DADRI_RF,DADRI_LF,BSIUL,CHAMERA2,DHAULIGNGA,DULHASTI,FSTPP I & II,KGSU1AND2,DADRT2,JHAJJAR,CHAMERA3,BRBCL,CHAMERA1,KHSTPP-II,KHSTPP-I,KKNPPU2,KOLDAM,KKNP,KISHANGANGA,KGSU3AND4,KUDGI,KOTESHWR,MAPS,NAPP,RAMPUR,NNTPP,PARBATI3,NLCIIST2,NJPC,NLCEXP,NLCTS2EXP,NTPL,NLCIIST1,RAPPC,RIHAND1,RAPPB,RSTPSU7,SASAN,SEWA2,SIMHST1,SALAL,RSTPSU1TO6,RIHAND3,RIHAND2,SINGRAULI,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TEHRI,UNCHAHAR1,TALST2,TALA,TANDA2,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR3,AURY_GF,AURY_CRF,ANTA_RF,DADRI_GF,ANTA_LF,DADRI_CRF,ANTA_GF,AURY_RF,ANTA_CRF,AURY_LF,URI,VALLURNTECL,UNCHAHAR4,URI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,12.56,42.58,38.9,34.89,13.77,0,586.35,361.07,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,32.48,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,10.36,0,36.229,65.21,17.66,0,9.34,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,40.92,0,0,34.71,0,0,0,0,0

2,00:15-00:30,0,0,12.56,42.58,38.9,34.89,13.77,0,586.35,361.07,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,32.48,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,10.36,0,36.229,65.21,17.66,0,9.34,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,40.92,0,0,34.71,0,0,0,0,0

3,00:30-00:45,0,0,12.56,42.58,38.9,34.89,13.77,0,582.18,331.52,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,32.48,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,10.36,0,36.229,65.21,17.66,0,9.34,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,35.08,0,0,34.71,0,0,0,0,0

4,00:45-01:00,0,0,12.56,42.58,38.9,34.89,13.77,0,582.18,254.48,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,32.48,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,10.36,0,36.229,65.21,17.66,0,9.34,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,35.08,0,0,34.71,0,0,0,0,0

5,01:00-01:15,0,0,12.56,42.58,38.9,34.89,13.77,0,524.78,154.06,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,32.48,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,10.36,0,36.229,65.21,17.66,0,9.48,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,35.08,0,0,34.71,0,0,0,0,0

6,01:15-01:30,0,0,12.56,42.58,38.9,34.89,12.2,0,476.64,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,32.48,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,10.36,0,36.229,65.21,17.66,0,9.48,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,35.08,0,0,34.71,0,0,0,0,0

7,01:30-01:45,0,0,12.56,42.58,38.9,34.89,12.2,0,476.64,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,9.13,0,36.229,65.21,17.66,0,9.48,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,40.92,0,0,21.34,0,0,0,0,0

8,01:45-02:00,0,0,12.56,42.58,38.9,34.89,12.2,0,476.64,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,9.13,0,36.229,65.21,17.66,0,9.48,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,40.92,0,0,21.34,0,0,0,0,0

9,02:00-02:15,0,0,12.56,42.58,38.9,34.89,12.2,0,476.64,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,9.13,0,36.229,65.21,17.66,0,9.48,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,35.08,0,0,34.71,0,0,0,0,0

10,02:15-02:30,0,0,12.56,42.58,38.9,34.89,12.2,0,447.75,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,7.27,0,36.229,65.21,17.66,0,9.48,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,35.08,0,0,34.71,0,0,0,0,0

11,02:30-02:45,0,0,12.56,42.58,38.9,34.89,12.2,0,476.64,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,7.27,0,36.229,65.21,17.66,0,9.48,0,0,0.79,22.81,0,0,0,0,0,0,0,0,0,0,35.08,0,0,34.71,0,0,0,0,0

12,02:45-03:00,0,0,12.56,42.58,38.9,34.89,12.2,0,495.89,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,37.21,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,11.15,0,73.84,0,122.87,117.19,112.51,7.27,0,30.45,65.21,15.44,0,9.48,0,0,0.79,18.86,0,0,0,0,0,0,0,0,0,0,35.08,0,0,34.71,0,0,0,0,0

13,03:00-03:15,0,0,12.56,42.58,38.9,34.89,12.2,0,512.26,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,10.36,0,30.45,65.21,15.44,0,9.48,0,0,0.79,18.86,0,0,0,0,0,0,0,0,0,0,40.92,0,0,34.71,0,0,0,0,0

14,03:15-03:30,0,0,12.56,42.58,38.9,34.89,12.2,0,489.15,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,10.36,0,30.45,65.21,15.44,0,9.48,0,0,0.79,18.86,0,0,0,0,0,0,0,0,0,0,40.92,0,0,34.71,0,0,0,0,0

15,03:30-03:45,0,0,12.56,42.58,38.9,34.89,12.2,0,469.9,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,6.77,0,160.9,0,0,0,0,58,64.39,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,10.36,0,30.45,65.21,15.44,0,9.48,0,0,0.79,18.86,0,0,0,0,0,0,0,0,0,0,35.08,0,0,19.91,0,0,0,0,0

16,03:45-04:00,0,0,12.56,42.58,38.9,34.89,12.2,0,447.75,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,20.3,0,160.9,0,0,0,0,58,64.39,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,10.36,0,30.45,65.21,15.44,0,9.48,0,0,0.79,18.86,0,0,0,0,0,0,0,0,0,0,35.08,0,0,19.91,0,0,0,0,0

17,04:00-04:15,0,0,12.56,42.58,38.9,34.89,10.04,0,418.86,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,20.3,0,160.9,0,0,0,0,58,64.39,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,12.33,0,30.45,65.21,15.44,0,9.48,0,0,0.79,18.86,0,0,0,0,0,0,0,0,0,0,35.08,0,0,22.77,0,0,0,0,0

18,04:15-04:30,0,0,12.56,42.58,38.9,34.89,9.9,0,403.46,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,20.3,0,160.9,0,0,0,0,58,64.39,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,12.33,0,30.45,65.21,15.44,0,9.48,0,0,0.79,18.86,0,0,0,0,0,0,0,0,0,0,35.08,0,0,22.77,0,0,0,0,0

19,04:30-04:45,0,0,12.56,42.58,38.9,34.89,9.9,0,363.34,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,20.3,0,160.9,0,0,0,0,58,50.13,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,11.34,0,23.15,65.21,11.79,0,9.48,0,0,0.79,14.44,0,0,0,0,0,0,0,0,0,0,35.61,0,0,22.77,0,0,0,0,0

20,04:45-05:00,0,0,12.56,42.58,38.9,34.89,9.9,0,363.34,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,20.3,0,160.9,0,0,0,0,58,50.13,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,11.34,0,23.15,65.21,11.79,0,9.48,0,0,0.79,14.44,0,0,0,0,0,0,0,0,0,0,35.61,0,0,22.77,0,0,0,0,0

21,05:00-05:15,0,0,12.56,42.58,38.9,34.89,9.9,0,363.34,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,50.13,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,11.34,0,23.15,65.21,11.79,0,9.28,0,0,0.79,14.44,0,0,0,0,0,0,0,0,0,0,35.61,0,0,22.77,0,0,0,0,0

22,05:15-05:30,0,0,12.56,42.58,38.9,34.89,9.9,0,363.34,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,29.77,0,160.9,0,0,0,0,58,50.13,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,11.34,0,23.15,65.21,11.79,0,9.12,0,0,0.79,14.44,0,0,0,0,0,0,0,0,0,0,35.61,0,0,22.77,0,0,0,0,0

23,05:30-05:45,0,0,12.56,42.58,38.9,34.89,9.9,0,363.34,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,6.77,0,160.9,0,0,0,0,58,50.13,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,11.34,0,23.15,65.21,11.79,0,8.77,0,0,0.79,14.44,0,0,0,0,0,0,0,0,0,0,35.61,0,0,22.77,0,0,0,0,0

24,05:45-06:00,0,0,12.56,42.58,38.9,34.89,9.9,0,363.34,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,35.18,0,160.9,0,0,0,0,58,50.13,0,0,368.31,0,0,73.84,0,122.87,117.19,112.51,11.34,0,23.15,65.21,11.79,0,8.47,0,0,0.79,14.44,0,0,0,0,0,0,0,0,0,0,35.61,0,0,22.77,0,0,0,0,0

25,06:00-06:15,0,0,12.56,42.58,38.9,34.89,12.2,0,363.34,110.84,30.89,14.44,40.59,95.2,30.98,0,5.15,0,2.77,0,0,27.9,0,43.55,3.41,0,51.42,0,160.9,0,0,0,0,58,50.13,0,0,368.31,0,0,73.84,0,122.87,117.19,97.51,11.34,0,28.898,65.21,13.78,0,8.32,0,0,0.79,18.39,0,0,0,0,0,0,0,0,0,0,35.61,0,0,23.48,0,0,0,0,0

