Block,Time,SINGRAULI_HYDRO,ANTA_RF,DADRI_CRF,AURY_LF,PARBATI3,NAPP,UNCHAHAR3,DULHASTI,CHAMERA1,SALAL,UNCHAHAR1,TANDA2,UNCHAHAR2,CHAMERA3,ANTA_CRF,BSIUL,AURY_RF,JHAJJAR,NJPC,DADRI_RF,RIHAND1,KISHANGANGA,DADRI_LF,DHAULIGNGA,UNCHAHAR4,RAPPB,DADRI_GF,URI,SEWA2,URI2,AURY_CRF,RIHAND3,RAMPUR,SINGRAULI,KOLDAM,DADRT2,ANTA_LF,TEHRI,KOTESHWR,RAPPC,CHAMERA2,AURY_GF,ANTA_GF,TANAKPUR,RIHAND2,SASAN,TALA,KHSTPP-II,BRBCL,KHSTPP-I,KUDGI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
7,01:30-01:45,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,68.486188,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,131.886300,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,11.519294,114.132375,404.615574,0.000000,61.055048,16.534692,14.328746,61.84,1.864766,0,0,0,0,0

8,01:45-02:00,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,68.486188,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,0.000000,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,9.098126,0.000000,119.485727,0.000000,131.886300,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,11.519294,114.132375,404.615574,0.000000,61.055048,15.803147,14.328746,61.84,1.864766,0,0,0,0,0

9,02:00-02:15,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,68.486188,6.666780,0.000000,7.565346,0.000000,0.000000,6.300397,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,131.886300,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.817000,13.505849,14.328746,60.87,1.864766,0,0,0,0,0

10,02:15-02:30,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,6.300397,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,131.886300,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.817000,14.484167,14.328746,59.90,1.864766,0,0,0,0,0

11,02:30-02:45,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,2.125640,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,95.509450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,15.794171,14.174154,59.90,1.797132,0,0,0,0,0

12,02:45-03:00,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,95.509450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,16.312425,14.174154,59.90,1.797132,0,0,0,0,0

13,03:00-03:15,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,95.509450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,16.822106,14.174154,59.90,1.797132,0,0,0,0,0

14,03:15-03:30,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,95.509450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,16.930617,14.174154,59.90,1.797132,0,0,0,0,0

