Block,Time,BSIUL,DADRT2,JHAJJAR,KUDGI,NJPC,RIHAND3,RSTPSU1TO6,SASAN,TALA,TANAKPUR,AURY_RF,DADRI_CRF,CHAMERA3,DHAULIGNGA,NLCEXP,UNCHAHAR3,URI2,DADRI_GF,KHSTPP-II,KISHANGANGA,KOTESHWR,NAPP,NLCIIST1,RSTPSU7,SIMHST2,TANDA2,URI,FSTPP I & II,KKNP,NLCIIST2,SALAL,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR4,AURY_CRF,AURY_GF,CHAMERA2,MAPS,NLCTS2EXP,NTPL,RAPPB,TALST2,UNCHAHAR2,VALLURNTECL,ANTA_LF,ANTA_RF,DADRI_LF,DADRI_RF,KGSU1AND2,KGSU3AND4,KKNPPU2,NNTPP,RAPPC,RIHAND1,UNCHAHAR1,BRBCL,DULHASTI,KHSTPP-I,KOLDAM,PARBATI3,RIHAND2,SINGRAULI,ANTA_CRF,CHAMERA1,RAMPUR,SEWA2,SIMHST1,TEHRI,ANTA_GF,AURY_LF
1,00:00-00:15,19.56,686.07,413.81,0,167.1,127.6,0,393.75,9.88,6.92,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

2,00:15-00:30,19.56,686.07,413.81,0,167.1,127.6,0,393.75,9.88,6.92,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

3,00:30-00:45,19.56,686.07,413.81,0,167.1,127.6,0,393.75,9.88,10.76,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

4,00:45-01:00,19.56,686.07,413.81,0,167.1,127.6,0,393.75,9.88,6.92,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

5,01:00-01:15,19.56,686.07,413.81,0,167.1,127.6,0,393.75,10.02,6.92,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

6,01:15-01:30,19.56,686.07,413.81,0,167.1,127.6,0,393.75,10.02,10.76,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

7,01:30-01:45,19.56,686.07,413.81,0,167.1,127.6,0,393.75,10.29,6.92,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

8,01:45-02:00,19.56,686.07,413.81,0,167.1,127.6,0,393.75,10.29,6.92,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

9,02:00-02:15,13.04,686.07,413.81,0,167.1,127.6,0,393.75,10.29,10.76,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

10,02:15-02:30,13.04,686.07,413.81,0,167.1,127.6,0,393.75,10.29,6.92,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,38.64,45.1,0,0,0,2.61,32.01,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

11,02:30-02:45,13.04,686.07,413.81,0,167.1,127.6,0,393.75,10.29,7.55,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,38.64,45.1,0,0,0,2.61,39.19,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,17.37,0,66.29,0,0

12,02:45-03:00,13.04,686.07,413.81,0,167.1,127.6,0,393.75,10.29,10.76,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,38.64,45.1,0,0,0,2.61,39.19,14.3,0,0,83.67,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,11.72,0,66.29,0,0

13,03:00-03:15,13.04,686.07,413.81,0,167.1,127.6,0,393.75,10.29,7.55,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

14,03:15-03:30,13.04,686.07,413.81,0,167.1,127.6,0,393.75,10.29,7.55,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

15,03:30-03:45,13.04,686.07,413.81,0,167.1,127.6,0,326.25,10.29,10.76,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

16,03:45-04:00,13.04,686.07,413.81,0,167.1,127.6,0,326.25,10.29,6.92,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

17,04:00-04:15,13.04,686.07,413.81,0,167.1,127.6,0,326.25,10.29,8.96,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

18,04:15-04:30,13.04,686.07,413.81,0,167.1,127.6,0,326.25,10.29,12.81,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

19,04:30-04:45,13.04,686.07,413.81,0,167.1,127.6,0,326.25,7.64,8.96,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,7.03,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

20,04:45-05:00,13.04,686.07,413.81,0,167.1,127.6,0,326.25,7.5,8.96,77.33,0,32.08,40.4,0,27.05,24.38,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0.96,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,7.03,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

21,05:00-05:15,13.04,686.07,413.81,0,167.1,127.6,0,326.25,5.74,12.81,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,7.03,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

22,05:15-05:30,13.04,686.07,413.81,0,167.1,127.6,0,326.25,5.55,8.96,77.33,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,17.99,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

23,05:30-05:45,13.04,686.07,413.81,0,167.1,127.6,0,326.25,9.62,8.96,77.33,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

24,05:45-06:00,13.04,686.07,413.81,0,167.1,127.6,0,326.25,9.29,12.81,77.33,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,80.18,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,16.08,32.05,0,79.73,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,36.54,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

25,06:00-06:15,13.04,686.07,413.81,0,167.1,127.6,0,326.25,9.15,8.96,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,28.98,45.1,0,0,0,2.61,39.19,14.3,0,0,80.18,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.84,31.46,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,36.54,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

26,06:15-06:30,13.04,686.07,413.81,0,167.1,127.6,0,326.25,9.15,8.96,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,28.98,45.1,0,0,0,2.61,39.19,14.3,0,0,80.18,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.84,31.46,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,36.54,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

27,06:30-06:45,13.04,686.07,413.81,0,167.1,127.6,0,360,9.17,12.81,76.72,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,75.52,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.84,31.46,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,36.54,121.71,127.75,0,42.15,3.54,0,0,66.29,0,0

28,06:45-07:00,13.04,686.07,413.81,0,167.1,127.6,0,371.25,9.31,8.96,76.72,0,32.08,40.4,0,27.05,36.05,0,148.3,4.32,28.98,45.1,0,0,0,2.61,32.01,14.3,0,0,75.52,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.84,31.46,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,36.54,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

29,07:00-07:15,13.04,686.07,413.81,0,167.1,127.6,0,376.88,9.47,8.96,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,75.52,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.84,31.46,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,36.54,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

30,07:15-07:30,13.04,686.07,413.81,0,167.1,127.6,0,382.5,9.58,8.96,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,75.52,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.84,31.46,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,8.43,121.71,127.75,0,42.15,3.54,0,0,33.43,0,0

31,07:30-07:45,13.04,686.07,413.81,0,167.1,127.6,0,388.12,9.58,2.56,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,74.37,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.84,31.46,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,8.43,121.71,127.75,0,42.15,3.54,0,0,33.43,0,0

32,07:45-08:00,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.58,2.56,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,74.37,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.84,31.46,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,16.71,0,0

33,08:00-08:15,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.58,2.56,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,70.88,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,16.71,0,0

34,08:15-08:30,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.58,8.96,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,70.88,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,19.68,121.71,127.75,0,42.15,3.54,0,0,0,0,0

35,08:30-08:45,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.58,8.96,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,70.88,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

36,08:45-09:00,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.88,8.96,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,70.88,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

37,09:00-09:15,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.88,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,39.19,14.3,0,0,67.39,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

38,09:15-09:30,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.88,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,39.19,14.3,0,0,67.39,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

39,09:30-09:45,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.88,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,67.39,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

40,09:45-10:00,13.04,686.07,413.81,0,167.1,127.6,0,393.75,9.88,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,67.39,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,76.88,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

41,10:00-10:15,6.52,686.07,413.81,0,167.1,127.6,0,402.19,9.88,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,39.19,14.3,0,0,67.39,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.61,31.1,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

42,10:15-10:30,6.52,686.07,413.81,0,167.1,127.6,0,402.19,10.02,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,39.19,14.3,0,0,67.39,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.38,30.75,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

43,10:30-10:45,13.04,686.07,413.81,0,167.1,127.6,0,402.19,10.02,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,39.19,14.3,0,0,46.48,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.38,30.75,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,0,0,0

44,10:45-11:00,13.04,686.07,413.81,0,167.1,127.6,0,402.19,10.02,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,4.32,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,46.48,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.38,30.75,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,16.71,0,0

45,11:00-11:15,13.04,686.07,413.81,0,167.1,127.6,0,402.19,10.02,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,2.88,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,46.48,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.38,30.75,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,16.71,0,0

46,11:15-11:30,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.88,10.89,76.72,0,32.08,40.4,0,27.05,26.6,0,148.3,2.88,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,46.48,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.38,30.75,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,33.43,0,0

47,11:30-11:45,13.04,686.07,413.81,0,167.1,127.6,0,402.19,11.97,2.56,76.72,0,32.08,40.4,0,27.05,29.56,0,148.3,2.88,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,46.48,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.38,30.75,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

48,11:45-12:00,13.04,686.07,413.81,0,167.1,127.6,0,402.19,11.97,2.56,76.72,0,32.08,40.4,0,27.05,29.56,0,148.3,2.88,19.32,45.1,0,0,0,2.61,32.01,14.3,0,0,46.48,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.38,30.75,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

49,12:00-12:15,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.56,2.56,76.47,0,32.08,40.4,0,27.05,29.56,0,148.3,2.88,19.32,45.1,0,0,0,2.89,39.19,14.3,0,0,46.48,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.26,30.28,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,30.92,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

50,12:15-12:30,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.56,11.27,76.47,0,32.08,40.4,0,27.05,29.56,0,148.3,2.88,19.32,45.1,0,0,0,2.89,39.19,14.3,0,0,46.48,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.26,30.28,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,30.92,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

51,12:30-12:45,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.11,11.27,76.47,0,32.08,40.4,0,27.05,29.56,0,148.3,2.88,19.32,45.1,0,0,0,2.89,39.19,14.3,0,0,77.85,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.26,30.28,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,30.92,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

