Time,Block,NR/2024/18874/A/10912,NR/2024/18807/A/10896,NR/2024/18806/A/10667,NR/2024/18759/A/10986,NR/2024/18884/C,Total
,,DIAPL,DIAPL,IEXL,ITCLH,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,ANDHRA PRADESH,NA,
,,GBHHPL,GBHHPL,NSLSUGARALAND,ITCWIND,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DIAPL,DIAPL,MES (Delhi),ITCLH,MES (Delhi),
,,North-North,North-North,South-East-North,South-West-North,West-North,
1,00:00-00:15,1.930000,0.000000,9.650000,0.480000,0,12.06

2,00:15-00:30,1.930000,0.000000,9.650000,0.480000,0,12.06

3,00:30-00:45,1.930000,0.000000,9.650000,0.480000,0,12.06

4,00:45-01:00,1.930000,0.000000,9.650000,0.480000,0,12.06

5,01:00-01:15,1.930000,0.000000,9.650000,0.480000,0,12.06

6,01:15-01:30,1.930000,0.000000,9.650000,0.480000,0,12.06

7,01:30-01:45,1.930000,0.000000,9.650000,0.480000,0,12.06

8,01:45-02:00,1.930000,0.000000,9.650000,0.480000,0,12.06

9,02:00-02:15,1.930000,0.000000,9.650000,0.480000,0,12.06

10,02:15-02:30,1.930000,0.000000,9.650000,0.480000,0,12.06

11,02:30-02:45,1.930000,0.000000,9.650000,0.480000,0,12.06

12,02:45-03:00,1.930000,0.000000,9.650000,0.480000,0,12.06

13,03:00-03:15,1.930000,0.000000,9.650000,0.430000,0,12.01

14,03:15-03:30,1.930000,0.000000,9.650000,0.430000,0,12.01

15,03:30-03:45,1.930000,0.000000,9.650000,0.430000,0,12.01

16,03:45-04:00,1.930000,0.000000,9.650000,0.430000,0,12.01

17,04:00-04:15,1.930000,0.000000,9.650000,0.430000,0,12.01

18,04:15-04:30,1.930000,0.000000,9.650000,0.430000,0,12.01

19,04:30-04:45,1.930000,0.000000,9.650000,0.430000,0,12.01

20,04:45-05:00,1.930000,0.000000,9.650000,0.430000,0,12.01

21,05:00-05:15,1.930000,0.000000,9.650000,0.480000,0,12.06

22,05:15-05:30,1.930000,0.000000,9.650000,0.480000,0,12.06

23,05:30-05:45,1.930000,0.000000,9.650000,0.480000,0,12.06

24,05:45-06:00,1.930000,0.000000,9.650000,0.480000,0,12.06

25,06:00-06:15,1.930000,0.000000,9.650000,0.480000,0,12.06

26,06:15-06:30,1.930000,0.000000,9.650000,0.480000,0,12.06

27,06:30-06:45,1.930000,0.000000,9.650000,0.480000,0,12.06

28,06:45-07:00,1.930000,0.000000,9.650000,0.480000,0.35,12.41

29,07:00-07:15,1.930000,0.000000,9.650000,0.530000,0.89,13

30,07:15-07:30,1.930000,0.000000,9.650000,0.530000,1.31,13.42

31,07:30-07:45,1.930000,0.000000,9.650000,0.530000,1.65,13.76

32,07:45:08:00,1.930000,0.000000,9.650000,0.530000,1.75,13.86

33,08:00-08:15,1.930000,0.000000,9.650000,0.960000,2.29,14.83

34,08:15-08:30,1.930000,0.000000,9.650000,0.960000,2.58,15.12

35,08:30-08:45,1.930000,0.000000,9.650000,0.960000,3.92,16.46

36,08:45:09:00,1.930000,0.000000,9.650000,0.960000,4.39,16.93

37,09:00:09:15,1.930000,0.000000,9.650000,0.920000,4.94,17.44

