Block,Time,NJPC,KOTESHWR,AURY_CRF,CHAMERA2,URI,DADRI_RF,BSIUL,RAPPB,RAMPUR,AURY_LF,AURY_GF,NAPP,TANDA2,DHAULIGNGA,TANAKPUR,SINGRAULI_HYDRO,DADRI_GF,URI2,ANTA_CRF,UNCHAHAR4,RIHAND2,KOLDAM,ANTA_RF,DADRI_LF,RAPPC,ANTA_GF,RIHAND1,ANTA_LF,SALAL,TEHRI,CHAMERA1,DADRI_CRF,UNCHAHAR1,DADRT2,SINGRAULI,UNCHAHAR2,UNCHAHAR3,CHAMERA3,JHAJJAR,SEWA2,RIHAND3,PARBATI3,DULHASTI,AURY_RF,SASAN,KISHANGANGA,FSTPP I & II,BRBCL,KHSTPP-II,KUDGI,KHSTPP-I,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,154.929110,16.150508,0.000000,40.533274,45.962390,0.968200,12.690778,0.000000,1.698786,0.000000,0.000000,39.901881,1.348441,37.069087,11.782510,1.053942,0.000000,33.479576,0.000000,0.784242,115.787038,2.351873,1.281462,0.000000,53.835345,0.000000,90.352420,0.000000,76.840806,25.047006,40.807771,0.000000,16.493253,659.190353,137.484400,41.681010,21.328055,29.601353,636.969001,16.061339,121.310901,3.241524,50.334016,0.968200,405.453114,2.114992,13.796850,15.960777,142.061759,74.55,39.963423,18.502302,0,0,0,0,0

2,00:15-00:30,154.929110,16.150508,0.000000,40.533274,45.962390,0.968200,12.690778,0.000000,1.698786,0.000000,0.000000,39.901881,1.348441,37.069087,11.782510,1.053942,0.000000,33.479576,0.000000,0.784242,115.787038,2.351873,0.000000,0.000000,53.835345,0.000000,90.352424,0.000000,76.840806,25.047006,40.807771,0.000000,15.928149,659.190353,137.484400,41.681010,19.972611,29.601353,636.969001,16.061339,121.310901,3.241524,50.334016,0.968200,405.453114,2.114992,13.796850,13.089723,142.061759,74.55,39.963423,18.502302,0,0,0,0,0

3,00:30-00:45,154.929110,16.150508,0.000000,40.533274,45.962390,0.968200,12.690778,0.000000,1.698786,0.000000,0.000000,39.901881,1.348441,37.069087,11.782510,1.053942,0.000000,33.479576,0.000000,0.784242,115.787038,2.351873,0.000000,0.000000,53.835345,0.000000,90.352424,0.000000,76.840806,25.047006,40.807771,0.000000,15.928149,659.190353,137.484400,41.681010,19.972611,29.601353,636.969001,16.061339,121.310901,3.241524,50.334016,0.968200,405.453114,2.114992,13.796850,10.778086,142.061759,74.55,39.963423,18.502302,0,0,0,0,0

4,00:45-01:00,154.929110,16.150508,0.000000,40.533274,45.962390,0.968200,12.690778,0.000000,1.698786,0.000000,0.000000,39.901881,1.348441,37.069087,11.782510,1.053942,0.000000,33.479576,0.000000,0.784242,115.787038,2.351873,0.000000,0.000000,53.835345,0.000000,90.352424,0.000000,76.840806,25.047006,40.807771,0.000000,15.928149,659.190353,137.484400,41.681010,19.972611,29.601353,636.969001,16.061339,121.310901,3.241524,50.334016,0.968200,405.453114,2.114992,13.796850,9.137124,142.061759,74.55,39.963423,18.502302,0,0,0,0,0

5,01:00-01:15,154.929110,16.150508,0.000000,40.533274,44.893498,0.968200,12.690778,0.000000,1.698786,0.000000,0.000000,39.901881,1.348441,27.801816,7.441585,1.053942,0.000000,33.479576,0.000000,0.784242,115.787038,2.351873,0.000000,0.000000,53.835345,0.000000,90.352424,0.000000,76.840806,25.047006,40.807771,0.000000,15.928149,586.084279,137.484400,41.681010,19.972611,29.601353,636.969001,16.061339,121.310901,15.559312,50.334016,0.968200,405.453114,2.114992,13.796850,8.253946,142.061759,74.55,39.963423,18.502302,0,0,0,0,0

