Time,Block,WR/2024/21675/A/6697,NR/2024/18733/C,SR/2024/12062/C,WR/2024/21740/A/6743,WR/2024/21710/A/6738,NR/2024/18691/A/6739,NR/2024/18388/A/6484,NER/2024/2023/A/6693,Total
,,APPCPL,NVVNL,HPXL,MANIKARAN,MANIKARAN,MANIKARAN,ITCLH,APPCPL,Total

,,DELHI,NA,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,
,,BRPL,SOLAPUR_SOLAR,BYPL,BYPL,BRPL,BRPL,ITCWIND,BRPL,
,,GOA,DELHI,TAMIL NADU,MAHARASHTRA,GOA,HIMACHAL PRADESH,DELHI,MANIPUR,
,,GOA_Beneficiary,MES (Delhi),TANGEDCO,AEML,GOA_Beneficiary,HP,ITCLH,Manipur_Ben,
,,North-West,West-North,North-East-South,North-West,North-West,North-North,South-West-North,North-East-North East,
1,00:00-00:15,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

2,00:15-00:30,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

3,00:30-00:45,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

4,00:45-01:00,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

5,01:00-01:15,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

6,01:15-01:30,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

7,01:30-01:45,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

8,01:45-02:00,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

9,02:00-02:15,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

10,02:15-02:30,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

11,02:30-02:45,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

12,02:45-03:00,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

13,03:00-03:15,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

14,03:15-03:30,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

15,03:30-03:45,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

16,03:45-04:00,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

17,04:00-04:15,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

18,04:15-04:30,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

19,04:30-04:45,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

20,04:45-05:00,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

21,05:00-05:15,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

22,05:15-05:30,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

23,05:30-05:45,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

24,05:45-06:00,0.000000,0,100.00,50.000000,0.000000,0.000000,0.390000,25.000000,175.39

25,06:00-06:15,0.000000,0,0.00,50.000000,0.000000,162.260000,0.530000,25.000000,237.79

26,06:15-06:30,0.000000,0,0.00,50.000000,0.000000,162.260000,0.530000,25.000000,237.79

27,06:30-06:45,0.000000,0,0.00,50.000000,0.000000,162.260000,0.530000,25.000000,237.79

28,06:45-07:00,0.000000,0,0.00,50.000000,0.000000,162.260000,0.530000,25.000000,237.79

29,07:00-07:15,0.000000,0.28,0.00,50.000000,0.000000,162.260000,0.580000,25.000000,238.12

30,07:15-07:30,0.000000,0.67,0.00,50.000000,0.000000,162.260000,0.580000,25.000000,238.51

31,07:30-07:45,0.000000,1.09,0.00,50.000000,0.000000,162.260000,0.580000,25.000000,238.93

32,07:45:08:00,0.000000,1.52,0.00,50.000000,0.000000,162.260000,0.580000,25.000000,239.36

33,08:00-08:15,0.000000,2.19,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,240.41

34,08:15-08:30,0.000000,2.58,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,240.8

35,08:30-08:45,0.000000,3.45,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,241.67

36,08:45:09:00,0.000000,4.19,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,242.41

37,09:00:09:15,0.000000,4.81,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,243.03

38,09:15-09:30,0.000000,5.41,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,243.63

39,09:30-09:45,0.000000,5.96,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,244.18

40,09:45-10:00,0.000000,6.47,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,244.69

41,10:00-10:15,0.000000,6.9,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,245.12

42,10:15-10:30,0.000000,7.27,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,245.49

43,10:30-10:45,0.000000,7.68,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,245.9

44,10:45-11:00,0.000000,7.95,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,246.17

45,11:00-11:15,0.000000,8.27,0.00,50.000000,0.000000,162.260000,0.960000,25.000000,246.49
