Block,Time,SINGRAULI_HYDRO,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,URI,URI2,RIHAND1,RIHAND3,SALAL,SEWA2,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,NAPP,NJPC,RAPPB,RAPPC,CHAMERA1,CHAMERA2,KOLDAM,PARBATI3,BSIUL,CHAMERA3,DHAULIGNGA,RAMPUR,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,1.01389,6.405,0,18.843,42.392196,26.39091,47.472,32.82288,92,123.665625,80.759,10.55736,40.32,0,137.25,118.125,686.779958,49.436556,653.1525,0,5.916,38.8752,152.9405,0,50.76,42.66,39.51012,0,15.9125,13.1076,29.41554,36.5917,0,0,46.032,46.032,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,26.46,147.515625,31.564,342

2,00:15-00:30,1.01389,6.405,0,18.843,42.392196,26.39091,47.472,32.82288,92,123.665625,80.759,10.55736,40.32,0,137.25,118.125,686.779958,49.436556,653.1525,0,5.916,38.8752,152.9405,0,50.76,42.66,39.51012,0,15.9125,13.1076,29.41554,36.5917,0,0,46.032,46.032,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,26.46,147.515625,31.564,342

3,00:30-00:45,1.01389,6.405,0,19.414,42.392196,26.39091,47.472,32.82288,92,123.665625,80.759,10.55736,30.24,0,137.25,118.125,686.779958,49.436556,653.1525,0,5.916,38.8752,152.9405,0,50.76,42.66,39.51012,0,15.9125,13.1076,29.41554,36.5917,0,0,46.032,46.032,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,26.46,147.515625,31.564,342

4,00:45-01:00,1.01389,6.405,0,19.414,42.392196,26.39091,47.472,32.82288,92,123.665625,80.759,10.55736,20.16,0,137.25,118.125,686.779958,49.436556,653.1525,0,5.916,38.8752,152.9405,0,50.76,42.66,39.51012,0,15.9125,13.1076,29.41554,36.5917,0,0,46.032,46.032,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,26.46,147.515625,31.564,342

5,01:00-01:15,1.01389,6.6612,0,19.414,42.392196,26.39091,47.472,32.82288,92,123.665625,80.759,10.55736,20.16,0,137.25,118.125,686.779958,49.436556,653.1525,0,5.916,38.8752,152.9405,0,50.76,42.66,39.51012,0,15.9125,13.1076,29.41554,36.5917,0,0,46.032,32.88,0,0,42,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,26.46,147.515625,31.564,342

