Block,Time,BSIUL,KUDGI,SIMHST1,SINGRAULI,TANAKPUR,UNCHAHAR2,UNCHAHAR4,URI2,DHAULIGNGA,KHSTPP-I,KOLDAM,NJPC,NLCEXP,RAMPUR,RAPPB,RIHAND2,SASAN,TALST2,TEHRI,VALLURNTECL,ANTA_LF,KKNP,MAPS,NLCTS2EXP,UNCHAHAR3,ANTA_GF,AURY_RF,DADRI_LF,BRBCL,KGSU1AND2,KKNPPU2,NNTPP,RSTPSU7,SEWA2,URI,DADRT2,DULHASTI,KGSU3AND4,KOTESHWR,TANDA2,AURY_LF,JHAJJAR,KISHANGANGA,NLCIIST1,NTPL,PARBATI3,SALAL,SIMHST2,SINGRAULI_HYDRO,ANTA_RF,AURY_CRF,AURY_GF,CHAMERA2,CHAMERA3,FSTPP I & II,KHSTPP-II,NAPP,RAPPC,RIHAND1,RSTPSU1TO6,TALA,TelanganaSTPP,UNCHAHAR1,DADRI_CRF,DADRI_GF,CHAMERA1,NLCIIST2,RIHAND3,ANTA_CRF,DADRI_RF
1,00:00-00:15,0,0,0,135,11.53,21.19,0,18.83,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,35.33,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

2,00:15-00:30,0,0,0,135,3.85,21.19,0,18.83,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,35.33,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

3,00:30-00:45,0,0,0,135,3.85,21.19,0,18.83,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

4,00:45-01:00,0,0,0,135,11.53,21.19,0,18.83,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

5,01:00-01:15,0,0,0,135,3.85,21.19,0,18.83,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

6,01:15-01:30,0,0,0,135,3.85,21.19,0,18.83,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

7,01:30-01:45,0,0,0,138,11.53,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,13.95,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

8,01:45-02:00,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,69.72,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

9,02:00-02:15,0,0,0,138,10.25,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,69.72,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

10,02:15-02:30,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,69.72,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

11,02:30-02:45,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,69.72,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

12,02:45-03:00,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,13.95,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

13,03:00-03:15,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

14,03:15-03:30,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

15,03:30-03:45,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

16,03:45-04:00,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

17,04:00-04:15,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

18,04:15-04:30,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

19,04:30-04:45,0,0,0,138,3.85,21.19,0,4.57,0,44.92,0,0,0,0,0,118.76,418.77,0,0,0,0,0,0,0,26.39,0,0,22.47,20,0,0,0,0,0,1.11,683.14,3.85,0,8.87,0,0,654.31,0,0,0,0,2.33,0,0,0,70.37,0,0,0,20.8,98.87,42.51,52.03,92,0,0,0,20.56,66.85,0,0,0,124.32,42.84,0

