Column1,Block,GNA/NR/2024/08/16/9423,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01082024/31082024/SKS-Raigarh,GNA/NR/2024/08/16/6265,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/16082024/31082024/MPL/24-25/STOA/128,GNA/NR/2024/08/16/8581,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/08/16/7438,NR/2024/22590/C,NR/2024/22594/C,NR/2024/21968/A/32485,NR/2024/21970/A/32486,NR/2024/21911/A/32443,NR/2024/21961/A/32478,NR/2024/22010/A/32538,NR/2024/21938/A/32477,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22554/C,NR/2024/22432/A/32241,NR/2024/21658/A/32191,NR/2024/22014/A/32185,NR/2024/21983/A/32227,NR/2024/21974/A/32488,NR/2024/21814/A/32489,NR/2024/21971/A/32487,NR/2024/21933/A/32237,NR/2024/22498/A/32540,NR/2024/21860/A/32552,NR/2024/22042/A/32184,NR/2024/21966/A/32242,NR/2024/22279/A/32181,NR/2024/21943/A/32501,NR/2024/21956/A/32504,NR/2024/22591/C,NR/2024/21918/A/32536,SR/2024/13898/C,NR/2024/21954/A/32502,NR/2024/22606/C,NR/2024/22592/C,NR/2024/21940/A/32503,NR/2024/22535/A/32430,NR/2024/22534/A/32432,NR/2024/22593/C,Total
,,PXIL,APPCPL,APL_Raigarh_TPP,PUNJAB,BAWANA_GAS,DELHI,IEXL,TPTCL,TPTCL,JITPL,MANIKARAN,IEXL,INSTINCT,DELHI,IEXL,NVVNL,SJVNL,NVVNL,NVVNL,AEL,PTC,MANIKARAN,PTC,DELHI,TPDDL,DIAPL,ITCLH,IEXL,TPTCL,NVVNL,NVVNL,NVVNL,TPTCL,MANIKARAN,TPDDL,IEXL,INSTINCT,IEXL,APPCPL,APPCPL,NVVNL,MANIKARAN,IEXL,APPCPL,IEXL,NVVNL,APPCPL,SJVNL,SJVNL,HPXL,
,,ODISHA_STATE,Arunachal_State,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,MP_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,GOA_State,HIMACHAL_STATE,MSEB_State,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,NA,NA,NA,NA,MP_State,NA,MSEB_State,NA,KARNATAKA_STATE,MSEB_State,KERALA_State,NA,MSEB_State,DELHI_UT,Manipur_State,MP_State,NA,UTTARAKHAND_STATE,NA,NA,NA,
,,ODISHA,Arunachal_Ben,APL_Raigarh_TPP,BAWANA_GAS,BAWANA_GAS,SKS_Raigarh,SKS_Raigarh,ACBIL,SIMHAPURI,JITPL,BLAPOWER_MP,SEILP2,JPL2,CHANJUII,SEIL,SOLAPUR_SOLAR,TPSL_BKN2,JPL2,TRN_ENERGY,APL_Raigarh_TPP,HP,GOA_Beneficiary,HP,MSEB_Beneficiary,JHAJJAR,GBHHPL,ITCWIND,NHCPL_HP,SIMHAPURI,RKM_POWER,JPNIGRIE_JNSTPP,RKM_POWER,ACBIL,BLAPOWER_MP,JPL2,A_A_Energy_MH_Bio,JPL2,NSLSUGAR,AEML,KSEB,Kameng,AEML,BYPL,Manipur_Ben,Continuum_WFDPL_MP,SORANG_HEP,UTTARAKHAND,TPSL_BKN2,RSRPL_BKN,HIRIYUR_OSTROKANNADA,
,,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,PUNJAB,HARYANA,NDMC,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,TPDDL,TPDDL,MES_Delhi,NDMC,NDMC,NDMC,BRPL,BRPL,BRPL,BYPL,TPDDL,TPDDL,DIAPL,ITCLH,MES_Delhi,BRPL,NDMC,TPDDL,NDMC,BRPL,BRPL,TPDDL,MES_Delhi,BRPL,MES_Delhi,BRPL,BYPL,TPDDL,BYPL,TANGEDCO,BRPL,TPDDL,TPDDL,BYPL,NDMC,NDMC,BRPL,
,,East-North,North East-East-North,West-North,North-North,North-North,West-North,West-North,West-North,South-West-North,East-North,West-North,South-East-North,West-North,North-North,South-East-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,South-West-North,North-North,South-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-East-West-North,West-North,South-West-North,North East-East-North,West-North,North-West-South,North East-East-North,West-North,North-North,North-North,North-North,North-North,South-West-North,
1,00:00-00:15,48.08,38.47,96.17,27,27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.63,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,26.39,27.89,83.84,0,0,25,1823.0200000000004

2,00:15-00:30,48.08,38.47,96.17,27,27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.63,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,42.31,23.97,25.7,27.89,83.84,0,0,24,1863.6400000000003

3,00:30-00:45,48.08,38.47,96.17,27,27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.63,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,79.82,23.97,24.89,27.89,83.84,0,0,23,1899.3400000000004

4,00:45-01:00,48.08,38.47,96.17,27,27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.63,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,105.79,23.97,25.28,27.89,83.84,0,0,22,1924.7000000000003

5,01:00-01:15,48.08,38.47,96.17,26.8708,26.8708,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,125.02,23.97,26.33,27.89,83.84,0,0,0,1922.6716000000001

6,01:15-01:30,48.08,38.47,96.17,26.8708,26.8708,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,139.45,23.97,27.16,27.89,83.84,0,0,0,1937.9316000000003

