Block,Time,BSIUL,KISHANGANGA,NLCEXP,SASAN,SEWA2,TEHRI,VALLURNTECL,ANTA_CRF,KKNP,MAPS,NJPC,NLCIIST1,RIHAND3,SIMHST1,AURY_LF,AURY_RF,CHAMERA3,NLCIIST2,NNTPP,RIHAND2,SALAL,TANDA2,TelanganaSTPP,URI,DADRT2,JHAJJAR,RAPPB,SINGRAULI_HYDRO,CHAMERA1,CHAMERA2,DULHASTI,KHSTPP-II,KOTESHWR,RIHAND1,RSTPSU7,SINGRAULI,UNCHAHAR2,ANTA_LF,ANTA_RF,NAPP,NLCTS2EXP,PARBATI3,SIMHST2,UNCHAHAR3,FSTPP I & II,KGSU1AND2,KGSU3AND4,KUDGI,RAMPUR,RSTPSU1TO6,TALA,TANAKPUR,ANTA_GF,DADRI_CRF,DADRI_GF,BRBCL,DHAULIGNGA,KHSTPP-I,KKNPPU2,KOLDAM,NTPL,RAPPC,TALST2,UNCHAHAR1,UNCHAHAR4,URI2,AURY_CRF,AURY_GF,DADRI_LF,DADRI_RF
1,00:00-00:15,0,0,0,418.77,0,14.93,0,0,0,0,0,0,124.32,0,0,70.16,0,0,0,118.76,2.33,0,0,1.11,341.57,654.31,0,0,0,2.4,16.48,148.3,8.87,92,0,88.5,42.4,0,42.74,41.76,0,0,0,26.39,20.8,0,0,0,0,0,0,11.92,0,0,0,20,9.11,44.31,0,0,0,52.29,0,20.56,0,4.57,0,0,21.92,66.85

2,00:15-00:30,0,0,0,418.77,0,14.93,0,0,0,0,0,0,124.32,0,0,70.16,0,0,0,118.76,2.33,0,0,1.11,341.57,654.31,0,0,0,2.4,16.48,148.3,8.87,92,0,88.5,42.4,0,42.74,41.76,0,0,0,26.39,20.8,0,0,0,0,0,0,11.92,0,0,0,20,9.11,44.31,0,0,0,52.29,0,20.56,0,4.57,0,0,21.92,66.85

3,00:30-00:45,0,0,0,418.77,0,14.93,0,0,0,0,0,0,124.32,0,0,70.16,0,0,0,118.76,2.33,0,0,1.11,341.57,654.31,0,0,0,2.4,16.48,148.3,8.87,92,0,88.5,42.4,0,42.74,41.76,0,0,0,26.39,20.8,0,0,0,0,0,0,5.76,0,0,0,20,9.11,44.31,0,0,0,52.29,0,20.56,0,4.57,0,0,21.92,66.85

4,00:45-01:00,0,0,0,418.77,0,14.93,0,0,0,0,0,0,124.32,0,0,70.16,0,0,0,118.76,2.33,0,0,1.11,341.57,654.31,0,0,0,2.4,16.48,148.3,8.87,92,0,88.5,42.4,0,42.74,41.76,0,0,0,26.39,20.8,0,0,0,0,0,0,5.76,0,0,0,20,9.11,44.31,0,0,0,52.29,0,20.56,0,4.57,0,0,21.92,66.85

5,01:00-01:15,0,0,0,418.77,0,14.93,0,0,0,0,0,0,124.32,0,0,70.16,0,0,0,118.76,13.95,0,0,1.11,341.57,654.31,0,0,0,2.4,16.48,148.3,8.87,92,0,88.5,42.4,0,42.74,41.76,0,0,0,26.39,20.8,0,0,0,0,0,0,5.76,0,0,0,20,1.32,44.31,0,0,0,52.29,0,20.56,0,4.57,0,0,21.92,66.85

6,01:15-01:30,0,0,0,418.77,0,14.93,0,0,0,0,0,0,124.32,0,0,70.16,0,0,0,118.76,79.38,0,0,1.11,341.57,654.31,0,0,0,2.4,16.48,148.3,8.87,92,0,88.5,42.4,0,42.74,41.76,0,0,0,26.39,20.8,0,0,0,0,0,0,5.76,0,0,0,20,1.32,44.31,0,0,0,52.29,0,20.56,0,4.57,0,0,21.92,66.85

7,01:30-01:45,0,0,0,418.77,0,14.93,0,0,0,0,0,0,124.32,0,0,70.16,0,0,0,118.76,79.38,0,0,1.11,341.57,654.31,0,0,0,2.4,16.48,148.3,8.87,92,0,88.5,42.4,0,42.74,41.76,0,0,0,26.39,20.8,0,0,0,0,0,0,5.76,0,0,0,20,1.32,44.31,0,0,0,52.29,0,20.56,0,4.57,0,0,21.92,66.85

8,01:45-02:00,0,0,0,418.77,0,14.93,0,0,0,0,0,0,124.32,0,0,70.16,0,0,0,118.76,79.38,0,0,1.11,341.57,654.31,0,0,0,2.4,16.48,148.3,8.87,92,0,88.5,42.4,0,42.74,41.76,0,0,0,26.39,20.8,0,0,0,0,0,0,5.76,0,0,0,20,1.32,44.31,0,0,0,52.29,0,20.56,0,4.57,0,0,21.92,66.85

